"Page","Impressions","Clicks","CTR","Avg. Position"
"https://docta.me/clinics/milmedika-niksic","112","5","4.46%","3.330358035714286"
"https://docta.me/clinics/milmedika-podgorica","94","1","1.06%","3.744678723404255"
"https://docta.me/clinics/milmedika-tivat","43","5","11.63%","5.488383720930233"
"https://docta.me/clinics/milmedika-tivat?lang=en","37","0","0%","5.378378378378378"
"https://docta.me/clinics/bolnica-meljine-herceg-novi","29","7","24.14%","2.5172206896551725"
"https://docta.me/clinics/a3-medical-sutomore","22","3","13.64%","4.590909090909091"
"https://docta.me/doctors/milan-popivoda","19","8","42.11%","1.8421052631578947"
"https://docta.me/doctors/vesna-colakovic-popovic?lang=en","18","0","0%","1.8333000000000002"
"https://docta.me/clinics/in-vitro-podgorica","16","1","6.25%","7.125"
"https://docta.me/clinics/smartmed-podgorica","15","1","6.67%","6.266666666666667"
"https://docta.me/clinics/poliklinika-filipovic-podgorica","15","5","33.33%","3.066666666666667"
"https://docta.me/clinics/64?lang=en","15","1","6.67%","4.600013333333334"
"https://docta.me/doctors/nebojsa-crnogorac","14","0","0%","8.85715"
"https://docta.me/clinics/dr-zejnilovic-pzu-dnevna-bolnica-bar","14","6","42.86%","2.3571500000000003"
"https://docta.me/","13","0","0%","4.384623076923077"
"https://docta.me/doctors/marija-djurovic","13","0","0%","4.000007692307692"
"https://docta.me/doctors/nikola-bulatovic","12","2","16.67%","4.916666666666667"
"https://docta.me/doctors/ljiljana-radulovic","12","1","8.33%","1.999975"
"https://docta.me/medicines/ramdopin-5mg-5mg","12","0","0%","6.833333333333333"
"https://docta.me/doctors/zindovic-miljan","11","3","27.27%","3.1818181818181817"
"https://docta.me/doctors/ana-popovic","10","5","50%","2"
"https://docta.me/doctors/djukic-ivan","10","1","10%","3.2"
"https://docta.me/clinics/specijalna-bolnica-za-ortopediju-neurohirurgiju-i-neurologiju-vaso-cukovic-risan","10","1","10%","3.7"
"https://docta.me/clinics/a3-medical-sutomore?lang=en","10","0","0%","4.3"
"https://docta.me/doctors/tijana-brandmajer?lang=en","10","1","10%","3.9000299999999997"
"https://docta.me/doctors/vesna-colakovic-popovic","10","0","0%","1.9"
"https://docta.me/medicines/rufixalo-20mg","9","0","0%","7.333344444444445"
"https://docta.me/doctors/vlado-popovic?lang=en","9","1","11.11%","2.4444444444444446"
"https://docta.me/medicines/dilcoran","9","0","0%","8.11111111111111"
"https://docta.me/doctors/milan-popivoda?lang=en","9","3","33.33%","2.1111"
"https://docta.me/medicines/trazem","8","0","0%","8.375"
"https://docta.me/clinics/milmedika-budva","8","0","0%","4.75"
"https://docta.me/clinics/rezidencija-zdravlja-kerber-podgorica","8","0","0%","5.25"
"https://docta.me/clinics/a-medic-plasticna-i-estetska-hirurgija","8","3","37.5%","2.875"
"https://docta.me/doctors/zindovic-miljan?lang=en","8","2","25%","1.25"
"https://docta.me/clinics/milmedika-budva?lang=en","8","0","0%","3.625"
"https://docta.me/doctors/aleksandar-juskovic?lang=en","8","2","25%","2.2499875"
"https://docta.me/medicines/wegovy-17mg","8","0","0%","1"
"https://docta.me/medicines/droksin-10mg-20mg","8","0","0%","7.375"
"https://docta.me/doctors/436","7","2","28.57%","5.857142857142857"
"https://docta.me/medicines/eliquis-25-mg","7","1","14.290000000000001%","4.428571428571429"
"https://docta.me/doctors/vlado-popovic","7","2","28.57%","1.7142857142857142"
"https://docta.me/medicines/olire","7","0","0%","7"
"https://docta.me/doctors/perovic-djordjije","7","4","57.14%","2"
"https://docta.me/doctors/arsenije-radunovic","7","3","42.86%","1.4285714285714286"
"https://docta.me/doctors/jovana-knezevic","7","0","0%","7.142857142857143"
"https://docta.me/clinics/dom-zdravlja-tivat","6","1","16.67%","3.6666666666666665"
"https://docta.me/clinics/dom-zdravlja-bar","6","0","0%","4"
