page	letter	letter_title	code	section_code	section_title	name_sr_lat	price_eur
1	A	USLUGE ANESTEZIOLOGA	A01001	A01	ANESTEZIJA SA REANIMACIJOM	PRVI PREGLED - ANESTEZIOLOG	25.02
1	B	USLUGE PEDIJATRA	B01001	B01	OPŠTA PEDIJATRIJA SA NEONATOLOGIJOM	PRVI PREGLED DJETETA - PEDIJATAR	25.02
1	B	USLUGE PEDIJATRA	B01002	B01	OPŠTA PEDIJATRIJA SA NEONATOLOGIJOM	PONOVNI (KONTROLNI) PREGLED DJETETA - PEDIJATAR	8.34
1	B	USLUGE PEDIJATRA	B01005	B01	OPŠTA PEDIJATRIJA SA NEONATOLOGIJOM	PRVI PREGLED ODOJČETA - PEDIJATAR	25.02
1	B	USLUGE PEDIJATRA	B01006	B01	OPŠTA PEDIJATRIJA SA NEONATOLOGIJOM	PRVI PREGLED NOVOROĐENČETA - NEONATOLOG	25.02
1	B	USLUGE PEDIJATRA	B01007	B01	OPŠTA PEDIJATRIJA SA NEONATOLOGIJOM	PONOVNI (KONTROLNI) PREGLED ODOJČETA - PEDIJATAR	8.34
1	B	USLUGE PEDIJATRA	B01008	B01	OPŠTA PEDIJATRIJA SA NEONATOLOGIJOM	PONOVNI (KONTROLNI) PREGLED NOVOROĐENČETA - NEONATOLOG	8.34
1	C	USLUGE GINEKOLOGA	C03001	C03	GINEKOLOGIJA I AKUŠERSTVO	PRVI PREGLED -GINEKOLOG-AKUŠER	25.02
1	C	USLUGE GINEKOLOGA	C03002	C03	GINEKOLOGIJA I AKUŠERSTVO	PONOVNI (KONTROLNI) PREGLED - GINEKOLOG-AKUŠERŠER)	8.34
1	C	USLUGE GINEKOLOGA	C03003	C03	GINEKOLOGIJA I AKUŠERSTVO	PRVI SPECIJALISTIČKI PREGLED U DJEČIJOJ I ADOLESCENTNOJ DOBI	25.02
1	C	USLUGE GINEKOLOGA	C03004	C03	GINEKOLOGIJA I AKUŠERSTVO	PONOVNI SPECIJALIST PREGLED U DJEČIJOJ I ADOLESCENTNOJ DOBI	8.34
1	D	OPERACIJE SA ANESTEZIJOM	D01001	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	KOREKTIVNE OPERACIJE-VAGINALNA PLASTIKA (PREDNJA I ZADNJA)	500.40
1	D	OPERACIJE SA ANESTEZIJOM	D01002	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	TOTALNA JEDNOSTRANA SALPINGEKTOMIJA-KLASIČNA	291.90
1	D	OPERACIJE SA ANESTEZIJOM	D01003	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	TOTALNA OBOSTRANA SALPINGEKTOMIJA-KLASIČNA	417.00
1	D	OPERACIJE SA ANESTEZIJOM	D01004	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	RESEKCIJA TUBE (ST.STOMATOPLASTIKA) JEDNOSTRANO	333.60
1	D	OPERACIJE SA ANESTEZIJOM	D01005	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	EKSTIRPACIJA CISTE JAJNIKA, RESEKCIJA	296.07
1	D	OPERACIJE SA ANESTEZIJOM	D01006	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	ADNESEKTOMIJA,OBOSTRANA	417.00
1	D	OPERACIJE SA ANESTEZIJOM	D01007	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	HISTEREKTOMIJA,MIOMEKTOMIJA,EKSCIZIJA FIBROMA UTERUSA	834.00
1	D	OPERACIJE SA ANESTEZIJOM	D01008	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	TOT ABDOMIN HISTEREKTOMI SA OBOSTR ILI JEDNOSTR ADNEKSEKTOM	1084.20
1	D	OPERACIJE SA ANESTEZIJOM	D01009	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	KLASIČNA KONIZACIJA CERVIKSA PO STURMDORFU	125.10
1	D	OPERACIJE SA ANESTEZIJOM	D01010	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	MIOMEKTOMIJA VAGINALNIM PUTEM	125.10
1	D	OPERACIJE SA ANESTEZIJOM	D01012	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	CARSKI REZ SA SUBTOTALNOM ILI TOTALNOM HISTEREKTOMIJOM (SA V	1251.00
1	D	OPERACIJE SA ANESTEZIJOM	D01013	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	ABDOMINALNA HISTEREKTOMIJA POST PARTUM KOD ATONIČNOG KRVAVLJ	1000.80
1	D	OPERACIJE SA ANESTEZIJOM	D01024	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	KOLPOKLEIZA	291.90
1	D	OPERACIJE SA ANESTEZIJOM	D01025	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	JEDNOSTRANA OVARIEKTOMIJA	250.20
1	D	OPERACIJE SA ANESTEZIJOM	D01026	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	OBOSTRANA OVARIEKTOMIJA	375.30
1	D	OPERACIJE SA ANESTEZIJOM	D01027	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	JEDNOSTRANA ADNEKSEKTOMIJA	291.90
1	D	OPERACIJE SA ANESTEZIJOM	D01028	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	HISTERORAFIJA: SUTURA RUPTURA UTERUSA (NE AKUŠERSKIH)	500.40
