# D01 - OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 63
code	name_sr_lat	price_eur	page
D01001	KOREKTIVNE OPERACIJE-VAGINALNA PLASTIKA (PREDNJA I ZADNJA)	500.40	1
D01002	TOTALNA JEDNOSTRANA SALPINGEKTOMIJA-KLASIČNA	291.90	1
D01003	TOTALNA OBOSTRANA SALPINGEKTOMIJA-KLASIČNA	417.00	1
D01004	RESEKCIJA TUBE (ST.STOMATOPLASTIKA) JEDNOSTRANO	333.60	1
D01005	EKSTIRPACIJA CISTE JAJNIKA, RESEKCIJA	296.07	1
D01006	ADNESEKTOMIJA,OBOSTRANA	417.00	1
D01007	HISTEREKTOMIJA,MIOMEKTOMIJA,EKSCIZIJA FIBROMA UTERUSA	834.00	1
D01008	TOT ABDOMIN HISTEREKTOMI SA OBOSTR ILI JEDNOSTR ADNEKSEKTOM	1084.20	1
D01009	KLASIČNA KONIZACIJA CERVIKSA PO STURMDORFU	125.10	1
D01010	MIOMEKTOMIJA VAGINALNIM PUTEM	125.10	1
D01012	CARSKI REZ SA SUBTOTALNOM ILI TOTALNOM HISTEREKTOMIJOM (SA V	1251.00	1
D01013	ABDOMINALNA HISTEREKTOMIJA POST PARTUM KOD ATONIČNOG KRVAVLJ	1000.80	1
D01024	KOLPOKLEIZA	291.90	1
D01025	JEDNOSTRANA OVARIEKTOMIJA	250.20	1
D01026	OBOSTRANA OVARIEKTOMIJA	375.30	1
D01027	JEDNOSTRANA ADNEKSEKTOMIJA	291.90	1
D01028	HISTERORAFIJA: SUTURA RUPTURA UTERUSA (NE AKUŠERSKIH)	500.40	1
D01029	EKSTIRPACIJA INTRALIGAMENTARNE CISTE	834.00	1
D01030	HISTEROSKOPIJA DIJAGNOSTIČKA	83.40	1
D01031	HISTEROSKOPSKA POLIPEKTOMIJA	166.80	1
D01032	HISTEROSKOPSKA ADHEZIOLIZA	166.80	2
D01033	LAPAROSKOPSKA EKSPLORACIJA MALE KARLICE	250.20	2
D01034	STERILISATIO ABDOMINALIS	291.90	2
D01035	TOTALNA JEDNOSTRANA SALPINGEKTOMIJA-LAPAROSKOPSKA	291.90	2
D01036	HISTEROSKOPSKA RESEKCIJA UTERUSNOG SEPTUMA	291.90	2
D01037	HISTEROSKOPSKA MIOMEKTOMIJA	291.90	2
D01038	OVARIJALNI DRILING	291.90	2
D01040	LAPAROSKOPSKA RESEKCIJA OVARIJUMA	375.30	2
D01041	LAPAROSKOPSKA CISTEKTOMIJA OVARIJUMA JEDNOSTRANA	375.30	2
D01042	OSLOBAĐANJE ADHEZIJA JAJNIKA I TUBE	417.00	2
D01043	LAPAROSKOPSKA CISTEKTOMIJA OVARIJUMA OBOSTRANA	417.00	2
D01044	TOTALNA OBOSTRANA SALPINGEKTOMIJA-LAPAROSKOPSKA	417.00	2
D01045	SUPRAPUBIČNA SUSPENZIJA URETRE (MARSHAL MARCHETTI METODA)	500.40	2
D01046	ENDOSKOP(LAPAROSKOPSKA)KOREKTIV OPER TUBA,SALPINGEKTOM KORNU	500.40	2
D01048	LAPAROSKOPSKA MIOMEKTOMIJA	834.00	2
D01050	TOTALNA VAGINALNA HISTEREKTOMIJA	1000.80	2
D01051	SERKLAŽ (CERCLAGE)	83.40	2
D01052	SECTIO CAESAREA PARVA	417.00	2
D01053	NISKI, ISTMIČNI CARSKI REZ (SA VOĐENJEM POROĐAJA)	834.00	2
D01054	AMPUTACIJA CERVIKSA	216.84	2
D01055	TRACHELECTOMIA	250.20	2
D01056	VULVECTOMIA SIMPLEX	333.60	2
D01057	PLASTIKA TRBUŠNOG ZIDA	375.30	2
D01058	MARSUPIJALIZACIJA CISTE	667.20	2
D01059	HISTEREPEKSIJA SA SKRAĆIVANJEM OBLIH VEZA(LIG.ROTUNDA)	667.20	2
D01060	SUPRACERVIKALNA HISTEREKTOMIJA, SUBTOTALNA HISTEREKTOMIJA	917.40	2
D01061	RADIKALNA HISTEREKTOMIJA SEC WERIHEIM MEIGS	1668.00	2
D01062	RESEKCIJA TUBE (STOMATOPLASTIKA) OBOSTRANO	500.40	2
D01063	OVARIOTOMIA. SALPINGO-OVARIOTOMIJA, DRENAŽA ABSCESA	667.20	2
D01064	SUBTOT ABDOMIN HISTEREKTO SA OBOSTRANOM ILI JEDNOSTR ADNEKSE	917.40	2
D01065	LOOP EKSCIZIJA	125.10	2
D01066	CERVIKOPLASTIKA PO EMMETU	250.20	2
D01067	DRUGE OPERACIJE CERVIKSA	250.20	2
D01068	ODSTRANJENJE VANMATERIČNE TRUDNOĆE (ABDOMINALNE, OVARIJALNE)	333.60	2
D01069	ODSTRANJENJE VANMATERIČNE TRUDNOĆE (ABDOMINAL, OVARIJAL)-LAP	333.60	2
D01070	DONJA SREDIŠNJA EKSPLORATIVNA LAPAROTOMIJA	417.00	2
D01071	STERILISATIO ABDOMINALIS LAPAROSKOPSKI	291.90	2
D01072	LINEAR SALPINGTOM,SEGMEN EKSCIZ I FIMBRIJ EKSPRES-KLASIČNA	291.90	2
D01073	LINEAR SALPINGTOM,SEGMEN EKSCIZ I FIMBRIJ EKSPRES-LAPARASKOP	291.90	2
D01074	RESUTURA DEHISCIRANE RANE PREDNJEG TRBUŠNOG ZIDA ILI VAGINE	250.20	2
D01075	REPARACIJA VULVE I PERINEUMA	417.00	2
