# D02 - OPERACIJE - HIRURGIJA
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 232
code	name_sr_lat	price_eur	page
D02001	EKSCIZIJA PILONIDALNOG SINUSA ILI CISTE - OTVORENA	125.10	3
D02002	TIREOIDEKTOMIJA PARCIJALNA,UNILATERALNA	667.20	3
D02003	VEĆA RESEKCIJA VENE SAPHENE EXTERNE I SUSJEDNIH VENA,UNILATE	291.90	3
D02004	SPLENEKTOMIJA OBIČNA ILI KOD TRAUMATSKE RUPTURE	834.00	3
D02005	REPARACIJA INGVINALNE HERNIJE,BEZ MREŽICE JEDNOSTRANO	291.90	3
D02006	APENDEKTOMIJA	250.20	3
D02007	EKSPLORACIJA TRBUŠNE DUPLJE (EKSPLORATIVNA LAPAROTOMIJA)	417.00	3
D02008	PARCIJAL GASTREKTOMIJA SA GASTROJEJUN ANASTOMO(BILLROTH II)	1251.00	3
D02009	SUTURA PERFORIRANOG ULKUSA ILI LEZIJE ŽELUCA	667.20	3
D02010	KOLEKTOMIJA,PARCIJALNA SA ANASTOMOZOM SA ILI BEZ PROKSIMALNE	1000.80	3
D02011	SPOLJAŠNJA FISTULIZACIJA DEBELOG CRIJEVA	667.20	3
D02012	DEZINVAGINACIJA CRIJEVA (BEZ RESEKCIJE)	667.20	3
D02013	HOLECISTEKTOMIJA (SA INTRAOPERATIVNOM HOLANGIOGRAFIJOM)	834.00	3
D02015	GASTROJEJUNALNA ANASTOMOZA	834.00	3
D02016	SPOLJAŠ. FISTUL. TANKOG I DEBELOG CRIJEVA ZBOG ULCER.KOLITA	834.00	3
D02017	ODVAJANJE ABDOMINALNIH PRIRASLICA (ILEUS)	1000.80	3
D02018	EKSCIZIJA BENIGNIH TUMORA DOJKE UNILATERALNO	125.10	3
D02019	PRIMARNI ŠAV FLEKSORNE TETIVE	333.60	3
D02020	ZAŠIVANJE CRIJEVA SA KOLOSTOMIJOM	1251.00	3
D02021	GINEKOMASTIJA JEDNOSTRANA	250.20	3
D02022	BIOPSIJA ŽELUCA, SA LAPAROTOMIJOM	500.40	3
D02023	EKSCIZIJA PILONIDALNOG SINUSA ILI CISTE SA PRIMARNIM ŠAVOM	208.50	3
D02024	TOTALNA TIREOIDEKTOMIJA	1251.00	3
D02026	REPARACIJA FEMORALNE HERNIJE, BEZ MREŽICE JEDNOSTRANO	333.60	3
D02028	SUPRAUMBILIKALNA I UMBILIKALNA HERNIJA	333.60	3
D02029	OPERATIVNO LIJEČENJE UKLJEŠTENE HERNIJE BEZ RESEKCIJE CRIJEV	333.60	3
D02030	OPERATIVNO LIJEČENJE UKLJEŠTENE HERNIJE SA RESEKCIJOM CRIJEV	834.00	3
D02031	OPERACIJA MEKEL-DIVERTIKULA	500.40	3
D02032	EVAKUACIJA I DRENAŽA INTRAPERITONEALNIH ABSCESA	166.80	3
D02034	REVIZIJA GASTRODUODENALNE ANASTOMOZE SA REKONSTRUKCIJOM	1167.60	3
D02035	TOTALNA KOLEKTOMIJA SA ILEOREKTALNOM ANASTOMOZOM	1501.20	3
D02036	PLISIRANJE CRIJEVA-NOBLE	1251.00	3
D02037	SUTURA POVREDE TANKOG CRIJEVA	583.80	3
D02038	HIRURŠKO ZBRINJAVANJE POVREDE JETRE (SUTURA, TAMPONADA)	834.00	3
D02039	EVAKUAC HIDATID CIS JETR(SUT BIL KOM)- MALE(DO 10CM U PREČ)	1000.80	3
D02040	HOLEDOHOTOMIJA (T-DRENAŽA)	667.20	3
D02041	DERIVACIJA PSEUDOCISTE PANKREASA IZDVOJENOM CRIJEV VIJUGOM	1251.00	3
D02043	ABDOMINOPERINEALNA RESEKCIJA KOLONA (MILLES)	1668.00	3
D02044	HEMOROIDEKTOMIJA RADIKALNA(WHITEHEAD TIPA)	417.00	3
D02046	VAĐENJE STRANOG TIJELA IZ REKTUMA REKTALNIM PUTEM(POMOĆU REG	66.72	3
D02047	NEKOMPLIKOVANA FLEBEKTOMIJA POVRŠNIH VENA DONJIH EKSTREMIT	83.40	3
D02048	TRANSREKTALNA DRENAŽA PELVIČNOG ABSCESA	125.10	3
D02049	PRESJECANJE I PODVEZIVANJE PERFORAN VENA NA DONJIM EKSTREMIT	166.80	3
D02050	LOKALNA EKSCIZIJA MALIH VILOZNIH PAPILOMA REKTUMA - EKT	166.80	4
D02051	HIRURŠKO ZBRINJAVANJE ANALNE FISURE	166.80	4
D02052	KRIPTOTOMIJA, SLOŽENA	166.80	4
D02054	EKSCIZIJA MALIGNIH I BENIGNIH LEZIJA KOŽE I POTKOŽE SA ZATV	208.50	4
D02056	PLEURALNA DRENAŽA-PLASIRANJE DRENA KROZ MEĐUREBARNI PROSTOR	250.20	4
D02057	HITNA LIGATURA ZBOG JAKE HEMORAGIJE GLAVNIH KRVNIH SUDOVA UD	250.20	4
D02058	SEKUNDARNA SUTURA ABDOMINALNOG ZIDA ZBOG DEHISCENCIJE	250.20	4
D02059	ABLACIJA MALIGNOG TUMORA ABDOMINALNOG ZIDA	250.20	4
D02060	GASTROTOMIJA RADI ODSTRANJENJA STRANOG TJELA	250.20	4
D02061	REVIZIJA CEKOSTOMIJE	250.20	4
D02062	RASJECANJE STRIKTURE U REKTUMU	250.20	4
D02063	FISTULOTOMIJA ILI FISTULEKTOMIJA, SUBMUSKULARNA	250.20	4
D02064	TENDORAFIJA EKSTENZORNE TETIVE ŠAKE, PRIMARNA	250.20	4
D02065	LAPAROSKOPSKA APENDEKTOMIJA	250.20	4
D02066	REPARACIJA VENTRALNE HERNIJE BEZ MREŽICE	291.90	4
D02067	REPARACIJA INGVINALNE ILI FEMORALNE HERN MREŽICOM JEDNOSTRAN	291.90	4
D02068	PLASTIKA VENTRALNE HERNIJE SA MESH-PROLEN MREŽICOM	291.90	4
D02070	VAĐENJE INFICIRANOG IMPLANTATA KOD MANJIH PREPONSKIH HERNIJA	291.90	4
D02071	LAPAROSKOPSKA OPERACIJA INGVINALNE HERNIJE JEDNOSTRANO	291.90	4
D02072	HERNIOPLASTICA INGVINALNA SA EKSCIZIJOM HIDROCELE	333.60	4
D02073	EVAKUACIJA RETROPERITONEALNIH ABSCESA	333.60	4
D02074	ZATVARANJE KOLOSTOME USPOSTAVLJANJEM KONTINUITETA DEB CRIJEV	333.60	4
D02075	RADIKALNA DISEKCIJA LIMFNIH ČVOROVA PREPONSKIH POVRŠNIH - UN	333.60	4
D02076	HIRURŠKO ZBRINJAVANJE UNUTRAŠNJIH HEMOROIDA	333.60	4
D02077	EKSCIZIJA MALIGNIH I BENIGNIH LEZIJA KOŽE I POTKOŽE SA ZATV	333.60	4
D02078	EKSCIZIJA MALIGNIH I BENIGNIH LEZIJA KOŽE I POTKOŽE SA ZATV	333.60	4
D02080	LIJEČENJE UNUTRAŠNJIH HEMOROIDA GUMENIM LIGATURAMA	333.60	4
D02081	LAPAROSKOPSKA REPARACIJA FEMORALNE HERNIJE JEDNOSTRANO	333.60	4
D02082	LAPAROSKOPSKA OPERACIJA INCIZIONE-VENTRALNE HERNIJE	333.60	4
D02083	LAPAROSKOPSKA APENDEKTOMIJA KOD PERFORISANOG APENDICITISA	333.60	4
D02084	POSTAVLJANJE TRAJNOG KATETERA ZA DIJALIZU PO HICKMAN-U	333.60	4
D02085	CEKOSTOMIJA	375.30	4
D02086	ENUKLEACIJA ILI RESEKCIJA STRUME-CISTE	417.00	4
D02087	RECIDIVANTNA INGVINALNA HERNIJA	417.00	4
D02088	RECIDIVANTNA FEMORALNA HERNIJA	417.00	4
D02089	OPERATIVNO LIJEČENJE VRLO VOLUMINOZNE HERNIJE(VELIČINE DJEČI	417.00	4
D02090	RETROPERITONEALNA EKSPLORACIJA	417.00	4
D02091	ENTEROLIZA	417.00	4
D02092	LAPAROSKOPSKA BIOPSIJA JETRE	417.00	4
D02093	FISTULOTOMIJA ILI FISTULEKTOMIJA, KOMPLEKSA	417.00	4
