# D03 - OPERACIJE - UROLOGIJA
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 156
code	name_sr_lat	price_eur	page
D03002	KOREKCIJA INKONTINENCIJE TRANSVAGINAL PUTEM(TOT I TVT TRAKE)	834.00	8
D03003	URETEROLITOTOMIJA	667.20	8
D03004	PARCIJALNA NEFREKTOMIJA	1000.80	8
D03005	RESEKCIJA CISTE BUBREGA	834.00	8
D03007	ORCHIECTOMIA UNILATERALNA	166.80	8
D03008	OPERACIJA HIDROKELE	166.80	8
D03010	CISTOLITOTOMIJA BEZ RESEKCIJE VRATA	333.60	8
D03011	MOKRAĆNA BEŠIKA-ABLACIJA,EKSCIZIJA TUMORA	667.20	8
D03012	PIJELOLITOTOMIJA	1000.80	8
D03013	SKROTUM-ODSTRANJIVANJE STRANOG TIJELA	166.80	8
D03014	OPERACIJA VARIKOCELE	333.60	8
D03015	REDUKCIJA TORZIJE TESTISA SA FIKSACIJOM KONTRALAT. TESTISA	333.60	8
D03016	URETEROLITOTOMIJA DONJE ČETVRTINE URETERA	750.60	8
D03017	ORHIEKTOMIJA BILATERALNA	250.20	8
D03018	URETRORAFIJA-PARCIJALNA ILI TOTALNA KOD POVREDE U	125.10	8
D03019	EKSCIZIJA DIVERTIKULA(JEDAN)	834.00	8
D03020	MOKRAĆNA BEŠIKA-RESEKCIJA VRATA SA VAĐENJEM KAMENA	417.00	8
D03021	PIJELO I NEFROLITOTOMIJA	1000.80	8
D03022	LITOKLAST KAMENA U BUBREGU	1251.00	8
D03023	NEFREKTOMIJA SA TOTALNOM URETERKTOMIJOM	1167.60	8
D03024	AMPUTACIJA PENISA PARCIJALNA	417.00	8
D03025	AMPUTACIJA PENISA TOTALNA	667.20	8
D03026	EPIDIDIMOTOMIJA	125.10	8
D03027	OPERATIVNO LIJEČENJE URETROKELE	166.80	9
D03029	DIVERTIKULUM URETRE	208.50	9
D03030	URETROLITOTOMIJA PREDNJA URETRA	208.50	9
D03031	URETROLITOTOMIJA ZADNJA URETRA	208.50	9
D03032	EKSCIZIJA SPERMATOKELE BEZ EPIDIDIMEKTOMIJE	208.50	9
D03033	URETROTOMIJA EKSTERNA,PERINEALNA	250.20	9
D03034	ZATVARANJE POVREDE URETRE	250.20	9
D03035	ZATVARANJE URETROSTOMIJE ILI FISTULE URETRE	250.20	9
