# D04 - OPERACIJE - OTORINOLARINGOLOGIJA
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 80
code	name_sr_lat	price_eur	page
D04002	ETMOIDEKTOMIJA SPOLJNA JEDNOSTRANA	333.60	12
D04003	REKONS NOSA, KOLUMELE, KAVUMA NOSA LOK.REŽNJ,SLOB TRANS ILI	667.20	12
D04004	SEPTORINOPLASTIKA	333.60	12
D04005	ABLACIJA POLIPA NOSA SA ETMOIDEKTOMIJOM UNILATERALNA	250.20	12
D04006	ABLACIJA VELIKIH CISTA VRATA	500.40	12
D04007	KOREKTIVNA HIRURGIJA UHA BILATERALNA	375.30	12
D04008	PLASTIKA SEPTUMA NOSA-COTTLE	667.20	12
D04009	KOREKTIVNA RINOPLASTIKA SA OSTEOTOMIJOM	583.80	12
D04010	EKSCIZIJA NAZALNOG MALIGNOG TUMORA	834.00	12
D04011	RADIKALNA OPERACIJA MALIGNIH TUMORA USNE SA RESEKCIJOM MEKIH	500.40	12
D04012	RADIKALNA RESEKCIJA ZBOG MALIGNIH TUMORA UŠNE ŠKOLJKE	500.40	12
D04013	MALIGNI TUMOR UŠKE,OBIČNA RESEKCIJA	166.80	12
D04014	EKSTIRPACIJA OSTEOMA ILI EGZOSTOZA SPOLJAŠNJEG UŠNOG KANALA	208.50	12
D04015	ANTROTOMIJA ODOJČETA OBOSTRANO ILI JEDNOSTANO	333.60	12
D04016	MASTOIDEKTOMIJA	333.60	12
D04017	TONZILEKTOMIJA	116.76	12
D04018	EKSCIZIJA NAZALNOG BENIGNOG TUMORA	166.80	12
D04019	SUBMUKOZNA RESEKCIJA NOSNOG SEPTUMA PARCIJALNA ILI PROŠIRENA	250.20	12
D04020	ETMOIDEKTOMIJA SPOLJNA OBOSTRANA	500.40	12
D04021	ENDONAZALNA OPERACIJA MAKSILARNIH SINUSA, JEDNOSTRANA	250.20	12
D04022	ENDONAZALNA OPERACIJA MAKSILARNIH SINUSA, OBOSTRANO	375.30	12
D04023	RADIKALNA OPERACIJA ČEONOG SINUSA (RIEDEL), JEDNOSTRANO	500.40	12
D04024	REVIZIJA FRONTALNOG SINUSA,ELEVACIJA FRAKTURE I SL.UNILAT.IL	500.40	12
D04027	KOREKTIVNA HIRURGIJA UHA UNILATERALNA	250.20	12
D04028	OBRADA VEĆIH RANA SA DEFEKTOM KOŽE KOJE ZAHTJEVAJU ZATVARANJ	291.90	12
