# D05 - OPERACIJE - ORTOPEDIJA
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 148
code	name_sr_lat	price_eur	page
D05001	ARTROPLASTIKA ACETABULUMA I PROKSIMALNOG DIJELA FEMURA (CJEL	1668.00	14
D05002	FRAK FEMUR-ZATV ILI OTV (SLOŽENA) REPOZIC SA ILI BEZ UNUT FI	834.00	14
D05003	AMPUTACIJA NOGE KROZ FEMUR,BILO KOJE VISINE	583.80	14
D05004	FRAKTURA DIJAFIZE HUMERUSA-ZATVORENA ILI OTVORENA (SLOŽENA)	417.00	14
D05005	FRAK DIJAF ULNE-ZATV ILI OTV(SLOŽ),OTVOR REPO SA ILI BEZ S F	333.60	14
D05006	ARTROTOMIJA(KAPSULOTOMIJA),KOLJENA SA EKSP,DRENA I ODSTRA ST	500.40	14
D05007	FRAKTURA TIBIJE, ZATV ILI OTV(SLOŽ)REPOZ,SA ILI BEZ UNUT FI	583.80	14
D05009	FRAKTURA PATELE-OTVO(SLOŽENA)REPOZ,SA REPAR I/ILI EKSCIZIJO	500.40	14
D05010	SUTURA RUPTURIRANE AHILOVE TETIVE	458.70	14
D05011	DEKOMPRESIJA ŽIVCA ŠAKE U KARPALNOM KANALU	500.40	14
D05012	FASCIOTOMIJA KOD DUPUYTREN-OVE KONTRAKTURE,TOTALNA	500.40	14
D05013	AMPUTACIJA RUKE GILJOTINSKA	375.30	14
D05014	FRAKTURA DIJAFIZE RADIUSA I ULNE - OTVORENA(SLOŽENA) SA PROS	250.20	14
D05016	AMPUTACIJA PODLAKTICE KROZ RADIUS I ULNU	375.30	14
D05017	TENOTOMIJA FLEKSORA,OTVORENA,VIŠE OD JEDNE TENOTOMIJE,KROZ I	250.20	14
D05018	TENOTOMIJA FLEKSORA,OTVORENA,VIŠE PRSTIJU	333.60	14
D05019	FRAK METAKARPUSA-ZAT ILI OTVOR (KOMPLIKO)REP SA ILI UNUT ILI	291.90	14
D05020	AMPUTACIJA ŠAKE KROZ METAKARPALNI ZGLOB	417.00	14
D05021	AMPUTACIJA METAKARPUSA SA PRSTOM ILI PALCEM JEDNA	291.90	14
D05022	AMPUTACIJA PRSTA ŠAKE,BILO KOJEG ZGLOBA ILI FALANGE, JEDNE	125.10	14
D05023	DEZARTIKULACIJA KUKA	1125.90	14
D05024	EKSCIZIJA PREPATELARNE BURZE	208.50	14
D05025	PARCIJALNA EKSCIZIJA KOSTI(KIRETAŽA,SEKVESTRACIJA,DIJAFIZEKT	500.40	14
D05026	REPARACIJA KOLATERALNOG ILI LIGAMENTARNOG KRUCIJATA	817.32	14
D05029	OSTEOTOMIJA TIBIJE	500.40	14
D05030	FRAK DIJAF TIBIJE-ZAT ILI OTV(SLOŽ)REPO SA UNUT ILI SPOLJ FI	500.40	14
D05032	AMPUTACIJA NOGE KROZ TIBIJU I FIBULU	500.40	14
D05033	FASCIOTOMIJA,PLANTARNA I/ILI PRSTA SUBKUTANA	100.08	14
