# D06 - OPERACIJE - OFTALMOLOGIJA
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 74
code	name_sr_lat	price_eur	page
D06001	OPERACIJA PTERIGIJUMA	125.10	17
D06002	HIRUŠKI TRETMAN KSANTELAZME,MOLUSKE ILI VERUKE,JEDNOSTRANO	125.10	17
D06003	HIRURŠKI TRETMAN KSANTELAZME, MOLUSKE ILI VERUKE, OBOSTRANO	208.50	17
D06004	OPERACIJA PTERIGIJUMA SA KALEMOM VEŽNJAČE	417.00	17
D06005	EKSTRAKCIJA SOČIVA-SENILNA KATARAKTA	583.80	17
D06006	FISTULIZIRAJUĆA OPERACIJA GLAUKOMA	583.80	17
D06007	INTRAKAPSULARNA EKSTRAKCIJA SOČIVA	583.80	17
D06008	KAPSULEKTOMIJA - ASPIRACIJA SOČIVNIH MASA (OPE "MEKE MRENE")	583.80	17
D06009	EKSTRAKCIJA KATARAKTE SA PREDNJOM VITREKTOMIJOM	750.60	17
D06010	OPERACIJA TUMORA NA OČNOM KAPKU	208.50	17
D06011	EKSCIZIJA TUMORA NA OČNOM KAPKU SA KOŽNIM REŽNJEM	333.60	17
D06012	OPERACIJA TUMORA VEŽNJAČE	500.40	17
D06013	TARZORAFIJA	150.12	17
D06014	OPERACIJA PTOZE (PODIZANJE SPUŠTENOG KAPKA)	333.60	17
D06015	OPERACIJA PRIRASLICA U KONJUNKTIVALNOJ VREĆICI	500.40	17
D06016	REKONSTRUKCIJA KONJUNKTIVALNE VREĆICE KOŽNIM TRANSPLANTATOM	500.40	17
D06017	ZATVARANJE KONJUKTIV LEDIRANE ROŽNJA(KUNTH PLAST KONJUKTIVE)	417.00	17
D06018	KRIOAPLIKACIJA, DIJATERMIJA, TETOVAŽA	83.40	18
D06019	KONJUNKTIVO - PLASTIKA UZIMANJE I UGRAĐIVANJE TRANSPLANTATA	667.20	18
D06020	EKSTIRPACIJA SUZNE KESE I SUZNE ŽLIJEZDE	250.20	18
D06021	OPER PERFORATI POVREDE OKA BEZ POVREDE UNUTRAŠNJIH STRUKTURA	500.40	18
D06022	DRUGE OPERACIJE IRISA, CILIJARNOG TIJELA I PREDNJE KOMORE	917.40	18
D06023	IRIDOPLASTIKA, IRIDEKTOMIJA, IRIDOTOMIJA, SFINKTEROTOMIJA	1000.80	18
D06024	EVISCERACIJA BULBUSA OKA (EVAKUACIJA OČNOG SADRŽAJA)	333.60	18
D06025	PUNKCIJA PREDNJE OČNE KOMORE - ISPIRANJE	66.72	18
D06026	OPERACIJE EKTROPIONA	250.20	18
D06027	OPERACIJE ENTROPIONA	250.20	18
D06028	OPERACIJA KOD POVREDE OČNIH KAPAKA	500.40	18
