# D07 - USLUGE BOLNIČKE ZDRAVSTVENE ZAŠTITE OFTALMOLOGIJA - PZU
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 10
code	name_sr_lat	price_eur	page
D07001	ULTRA B2	1260.00	19
D07002	SEKUNDARNA IMPLANTACIJA IOL	1890.00	19
D07003	KERATOPLASTIKA	7140.00	19
D07004	INTACS - INTRAOKULARNI PRSTEN	2730.00	19
D07005	VAĐENJE PLOMBE SA PLASTIKOM KONJUNKTIVE	840.00	19
D07006	EVAKUACIJA SILIKONSKOG ULJA	1890.00	19
D07007	ZAMJENA SILIKONSKOG ULJA	2520.00	19
D07008	OPERACIJA ABLACIJE MREŽNJAČE	3750.00	19
D07009	VITREKTOMIJA	5010.00	19
D07011	VITREKTOMIJA SA KATARAKTOM	6330.00	19
