# D26 - VASKULARNA HIRURGIJA
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 145
code	name_sr_lat	price_eur	page
D26001	LIGATURA EKSTRAKRANIJALNIH KRVNIH SUDOVA MOZGA (VRATNI DIO)	500.40	19
D26002	LIGATURA EKSTRAKRANIJALNIH KRV.SUDOVA MOZGA (TORAKALNI DIO)	667.20	19
D26003	LIGATURA PODKLJUČNE ARTERIJE ILI VENE U TORAKALNOM DIJELU	667.20	20
D26004	LIGATURA ARTERIJE SUBKLAVIJE U PODKLJUČNOM DIJELU	500.40	20
D26005	LIGATURA ARTERIJE ILI VENE AKSILARIS	250.20	20
D26006	LIGATURA GRUDNE AORTE	834.00	20
D26007	LIGATURA VENE CAVE SUPERIOR	750.60	20
D26008	LIGATURA AORTE ABDOMINALIS	834.00	20
D26009	LIGATURA DUCTUS BOTALI	1501.20	20
D26010	LIGATURA VISCERALNE ARTERIJE ILI VENE	667.20	20
D26011	EKSKLUZIJA (ISKLJUČ.) ARTERIOV.FISTULE (SA ILI BEZ REKONSTR)	1251.00	20
D26012	SUTURA INTRAKRANIJALNOG KRVNOG SUDA (NA POVRŠINI)	667.20	20
D26013	SUTURA EKSTRAKRAN. DIJELA KRV.SUDA MOZGA (VRATNI DIO)	667.20	20
D26014	SUTURA EKSTRAKRAN. DIJELA KRV.SUDA MOZGA (TORAKALNI DIO)	667.20	20
D26015	SUTURA ARTERIJE ILI VENE SUBKLAVIJE (TORAKALNI DIO)	667.20	20
D26016	SUTURA ARTERIJE ILI VENE SUBKLAVIJE (PODKLJUČNI DIO)	667.20	20
D26017	SUTURA ARTERIJE ILI VENE PULMONALIS	1251.00	20
D26018	SUTURA VENE CAVE SUPERIOR	1251.00	20
D26019	SUTURA GRUDNE AORTE	1251.00	20
D26020	SUTURA AORTE ABDOMINALIS	1251.00	20
D26021	SUTURA VISCERALNIH KRVNIH SUDOVA	1084.20	20
D26022	SUTURA VENE CAVE INFERIOR	1251.00	20
D26023	SUTURA ARTERIJE ILI VENE RENALIS	1084.20	20
D26024	PLIKACIJA VENE CAVE	1251.00	20
D26025	POSTAVLJANJE ANTIEMBOLIJSKOG FILTERA	1251.00	20
D26026	CROSS, LIG.VSM, STRIP.VSM I FLEB. POVR.VENA DONJ.EKST.L.P.V.	500.40	20
D26027	INCIZIJA (ARTERIOTOMIJA) I EMBOLEKTOMIJA ARTERIJA VRATA	750.60	20
D26028	INCIZIJA (ARTERIOTOMIJA) I EMBOLEKTOMIJA PLUĆNE ARTERIJE	1334.40	20
D26029	INCIZIJA (ARTERIOTOMIJA) I EMBOLEKTOMIJA ABDOMINALNE AORTE	1334.40	20
