# D27 - OPERACIJE - NEUROHIRURGIJA
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 65
code	name_sr_lat	price_eur	page
D27001	ODSTR. AKUTNOG EPI ILI SUBDUR.HEMAT. OSTEOPL. KRANIOTOMIJOM	834.00	23
D27002	ODSTRANJENJE SUBDURALNOG HRONIČNOG HEMATOMA	1251.00	23
D27003	EKSPLORATIVNA SUPRA ILI INFRATENTORIJALNA TREPANACIJA	1376.10	23
D27004	PUNKCIJA I DRENAŽA EPIDURALNOG ABSCESA	1000.80	23
D27005	ODSTRANJENJE NEUROMA KOD FANTOMSKE BOLI	333.60	23
D27006	PRESIJECANJE GRANE N. TRIGEMINUSA	959.10	23
D27007	ODSTR. OPSEŽNOG TUMORA MEKIH TKIVA POGLAVINE SA DESTR. KOSTI	250.20	23
D27008	OSTEOMIJELITIS KRANIJUMA	250.20	23
D27009	ODSTRANJENJE TUMORA LOBANJSKIH KOSTIJU	250.20	23
D27010	DEPRES. FRAKT. KOST. LOBANJE (SA ILI BEZ POVR. DURE MATER)	1000.80	23
D27011	DEPR. FRAK. SA OZLJEDOM DURE MATRIS I VEL. VEN. KRV. SUD.	1668.00	23
D27012	FIK. TRANS. ZA KON. MJ. INT. PR. KOD POV. INTR. PR. RAZ. ET	250.20	23
D27013	AKUTNI EPIDURALNI HEMATOM SUPRATENTORIJALNE LOKALIZACIJE	667.20	23
D27014	AKUTNI EPIDURALNI HEMATOM INFRATENTORIJALNE LOKALIZACIJE	667.20	23
D27015	AKUTNI SUBDURALNI HEMATOM SUPRATENTORIJALNE LOKALIZACIJE	667.20	23
D27016	AKUTNI SUBDURALNI HEMATOM INFRATENTORIJALNE LOKALIZACIJE	875.70	23
D27017	OPERATIVNO ZBRINJAVANJE OPSEŽNIH KRANIO CEREBRALNIH POVREDA	1501.20	23
D27018	OPERACIJE KOD FRONTOBAZILARNIH POVREDA	1251.00	23
D27019	PLASTIKA LIKVOR FISTULE	1000.80	23
D27020	ODSTRANJENJE EPIDURALNOG I SUBDURALNOG HEMATOMA	750.60	23
D27021	PUNKCIJA I DRENAŽA EPIDURAL. ILI SUBD. ILI MOŽD. ABSCESA	1000.80	23
D27022	PLASTIKA KOŠTANOG DEFEKTA KRANIUMA	750.60	23
D27023	ODSTRANJENJE AKUTNOG INTRACEREBRALNOG HEMATOMA	1251.00	23
D27024	EVAKUACIJA HRONIČNOG SUBDURALNOG HEMATOMA	1501.20	23
D27025	ODSTRANJ. TUMORA, ABSCESA I SL. IZ HEMIS. VELIKOG MOZGA	1668.00	23
D27026	ODSTRANJ. TUMORA, ABSCESA I SL. IZ HEMISF. MALOG MOZGA	1834.80	23
D27027	ODSTRANJENJE MENINGEOMA NA KONVEKSITETU MOZGA	1501.20	24
D27028	ODSTRANJENJE FALKS-MENINGEOMA	1501.20	24
D27029	ODSTRANJENJE MENINGEOMA NA BAZI LOBANJE	2085.00	24
D27030	ODSTRANJENJE SUPRASELARNIH ILI PARASELARNIH TUMORA	1668.00	24
D27031	REVIZIJA RANIJE URAĐENE OPER. SUPRATENT. ILI INFRATENT.	667.20	24
D27032	OPERACIJA KOD KRANIOSTENOZE	1000.80	24
D27033	VENTRIKULOATRIJALNA ILI VENTRIKULOPERITONEALNA DRENAŽA	1334.40	24
D27034	PUNKCIJA VENTRIKULARNOG SISTEMA	250.20	24
D27035	PRIVREMENA DRENAŽA VENTRIKULARNOG SISTEMA	250.20	24
D27036	REVIZIJA ATRIO ILI PERITONEOVENTRIKULARNE DRENAŽA	750.60	24
D27037	DEKOMPR. LAMINEKT. KOD TR. KOMPR. MEDULE ILI CAUDAE EQUINAE	667.20	24
D27038	ODST. HER. INTR. DIS. UZ PRETHODNU FLAV. ILI FEN. NA JED.NIV	1000.80	24
D27039	ODS. HER. INT. DIS. KOD IST. ST.SPIN. KAN. ILI HER. U VIŠE N	1251.00	24
D27040	ODSTR. INTRA ILI EKSTRADURALNOG TUMORA SPIN. KANALA	1000.80	24
D27041	ODSTRANJENJE GIGANTSKOG TUMORA CAUDAE EQUINAE	1668.00	24
D27042	RAZDVAJANJE SPINALNIH ADHEZIJA	1000.80	24
D27043	POVREDE GLAVE – POV. VAT. ORUŽJEM, ILI DR. PENET. POVR. LOB.	1334.40	24
D27044	PLASTIKA LOBANJE	1251.00	24
