# D28 - GRUDNA HIRURGIJA
# Letter: D - OPERACIJE SA ANESTEZIJOM
# Count: 94
code	name_sr_lat	price_eur	page
D28001	KOLARNA MEDIJASTINOTOMIJA	250.20	24
D28002	DRENAŽA PLEURALNOG KAVUMA SA RESEKCIJOM REBRA	250.20	25
D28003	OPERATIVNO LIJEČENJE GRUDNOG KOŠA I PLUĆA	667.20	25
D28004	TRANSTORAK.EZOFAGOTOMIJA SA ZBRINJAV.RUPTURE ILI PERFORACIJE	1084.20	25
D28005	DRENAŽA MEDIJASTINUMA, EKSPLORACIJA, ODSTRANJ.STRAN.TIJELA	650.52	25
D28006	EZOFAGOTOMIJA-TRANSTORAK, ZBRINJ.PERF, ODSTR.STR.TIJ.JEDNJAK	1000.80	25
D28007	OPERACIJA UKLJEŠT. DIJAFRAGM.KILE SA RESEKC.TRANSTORAK.PUTEM	1000.80	25
D28008	ODSTRANJ.MATERIJ. KOJI JE SLUŽIO KOD PLAST.KOR.ZIDA GR.KOŠA	667.20	25
D28009	ENDOSKOP.APLIKACIJA TRAHEL.STENTA (OBLOŽENI ILI NEOBL.STENT)	667.20	25
D28010	SUTURA TRAHEJE - KOLARNI PRISTUP	750.60	25
D28011	SUTURA TRAHEJE - TORAKALNI PRISTUP	750.60	25
D28012	PARCIJALNA RESEKCIJA TRAHEJE	1417.80	25
D28013	RESEKCIJA TRAHEJE	1668.00	25
D28014	RESEKCIJA I REKONSTRUKCIJA KARINE TRAHEJE	1417.80	25
D28015	SUTURA I REKONSTRUKCIJA POVREDE TRAHEJE ILI BRONHA	750.60	25
D28016	SLEEVE RESEKCIJA BRONHA	1417.80	25
D28017	PARCIJALNA RESEKCIJA ZIDA BRONHA	1251.00	25
D28018	ZATVARANJE BRONHOPLEURALNE FISTULE	1251.00	25
D28019	RESEKCIJA BULA NA PLUĆIMA	750.60	25
D28020	TORAKOSKOPSKA RESEKCIJA BULA NA PLUĆIMA	750.60	25
D28021	WEDGE RESEKCIJA PLUĆA	834.00	25
D28022	TORAKOSPSKA WEDGE RESEKCIJA PLUĆA	834.00	25
D28023	SEGMENTEKTOMIJA PLUĆA	1000.80	25
D28024	TORAKOSKOPSKA SEGMENTEKTOMIJA	1000.80	25
D28025	LOBEKTOMIJA PLUĆA	1251.00	25
D28026	TORAKOSKOPSKA LOBEKTOMIJA PLUĆA	1251.00	25
D28027	BILOBEKTOMIJA PLUĆA	2085.00	25
D28028	TORAKOSKOPSKA BILOBEKTOMIJA PLUĆA	2085.00	25
D28029	EKSTENZIVNA LOBEKTOMIJA ILI BILOBEKTOMIJA PLUĆA	1668.00	25
D28030	PNEUMONEKTOMIJA	1417.80	25
D28031	TORAKOSKOPSKA PNEUMONEKTOMIJA	1417.80	25
D28032	PLEUROPNEUMONEKTOMIJA	1668.00	25
D28033	EKSTENZIVNA PNEUMONEKTOMIJA	1668.00	25
D28034	PNEUMONEKTOMIJA SA RESEKCIJOM KARINE TRAHEJE	1417.80	25
D28035	TRANSPLANTACIJA PLUĆA JEDNOSTRANA	5954.76	25
D28036	BILATERLNA TRANSPLANTACIJA PLUĆA	8340.00	25
D28037	MEDIJASTINOSKOPIJA	250.20	25
D28038	TRANSSTERNALNA TIMEKTOMIJA	1167.60	25
D28039	CERVIKALNA TIMEKTOMIJA	1167.60	25
D28040	TORAKOSKOPSKA TIMEKTOMIJA	1167.60	25
D28041	EKSCIZIJA MEDIJASTINALNE LEZIJE SA TORAKOTOM. ILI STERNOTOM.	1251.00	25
D28042	SUTURA ZIDA GRUDNOG KOŠA	1251.00	25
D28043	EKSCIZIJA LEZIJE GRUDNOG KOŠA SA RESEKCIJOM REBARA	834.00	25
D28044	FENESTRACIJA ZIDA GRUDNOG KOŠA	542.10	25
D28045	ZATVARANJE FENESTRACIJE ZIDA GRUDNOG KOŠA	667.20	26
D28046	RESEKCIJA REBRA KOD THORACIC OUTLET SYNDROMA	500.40	26
D28047	OTVORENA KOREKCIJA PECTUSA EXCAVATUMA	1167.60	26
D28048	OTVORENA KOREKCIJA PECTUSA KARINATUMA	1167.60	26
