# F01 - POROĐAJNA SALA
# Letter: F - USLUGE POROĐAJNE SALE
# Count: 24
code	name_sr_lat	price_eur	page
F01001	VOĐENJE POROĐAJA (PREDNJI POTILJAČNI STAV)	166.80	28
F01002	VOĐENJE POROĐAJA (DEFLEKSIONI STAVOVI,NEPRAVILNE ROTACIJE,KA	250.20	28
F01004	VOĐENJE INDUKOVANOG POROĐAJA	83.40	28
F01005	EPIZIOTOMIJA I ŠAV	83.40	28
F01006	REVIZIJA DUPLJE MATERICE - MANUELNA	125.10	28
F01007	MANUELNA EKSTRAKCIJA POSTELJICE	125.10	28
F01009	ZBRINJAVANJE RUPTURE MEĐICE I-OG STEPENA	41.70	28
F01010	ZBRINJAVANJE RUPTURE MEĐICE II-OG STEPENA	125.10	28
F01011	ZBRINJAVANJE RUPTURE VAGINALNIH ZIDOVA	125.10	28
F01012	ZBRINJAVANJE RUPTURE GRLIĆA MATERICE	83.40	28
F01013	IMOBILIZACIJA DIJASTAZE SIMFIZE	83.40	28
F01014	ZBRINJAVANJE KRVAVLJENJA I ŠOKA U POROĐAJU	83.40	28
F01015	DRUGE POROĐ OPER(EVAK HEMAT VULVE,INCIZ C,TAMPON UTER U TOK	25.02	28
F01017	CTG KONTINUIRANO U POROĐAJU	100.08	28
F01019	PREKID VISOKE TRUDNOĆE-(PREKO 12 NED)INTRAAMNIJALNO INSTILAL	208.50	28
F01020	APLIKACIJA VAKUMA U POROĐAJU	291.90	28
F01022	APLIKACIJA FORCEPSA NA IZLAZU KARLICE I EKSTRAKCIJA PLODA (	291.90	28
F01023	UNUTRAŠNJI OKRET SA EKSTRAKCIJOM PLODA	333.60	28
F01025	RUČNA POMOĆ PO BRACHT-U (SA VOĐENJEM POROĐAJA)	333.60	28
F01026	RUČNA POMOĆ SA SMELLIE-VEIT-U (SA VOĐENJEM POROĐAJA)	333.60	28
F01027	ZBRINJAVANJE RUPTURE UTERUSA	333.60	28
F01028	ZBRINJAVANJE RUPTURE MEĐICE III-EG STEPENA	417.00	28
F01031	REVISIO CAVI UTERI INSTRUMENTALIS	83.40	28
F01032	OPERACIJE NA PLODU RADI OLAKŠANJA POROĐAJA	417.00	28
