# G06 - JEDINICA CIJELE KRVI I KOMPONENTI KRVI (SETOVI USLUGA)
# Letter: G - USLUGE TRANSFUZIOLOGIJE
# Count: 10
code	name_sr_lat	price_eur	page
G06001	JED.CIJELE KRVI - RHD POZITIVNA JEDINICA	228.66	29
G06002	JED.CIJELE KRVI - RHD NEGATIVNA JEDINICA	247.20	29
G06003	JED.DEPLAZMATISANIH ERITROCITA - RHD POZITIVNA JEDINICA	228.66	29
G06004	JED.DEPLAZMATISANIH ERITROCITA - RHD NEGATIVNA JEDINICA	247.20	29
G06005	JED.PLAZME - RHD POZITIVNA JEDNICA	142.92	29
G06006	JED.PLAZME - RHD NEGATIVNA JEDNICA	151.26	29
G06007	JED.STAND.TROMBOCITNIH KONCENTRATA - RHD POZITIVNA JEDNICA	108.63	29
G06008	JED.STAND.TROMBOCITNIH KONCENTRATA - RHD NEGATIVNA JEDNICA	114.18	29
G06009	JED.KRIOPRECIPITATA - RHD POZITIVNA JEDNICA	129.09	29
G06010	JED.KRIOPRECIPITATA - RHD NEGATIVNA JEDNICA	134.64	29
