# H01 - PSIHIJATRIJA
# Letter: H - USLUGE PSIHIJATRIJE I NEUROLOGIJE
# Count: 19
code	name_sr_lat	price_eur	page
H01001	PRVI PREGLED - PSIHIJATAR	25.02	29
H01002	PONOVNI (KONTROLNI) PREGLED - PSIHIJATAR	16.68	29
H01004	POVRŠINSKA INDIVIDUALNA PSIHOTERAPIJA, SAVJETOVANJE	25.02	29
H01005	INDIVIDUAL SEANSA KOGITIV ILI BIHEJVIOR BAZIRANIH PSIHOTER T	66.72	29
H01006	DNEVNA SEANSA GRUPNE PSIHOTER PACIJ SA ANKS,DEPR ILI PSIH PO	66.72	29
H01007	SEANSA GRUPNE PSIHOTERAPIJE ZAVISNIKA	66.72	29
H01008	SEANSA PORODIČNE PSIHOTERAPIJE	50.04	29
H01009	SEANSA DUBINSKE (ANALITIČKI ORIJENTISANE) PSIHOTERAPIJE	33.36	29
H01010	PSIHOTERAPIJA PONAŠANJA	33.36	29
H01011	TEHNIKA RELAKSACIJE	25.02	29
H01015	KLINIČKO ISPITIVANJE PROCJENE INTELEKTUALNOG STATUSA	20.85	29
H01017	PROCJENA STRUKTURE LIČNOSTI (EKSPLORACIJA) ZA ODRASLE	100.08	29
H01019	NEUROPSIHOL PREGLED SA PROCJENOM KOGNITIVNIH FUNKC ZA ODRASL	33.36	29
H01021	HETEROANAMNEZA	12.51	29
H01025	ELEKTROŠOK U OPŠTOJ ANESTEZ I MIORELAK(BILAT ILI UNILAT)	33.36	29
H01026	DNEVNA SEANSA OKUPACIONO - RADNE TERAPIJE U BOLNICI	33.36	29
H01028	SASTANAK TERAPEUTSKE ZAJEDNICE U BOLNICI	66.72	29
H01029	POROD INTERVEN KOD PACIJ SA HRONIČ PSIHOTIČNIM POREMEĆ-DNEVN	66.72	29
H01030	GRUPNI TRENING SOCIJAL VJEŠ I DRUGI BIHRJVIORAL BAZIRANI MO	66.72	29
