# H13 - INTERVENCIJE I PROCEDURE NEUROLOGIJA(ZA DJECU I ODRASLE)
# Letter: H - USLUGE PSIHIJATRIJE I NEUROLOGIJE
# Count: 17
code	name_sr_lat	price_eur	page
H13001	EEG SA 16-TO KANALNIM EEG APAR,SA HIPERV I FOTOST SA DODAT P	50.04	30
H13002	EEG SA 16-TO KANAL EEG APAR SA HIPERV I FOTO STIMULAC SA DO	50.04	30
H13003	CJELODNEVNO ILI NOĆNO SNIMANJE EEG-A	66.72	30
H13004	ELEKTRONEUROGRAFIJA JEDNOG NERVNOG STABLA	58.38	30
H13005	ELEKTROMIONEUROGRAFIJA EMNG	41.70	30
H13006	ODREĐIVANJE MBP PERIFERNOG ŽIVCA	16.68	30
H13007	ODREĐIVANJE SBP PERIFERNOG ŽIVCA	16.68	30
H13008	POLISEGMENTNO ISPITIVANJE BP MJEŠOVITOG ŽIVCA	16.68	30
H13010	BLINK REFLEKS	41.70	30
H13011	TEST NEUROMIŠIĆNE TRANSMISIJE (TNT TEST)	16.68	30
H13012	PROSTIGMINSKI TEST	16.68	30
H13013	TEST ZA TETANIJU	16.68	30
H13014	PARAVERTEBRALNA INFILTRACIJA MIŠIĆA	16.68	30
H13015	INJICIRANJE BOTULINUS TOKSINA (TORTIKOLIS I BLEFAROSPAZAM)	16.68	30
H13016	MMS TESTIRANJE	12.51	30
H13017	LUMBALNA PUNKCIJA SA MANOMETRIJOM	41.70	30
H13018	SINGLE FIBER EMG-SFEMG (EMG JEDNOG VLAKNA)	12.51	30
