# J06 - RADIOLOGIJA
# Letter: J - RADIOLOŠKA DIJAGNOSTIKA
# Count: 65
code	name_sr_lat	price_eur	page
J06001	SNIMANJE SKELETA LOBANJE I LICA-ZA SVAKI SNIMAK	7.50	31
J06002	SNIMANJE POJEDINIH DIJELOVA KIČME I SAKROILIJAČNE REGIJE-ZA	7.50	31
J06003	SNIMANJE POJEDINIH DIJELOVA SKELETA, EKSTREMITETA I KARLICE-	7.50	31
J06004	LOKALIZACIJA STRANOG TIJELA U BILO KOJEM ORGANU (OSIM OKA)	7.50	31
J06005	SNIMANJE ŽDRIJELA I GRKLJANA	7.50	31
J06006	SNIMANJE TORAKSA (REBRA,STERNUM)-ZA SVAKI PRAVAC	2.49	31
J06007	FLUOROGRAM PLUĆA	4.98	31
J06008	RADIOGRAFIJA PLUĆA	7.50	31
J06009	SNIMAK MEDIJASTINUMA	7.50	31
J06010	TELERADIOGRAFIJA SRCA-ZA SVAKI PRAVAC	7.50	31
J06011	SNIMANJE HEPATOBILIJARNOG TRAKTA	7.50	31
J06012	SNIMANJE UROGENITALNOG TRAKTA	7.50	31
J06013	NATIVNI SNIMAK UROTRAKTA UZ RTGSK	4.98	31
J06014	MAMOGRAFIJA	7.50	31
J06015	RENTGENOSKOPIJA ABDOMENA NATIVNO	7.50	31
J06016	HISTEROSALPINGOGRAFIJA - KOMPLETAN PREGLED	43.11	31
J06017	INTRAVENSKA HOLANGIOHOLECISTOGRAFIJA	30.00	31
J06018	IRIGOSKOPIJA I IRIGOGRAFIJA	22.50	31
J06019	IRIGOSKOPIJA I IRIGOGRAFIJA SA DUPLIM KONTRASTOM PO FIŠERU	3.75	31
J06020	JEDNJAK, ŽELUDAC,DUODENUM, CRIJEVA - CILJANO SNIMANJE PO SVA	3.75	31
J06021	PASAŽA CRIJEVA	22.50	31
J06022	INTRAVENOZNA UROGRAFIJA	14.79	31
J06023	MIKCIONA CISTOGRAFIJA	17.82	31
J06024	INFUZIONA UROGRAFIJA SA DESCENDENTNOM CISTOGRAFIJOM	24.39	31
J06025	OČNI BULBUS (VOGT)	11.28	31
J06026	LOKALIZACIJA STRANOG TIJELA U OKU UZ RTGSK KONTROLU	15.03	31
J06027	RADIOSKOPIJA I SNIMANJE STRANOG TIJELA	15.03	31
J06028	INTRAVENSKA HOLANGIOGRAFIJA KROZ T DREN	22.50	31
J06029	CISTOGRAFIJA (URETROCISTOGRAFIJA) STANDARNA	17.82	31
J06030	PERKUTANA UROGRAFIJA	151.38	31
J06031	PERKUTANA SKLEROTIZACIJA CISTE BUBREGA	252.30	31
J06032	KONTROLA DRENAŽE PATOLOŠKIH TEČNIH KOLEKCIJA, BILIJARNIH PUT	38.01	31
J06033	ANTEROGRADNA UROGRAFIJA	252.30	31
J06034	PUNKCIJA CISTE POD KONTROLOM UZ	252.30	31
J06035	PUNKCIONA BIOPSIJA POD KONTROLOM UZ	37.65	31
J06036	DRENAŽA TEČNIH KOLEKCIJA IZ TORAKALNE ŠUPLJINE POD KONTR. UZ	75.33	31
J06037	DRENAŽA TEČNIH KOLEKCIJA IZ ABD. ŠUPLJINE POD KONTR. UZ	75.33	31
J06038	PERKUTANA NEFROSTOMIJA POD KONTROLOM UZ	294.06	31
J06039	FISTULOGRAFIJA	17.82	31
J06040	SNIMAK PARANAZALNIH ŠUPLJINA	12.54	32
J06042	PERORALNA HOLECISTOGRAFIJA	30.00	32
J06043	INFUZIONA HOLECISTOGRAFIJA	30.00	32
J06044	MINUTNA UROGRAFIJA	14.79	32
J06045	PREGLED DEBELOG CRIJEVA KROZ STOMU	22.50	32
J06046	RETROGRADNA UROGRAFIJA	43.11	32
J06047	SNIMANJE ŽDRIJELA I GRKLJANA UZ RTGSK	15.03	32
J06048	SNIMANJE MEKOG TKIVA VRATA	7.50	32
J06049	RADIOSKOPIJA PLUĆA	7.50	32
J06050	RADIOSKOPIJA SRCA	7.50	32
J06051	TELERADIOGRAFIJA PLUĆA I SRCA BEZ RTGSK	7.50	32
J06052	TELERADIOGRAFIJA PLUĆA I SRCA UZ RTGSK	15.03	32
J06053	RADIOSKOPIJA JEDNJAKA, ŽELUCA I DUODENUMA	15.03	32
J06054	RADIOSKOPIJA ŽELUCA I DUODENUMA SA DVOSTRUKIM KONTRASTOM	15.03	32
J06055	HIPOTONA DUODENOGRAFIJA	15.03	32
J06056	PREGLED BATRLJKA ŽELUCA SA KATETEROM	15.03	32
J06057	PREGLED GASTRODUODENUMA KROZ STOMU	22.50	32
J06058	TANKO CRIJEVO, STANDARDNA RTGSK PASAŽA	15.03	32
J06059	INTRAVENOZNA CISTOGRAFIJA	14.79	32
J06060	PERKUTANA NEFROSTOMIJA (DO 10F)	294.06	32
J06061	PREGLEDNI SNIMAK ABDOMENA NATIVNO SA KARLICOM	4.98	32
J06062	CILJANI SNIMAK ZUBA	3.42	32
J06063	SIJALOGRAF. JEDN. PLJUV. ŽLIJEZDE NA JEDNOJ STR.,KOMPL PREGL	18.99	32
J06064	SIJALOGRAF.PLJUV.ŽLIJEZDE NA OBJE STRANE,KOMPL.PREGL.	25.32	32
J06065	ARTOGRAFIJA TEMPOROMANDIBULARNOG ZGLOBA, KOMPLETAN PREGLED	25.32	32
J06066	BRONHOGRAFIJA	83.40	32
