# J07 - ULTRAZVUČNA DIJAGNOSTIKA
# Letter: J - RADIOLOŠKA DIJAGNOSTIKA
# Count: 17
code	name_sr_lat	price_eur	page
J07001	UZ GORNJEG ABDOMENA:ŽUČNE KESE,ŽUČNIH PUTEVA, JETRE I GUŠTER	32.19	32
J07002	UZ DONJ ABD I RETROPERIT:BUBR, NADBUB,MOK.BEŠ,PROSTAT,RETROP	32.19	32
J07003	ULTRAZVUK TESTISA	32.19	32
J07004	UZ KUKOVA KOD ODOJČADI	32.19	32
J07005	ULTRAZVUK MEKIH TKIVA I LIMFNIH ŽLIJEZDA	32.19	32
J07006	UZ ABDOMINALNIH KRVNIH SUDOVA I/ILI LIMFNIH ŽLIJEZDA	32.19	32
J07007	UZ ŠTITNE I PARAŠTITNE ŽLIJEZDE	32.19	32
J07008	UZ PREGLED DOJKI	32.19	32
J07009	DOPPLER SONOGRAFIJA VRATA	32.19	32
J07010	DOPPLER SONOGRAFIJA GORNJIH EKSTREMITETA	32.19	32
J07011	DOPPLER SONOGRAFIJA DONJIH EKSTREMITETA	32.19	32
J07012	DOPPLER SONOGRAFIJA VELIKIH KRVNIH SUDOVA	32.19	32
J07013	TRANSKRANIJALNA DOPPLER SONOGRAFIJA	32.19	32
J07015	UZ PREGLED VRATA (PLJUVAČNE ŽLIJEZDE I MEKA TKIVA)	32.19	32
J07016	UZ PREGLED PLUĆNIH BAZA	32.19	33
J07017	ULTRAZVUK SINUSA	32.19	33
J07018	MJERENJE INDEKSA SISTOLNOG PRIT. ULTRAZV STETOS. PO DOPPLERU	32.19	33
