# J08 - CT DIJAGNOSTIKA
# Letter: J - RADIOLOŠKA DIJAGNOSTIKA
# Count: 40
code	name_sr_lat	price_eur	page
J08001	MSCT BEZ KONTRASTA	124.56	33
J08002	MSCT SA KONTRASTOM	186.87	33
J08003	MSCT KORONAROGRAFIJA BEZ KONTRASTA	124.56	33
J08004	MSCT KORONAROGRAFIJA SA KONTRASTOM	186.87	33
J08005	MSCT ANGIOGRAFIJA VRATA I MOZGA BEZ KONTRASTA	124.56	33
J08006	MSCT ANGIOGRAFIJA VRATA I MOZGA SA KONTRASTOM	186.87	33
J08007	MSCT ANGIOGRAFIJA AORTE BEZ KONTRASTA	124.56	33
J08008	MSCT ANGIOGRAFIJA AORTE SA KONTRASTOM	186.87	33
J08009	MSCT ANGIOGRAFIJA EKSTREMITETA BEZ KONTRASTA	124.56	33
J08010	MSCT ANGIOGRAFIJA EKSTREMITETA SA KONTRASTOM	186.87	33
J08011	MSCT VIRTUELNA KOLONOSKOPIJA BEZ KONTRASTA	124.56	33
J08012	MSCT VIRTUELNA KOLONOSKOPIJA SA KONTRASTOM	186.87	33
J08013	MSCT VIRTUELNA BRONHOSKOPIJA BEZ KONTRASTA	124.56	33
J08014	MSCT VIRTUELNA BRONHOSKOPIJA SA KONTRASTOM	186.87	33
J08015	KOMPJUTERIZOVANA TOMOGRAFIJA BEZ KONTRASTA	124.56	33
J08016	KOMPJUTERIZOVANA TOMOGRAFIJA SA KONTRASTOM	186.87	33
J08017	PERKUTANA ASPIRACIONA BIOPSIJA (PAB) POD KONTROLOM CT-A	129.78	33
J08018	DRENAŽA BILIJARNOG SISTEMA POD KONTROLOM CT-A	334.05	33
J08019	PERKUT.-TRANSHEPATALNO ODSTR.ŽUČNIH KONK. (DORMIA KOŠARICOM)	501.09	33
J08020	NADOMJEŠTANJE ISPALOG T-DRENA POD KONTROLOM CT-A	501.09	33
J08021	UKLANJANJE BARIJERA U ZAČEPLJENOM T DRENU	501.09	33
J08022	DILATACIJA STRUKTURA ŽUČNIH PUTEVA	501.09	33
J08023	POSTOPERATIVNA BIOPSIJA EKSTRAHEPATALNIH ŽUČNIH VODOVA	501.09	33
J08024	PUNKCIJA I EVAKUACIJA BUBREŽNIH CISTA POD KONTROLOM CT-A	252.30	33
J08025	PERKUTANA NEFROSTOMIJA POD KONTROLOM CT-A	294.06	33
J08026	REKANALIZACIJA URETERA PERKUTANO	709.89	33
J08027	PERKUTANO ZAČEPLJENJE URETERA	501.09	33
J08028	PERKUTANA DRENAŽA JETRENOG ABSCESA POD KONTROLOM CT-A	501.09	33
J08029	PERIKARDIOCENTEZA I DRENAŽA KATETEROM POD KONTROLOM CT-A	501.09	33
J08030	SELEKT.ARTER. INFUZIJA VAZOPRESINA ZA ZAUSTAV.KRVAR. KOD...	417.57	33
J08031	SELEKT.ARTER. INFUZIJA VAZOPR, PROSTAG. U CRIJ.ARTER. KOD...	417.57	33
J08032	TRANSKATETERSKA TERAPIJSKA EMBOLIZACIJA (TTE) KOD...	709.89	33
J08033	KATETERSKA EKTOMIJA ORGANA (EMBOLIZACIJA DOVODNE ARTERIJE)	709.89	33
J08034	TRANSKATETERSKA ELEKTROKOAGULACIJA KRVNIH SUDOVA TUMORA	709.89	33
J08035	OKLUZIJA INTRAKR.ANEURIZMI SA BAL.KATET. ILI DR.OKLUZ.MATER.	290.13	33
J08036	ATRIOSEPTOMIJA SA BALONSKIM KATETEROM (PO RUSKINND-U)	751.65	33
J08037	ZATVARANJE OTVORENOG DUCTUS BOTALI (PO PORTSMANN-U)	751.65	33
J08038	PERKUT.TRANSLUM.ANGIOPLAST.DILATAC.KRVN.SUDOVA  (PTA)      KOD...	700.65	34
J08039	ODSTRANJIVANJE STRANIH TIJELA IZ KRVNIH SUDOVA	700.65	34
J08040	MIJELOGRAFIJA	55.98	34
