# J09 - MR DIJAGNOSTIKA
# Letter: J - RADIOLOŠKA DIJAGNOSTIKA
# Count: 26
code	name_sr_lat	price_eur	page
J09001	MR PREGLED MOZGA-GLAVE BEZ KONTRASTA	360.00	34
J09002	MR PREGLED MOZGA-GLAVE SA KONTRASTOM	450.00	34
J09003	MR PREGLED VRATNE KIČME-BEZ KONTRASTA	360.00	34
J09004	MR PREGLED VRATNE KIČME-SA KONTRASTOM	450.00	34
J09005	MR PREGLED TORAKALNE KIČME-BEZ KONTRASTA	360.00	34
J09006	MR PREGLED TORAKALNE KIČME-SA KONTRASTOM	450.00	34
J09007	MR PREGLED LUMBOSAKRALNE KIČME-BEZ KONTRASTA	360.00	34
J09008	MR PREGLED LUMBOSAKRALNE KIČME-SA KONTRASTOM	450.00	34
J09009	MR PREGLED KARLICE SA KUKOVIMA-BEZ KONTRASTA	360.00	34
J09010	MR PREGLED KARLICE SA KUKOVIMA-SA KONTRASTOM	450.00	34
J09011	MR PREGLED OSTEOMUSKULARNOG SISTEMA-BEZ KONTRASTA	360.00	34
J09012	MR PREGLED OSTEOMUSKULARNOG SISTEMA-SA KONTRASTOM	450.00	34
J09013	MR PREGLED KRVNIH SUDOVA VRATA I MOZGA-BEZ KONTRASTA	360.00	34
J09014	MR PREGLED KRVNIH SUDOVA VRATA I MOZGA-SA KONTRASTOM	450.00	34
J09015	MR PREGLED ABDOMENA-BEZ KONTRASTA	360.00	34
J09016	MR PREGLED ABDOMENA-SA KONTRASTOM	450.00	34
J09017	MR PREGLED MALE KARLICE-BEZ KONTRASTA	360.00	34
J09018	MR PREGLED MALE KARLICE-SA KONTRASTOM	450.00	34
J09019	MR PREGLED HIPOFIZE-SA KONTRASTOM	450.00	34
J09020	MR PREGLED VRATA-BEZ KONTRASTA	360.00	34
J09021	MR PREGLED VRATA-SA KONTRASTOM	450.00	34
J09022	MRCP-BEZ KONTRASTA	360.00	34
J09023	MRCP-SA KONTRASTOM	450.00	34
J09024	MR DOJKE-SA KONTRASTOM	450.00	34
J09025	MR TORAKSA/MEDIJASTINUMA-BEZ KONTRASTA	360.00	34
J09026	MR TORAKSA/MEDIJASTINUMA-SA KONTRASTOM	450.00	34
