# K01 - SPISAK USLUGA MIKROBIOLOŠKE DIJAGNOSTIKE
# Letter: K - CENTAR ZA DIJAGNOSTIKU - MIKROBIOLOŠKA DIJAGNOSTIKA
# Count: 70
code	name_sr_lat	price_eur	page
K01001	PRVI SPECIJALISTIČKI PREGLED	9.51	34
K01002	PRIJEM MATER I DAVANJE STER POSUDA ZA URIN,	1.44	35
K01003	UZIMANJE UZORAKA	2.37	35
K01004	PREGLED PREPARATA URETRA, VAGIN ILI CERVI BRISA NA GONOREJU	12.36	35
K01005	AMINSKI TEST	2.37	35
K01006	MIKROSKOPSKI PREGLED NA TREPONEMA PALLIDUM	12.36	35
K01007	BRIS ŽDRIJELA	13.32	35
K01008	BRIS USNE DUPLJE	13.32	35
K01009	BRIS JEZIKA	13.32	35
K01010	BRIS NOSA	13.32	35
K01011	BRIS OKA	13.32	35
K01012	BRIS UHA	13.32	35
K01013	BRIS RANE	16.65	35
K01014	BRIS PUPKA	13.32	35
K01015	BRIS KOŽE	13.32	35
K01016	BRIS DOJKE	13.32	35
K01017	BRIS VAGINE	13.32	35
K01018	BRIS VULVE	13.32	35
K01019	BRIS GLANSA	13.32	35
K01020	BRIS PREPUCIJUMA	13.32	35
K01021	BRIS URETRE	13.32	35
K01022	URINOKULTURA	13.32	35
K01023	KOPROKULTURA	13.32	35
K01024	BRIS ČMARA	13.32	35
K01025	KULTURA NA VIBRIO KOLERE	13.32	35
K01026	SPUTUM KULTURA	13.32	35
K01027	CERVIKALNA KULTURA	13.32	35
K01028	IZRADA ANTIBIOGRAMA (RADI SE PO POTREBI)	7.62	35
K01029	KULTIVACIJA MYCOPLASME SA IZRADOM ANTIBIOGRAMA	15.21	35
K01030	PREGLED PREPARATA NA DERMATOMIKOZE NOKTA	17.13	35
K01031	PREGLED PREPARATA NA DERMATOMIKOZE KOŽE	17.13	35
K01032	PREGLED PREPARATA NA DERMATOMIKOZE DLAKE.	17.13	35
K01033	KULTURA BRISA KOŽE NA GLJIVICE	13.32	35
K01034	KULTURA BRISA DLAKE NA GLJIVICE	13.32	35
K01035	KULTURA BRISA NOKTA NA GLJIVICE	13.32	35
K01036	KULTURA VAGINALNOG SEKRETA NA GLJIVICE	13.32	35
K01037	KULTURA BRISA VULVE NA GLJIVICE	13.32	35
K01038	KULTURA BRISA GLANSA NA GLJIVICE	13.32	35
K01039	KULTURA BRISA PREPUCIJUMA NA GLJIVICE	13.32	35
K01040	KULTURA URETRALNOG SEKRETA NA GLJIVICE	13.32	35
K01041	KULTURA STOLICE NA GLJIVICE	13.32	35
K01042	KULTURA URINA NA GLJIVICE	13.32	35
K01043	KULTURA BRISA NOSA NA GLJIVICE	13.32	35
K01044	KULTURA SPUTUMA NA GLJIVICE	13.32	35
K01045	KULTURA BRISA GRLA NA GLJIVICE	13.32	36
K01046	KULTURA BRISA NEPCA NA GLJIVICE	13.32	36
K01047	KULTURA BRISA RANE NA GLJIVICE	16.65	36
K01048	IDENTIFIKACIJA GLJIVICA	21.90	36
K01049	IZRADA ANTIMIKOGRAMA	12.36	36
K01050	PREGLED PREPA URET ILI VAG BRISA NATRICHOMONAS VAGIN (STEP)	12.36	36
K01051	MIKROS PREGLED PERIAN OTISKA (LJEPLJIVIM CELOFANOM)	10.47	36
K01052	MIKROS PREGLED STOLICE NA HELMINTE (METODA KONCENTRACIJE)	17.13	36
K01053	MIKROS PREGLED STOLICE NA PROTOZOE (METODA KONCENTRACIJE)	17.13	36
K01054	NATIVNI MIKROSKOPSKI PREPARAT NA AMEBE SA PROVOKACIJOM	12.36	36
K01055	PARAZITOLOSKI PREGLED STOLICE NA CRYPT. VRSTE(ZIEHL-NEELSEN)	12.36	36
K01056	MIKROSKOPSKI PREPARAT I PREGLED NA MALARIJU	33.30	36
K01057	PREGLED I IDEN EKTOPARAZITA KOŽE (LARVA, LUTKA ILI ADULT)	10.95	36
K01058	UZIMANJE I PREGLED OTISKA KOŽE NA DEMODEX VRSTE	12.36	36
K01059	CRP-LATEX	7.62	36
K01060	VDRL	7.62	36
K01061	ASTO-LATEX	9.51	36
K01062	PAUL BUNEL-OVA REAKCIJA (MONOSTIKON TEST)	9.51	36
K01063	TPHA	9.51	36
K01064	MIKROSKOPSKO CITOLOŠKI PREGLED (STEPEN)	12.36	36
K01065	CRP-TURBIDOMETRIJA	7.62	36
K01066	ASTO-TURBIDOMETRIJA	9.51	36
K01067	REUMA FAKTOR (RF)-LATEX	9.51	36
K01068	REUMA FAKTOR (RF)-TURBIDOMETRIJA	9.51	36
K01069	WAALER-ROSE TEST	9.51	36
K01070	KULTURA BRISA JEZIKA NA GLJIVICE	13.32	36
