# K03 - MIKROBIOLOŠKA DIJAGNOSTIKA
# Letter: K - CENTAR ZA DIJAGNOSTIKU - MIKROBIOLOŠKA DIJAGNOSTIKA
# Count: 163
code	name_sr_lat	price_eur	page
K03004	SPERMOKULTURA	24.69	36
K03005	BAKTERIOLOŠKO ISPITIVANJE KRVI - AEROBNO	24.69	36
K03006	BAKTERIOLOŠKO ISPITIVANJE LIKVORA - AEROBNO	20.73	37
K03009	BAKTERIOLOŠKO ISPITIVANJE ŽUČI - AEROBNO	20.73	37
K03010	KULTURA NA UREAPLAZMA UREALITICUM	17.28	37
K03011	KULTURA NA CHLAMYDIA TRACHOMATIS	37.02	37
K03012	KULTURA NA MYCOPLAZMA HOMINIS	17.28	37
K03013	KULTURA NA GONOCOCCUS	17.28	37
K03019	KULTURA NA CAMPYLOBACTER	24.69	37
K03020	ELISA ANTI-HELICOBACTER PYLORI	22.11	37
K03021	BAKTERIOLOŠKO ISPITIVANJE DUBOKOG BRISA GRLA - AEROBNO	13.32	37
K03022	BAKTERIOLOŠKO ISPITIVANJE BRISA KRVI - AEROBNO	13.32	37
K03023	BAKT.ISPIT. BRISA ULAZN.MJESTA CENT.VENSK.KATET.-AEROBNO	13.32	37
K03024	BAKTER. ISPITIV. BRISA VRHA URINARNOG KATETERA - AEROBNO	13.32	37
K03025	BAKTERIOLOŠKO ISPITIVANJE BRISA SWAN-GANZ KATETERA - AEROBNO	13.32	37
K03026	BAKTERIOLOŠKO ISPITIVANJE BRISA TANKOG CRIJEVA - AEROBNO	13.32	37
K03027	BAKTERIOLOŠKO ISPITIVANJE BRISA TORAKALNOG DRENA - AEROBNO	13.32	37
K03028	BAKTER. ISPITIV. BRISA TRAHEO-BRONHIJALNOG STABLA -AEROBNO	13.32	37
K03029	BAKTERIOLOŠKO ISPITIVANJE BRISA TRAHEOFLEKSA - AEROBNO	13.32	37
K03030	BAKTERIOLOŠKO ISPITIVANJE BRISA TUBUSA - AEROBNO	13.32	37
K03031	BAKTER.ISPITIV. BRISA ŽELUDAČNOG SADRŽAJA - AEROBNO	13.32	37
K03032	BAKTER. ISPITIV. BRONHOALVEOLARNOG ISPIRKA - AEROBNO	20.73	37
K03033	BAKTERIOLOŠKO ISPITIVANJE BRISA KANILE - AEROBNO	13.32	37
K03034	BAKTERIOLOŠKO ISPITIVANJE BRISA ROŽNJAČE - AEROBNO	13.32	37
K03035	BAKTERIOLOŠKO ISPITIVANJE BRISA LOHIJA - AEROBNO	13.32	37
K03036	BAKTERIOLOŠKO ISPITIVANJE BRISA NEFROSTOME - AEROBNO	13.32	37
K03037	BAKT.ISPITIV. BRISA OKOLINE CENTR.VENSK.KATET. -AEROBNO	13.32	37
K03038	BAKTERIOLOŠKO ISPITIVANJE BRISA OKOLINE FIKSATORA - AEROBNO	13.32	37
K03039	BAKTERIOLOŠKO ISPITIVANJE BRISA OVOJNICE CRIJEVA - AEROBNO	13.32	37
K03040	BAKTERIOLOŠKO ISPITIVANJE BRISA PERITONEUMA - AEROBNO	13.32	37
K03041	BAKTERIOLOŠKO ISPITIVANJE BRISA PLEURE - AEROBNO	13.32	37
K03042	BAKTERIOLOŠKO ISPITIVANJE BRISA ABDOMINALNOG DRENA - AEROBNO	13.32	37
K03043	BAKTERIOLOŠKO ISPITIVANJE BRISA AKSILARNE REGIJE - AEROBNO	13.32	37
K03044	BAKTERIOLOŠKO ISPITIVANJE BRISA AORTNE VALVULE - AEROBNO	13.32	37
K03045	BAKTER. ISPITIVANJE BRIS ARTERIJSKOG KATETERA - AEROBNO	13.32	37
K03046	BAKTERIOLOŠKO ISPITIVANJE BRISA ASPIRACIONE SONDE - AEROBNO	13.32	37
K03047	BAKTER. ISPITIVANJE VRHA INTRAVASKULARNOG KATETERA - AEROBNO	13.32	37
K03048	BAKTERIOLOŠKO ISPITIVANJE BRISA BUKALNE SLUZNICE - AEROBNO	13.32	37
K03049	BAKTER. ISPITIV. BRISA CENTRALNOG VENSKOG KATETERA - AEROBNO	13.32	37
K03050	BAKTERIOLOŠKO ISPITIVANJE BRISA DEBELOG CRIJEVA - AEROBNO	13.32	37
K03051	BAKTERIOLOŠKO ISPITIVANJE BRISA INGVINALNE REGIJE - AEROBNO	13.32	37
K03052	BAKTER.ISPITIV. BRISA INTRAVASKUL.KATETERA (ŠITA) -AEROBNO	13.32	37
