# L01 - PATOLOŠKA ANATOMIJA I HISTOLOGIJA
# Letter: L - PATOLOŠKA ANATOMIJA I HISTOLOGIJA
# Count: 156
code	name_sr_lat	price_eur	page
L01001	PREGLED AMPUTIRANOG APENDIKSA	33.36	40
L01002	PREGLED ENDOSKOPSKE BIOPSIJE KOLONA	33.36	40
L01003	PREGLED BIOPSIJE LABIUM ORIS	33.36	40
L01004	PREGLED ENDOSKOPSKE BIOPSIJE SLUZNICE ŽELUCA	33.36	40
L01005	CYSTES DENTOGENES (DENTOGENE CISTE)	33.36	40
L01006	PREGLED ENDOSKOPSKE BIOPSIJE JEDNJAKA	33.36	40
L01007	PREGLED HEMOROIDEKTOMIJE	33.36	40
L01008	PREGLED ENDOSKOPSKI RESECIRANOG POLIPA KOLONA	33.36	41
L01009	PREGLED PARCIJALNE RESEKCIJE ŽELUCA SA ULKUSOM	33.36	41
L01010	RESEKOVANO TANKO CRIJEVO (RESECTIO INTESTINI TENIS)	33.36	41
L01011	CISTE LABIALNE	33.36	41
L01012	PREGLED MIOMA	33.36	41
L01013	PREGLED POLIPA CERVIKSA	33.36	41
L01014	RESECTIO OVARII PARTIALIS	33.36	41
L01015	PREGLED JAJOVODA	33.36	41
L01016	PREGLED BIOPSIJE VAGINE	33.36	41
L01017	GLANDULAE DIGESTORIAE ET LACRIMALES	33.36	41
L01018	PREGLED EHINOKOKA JETRE	33.36	41
L01019	PREGLED BIOPSIJE KONJUNKTIVE	33.36	41
L01020	PREGLED PROMJENE IZ UŠNOG KANALA	33.36	41
L01021	PREGLED BIOPSIJE KOŽE	33.36	41
L01022	PREGLED BIOPSIJE MUKOZE USTA I FARINKSA	33.36	41
L01023	PREGLED PARCIJALNE RESEKCIJA TANKOG CRIJEV, FISURA I FISTULA	33.36	41
L01024	TUMOR VAGINE (EXTIRPATIO TUMORIS VAGINAE)	33.36	41
L01025	PREGLED ODSTRANJENE ŽUČNE KESE	33.36	41
L01026	PREGLED TUMORA PLJUVAČNE ŽLIJEZDE	33.36	41
L01027	PREGLED PILONIDALNOG SINUSA	33.36	41
L01028	PREGLED BIOPSIJE MIŠIĆA	33.36	41
L01029	PREGLED TUMORA SUBKUTISA	33.36	41
L01030	PREGLED BIOPSIJE LARINKSA	33.36	41
L01031	PREGLED BIOPSIJE TRAHEJE / BRONHA	33.36	41
L01032	PLEURALNI I ABDOMINALNI PUNKTAT (CISTOLOŠKA ANALIZA)	33.36	41
L01033	TUMOR FARINGSA	33.36	41
L01034	PREGLED TOTALNE RESEKCIJE LARINKSA	33.36	41
L01035	PREGLED POLIPA LARINKSA	33.36	41
L01036	PREGLED SPUTUMA	33.36	41
L01037	PREGLED SUBTOTALNE RESEKCIJE ŠTITNE ŽLIJEZDE	33.36	41
L01038	PREGLED BIOPSIJE PENISA	33.36	41
L01039	PREGLED BIOPSIJE TRBUŠNE MARAMICE	41.70	41
L01040	DENTES (ZUBI)	41.70	41
L01041	TUMOR IZ USNE DUPLJE	41.70	41
L01042	OPERATIO AURIS MEDII (GRANULACIJE ILI POLIPOZNE MASE IZ	41.70	41
L01043	PREGLED BIOPSIJE CERVIKSA UTERUSA SA ENDOCERVIKALNOM KIRETAŽ	41.70	41
L01044	PREGLED BIOPSIJE LIMFNOG ČVORA	41.70	41
L01045	PREGLED BIOPSIJE JETRE	41.70	41
L01046	PREGLED ANEURIZME AORTE	41.70	41
L01047	PREGLED RESEKTATA JEDNJAKA	41.70	41
L01048	PREGLED JAJNIKA SA JAJOVODOM	41.70	41
L01050	PREGLED CISTE VRATA	41.70	41
L01051	NAEVUS	41.70	41
L01052	PREGLED KIRETAŽE KOSTI	41.70	42
L01053	PREGLED POLIPA IZ NOSA	41.70	42
L01054	PREGLED TONZILEKTOMIJE	41.70	42
L01055	PREGLED TRANSURETRALNE RESEKCIJE TUMORA MOKRAĆNE BEŠIKE	41.70	42
L01056	PREGLED BIOPSIJE NERVA	41.70	42
L01057	PREGLED PARCIJALNE RESEKCIJE DEBELOG CRIJEVA	50.04	42
L01058	PREGLED BIOPSIJE TESTISA	50.04	42
L01059	SPERMOGRAM	54.21	42
L01060	AMPUTIRANI REKTUM	58.38	42
L01061	PREGLED TUMORA DOJKE	58.38	42
L01062	PREGLED CISTE / TUMORA JAJNIKA	58.38	42
L01063	PREGLED SLEZINE	58.38	42
L01064	PREGLED RESEKTATA MANDIBULE / MAXILE	58.38	42
L01065	TOTALNA GASTREKTOMIJA (GASTRECTOMIA TOTALIS)	58.38	42
L01066	PREGLED GRUPE LIMFNIH ČVOROVA	58.38	42
L01067	PREGLED TUMORA KOSTI	58.38	42
L01068	PREGLED TOTALNE RESEKCIJE ŠTITNE ŽLIJEZDE	58.38	42
L01069	PREGLED KONIZATA CERVIKSA UTERUSA	66.72	42
L01070	UTERUS SA JEDNIM JAJOVODOM I JAJNIKOM (HYSTERECTOMIA CUM	66.72	42
