# M02 - INTERVENCIJE I PROCEDURE FIZIKALNA MEDICINA I
# Letter: M - FIZIJATRIJA
# Count: 64
code	name_sr_lat	price_eur	page
M02001	MANUELNA SEGMENTNA MASAŽA	8.34	44
M02002	MANUELNA LIMFNA DRENAŽA	8.34	44
M02003	APARATURNA MASAŽA	5.59	44
M02004	KRIOTERAPIJA I KRIOMASAŽA	8.34	44
M02005	VISOKOFREKVENTNE STRUJE	12.51	44
M02008	MAGNETOTERAPIJA	12.51	44
M02009	TERAPIJA ULTRAZVUKOM	8.34	44
M02010	TERAPIJA ULTRAZVUKOM U VODI	10.01	44
M02011	LASER TERAPIJA	12.51	44
M02013	PODVODNA MASAŽA VODENIM MLAZOM	8.34	44
M02014	TERAPIJA BISERNIM KUPKAMA	16.68	44
M02015	ČETVOROĆELIJSKE KUPKE	16.68	44
M02017	MANUELNI MIŠIĆNI TEST PO EKSTREMITETU.	5.59	44
M02018	ZRAČENJE INFRACRVENIM, ULTRAVIOLETNIM I BIOPTROM LAMPOM	8.34	44
M02019	PARAFIN I FANGO TERAPIJA	5.59	44
M02020	TERAPIJA GALVANSKOM STRUJOM U VODI	4.17	44
M02021	ELEKTROFOREZA	8.34	44
M02022	DIADINAMSKE STRUJE.	8.34	44
M02023	TRANSKUTANA NERVNA STIMULACIJA.	11.09	45
M02024	KTD	11.09	45
M02025	MIKROTALASNA DIAMETRIJA	8.34	45
M02026	SONOFOREZA.	8.34	45
M02027	ISPIT ELEKTR PODRAŽ ŽIVACA I MIŠ PRIMJEN FERAD I GALVAN STRU	16.68	45
M02028	UVJEŽBAVANJE AKTIVNOSTI SVAKODNEVNOG ŽIVOTA PREMA PATOLOŠKIM	11.09	45
M02029	VJEŽBE HODA	8.34	45
M02030	OBUKA HODA SA POMAGALOM	11.09	45
M02031	VJEŽBE KOORDINACIJE, KOREKCIJE I AUTOMATIZACIJE BALANSA HODA	11.09	45
M02032	VJEŽBE DISANJA	8.34	45
M02033	GRUP VJEŽ PO OSOBI U KOREKT GIPSU ZA SKOLIOZ,U MILLWA MIDERU	4.17	45
M02034	STIMULATIVNE VJEŽBE KOD RIZIKO BEBA	25.02	45
M02036	PASIVNE I POTPOMOGNUTE VJEŽBE	11.09	45
M02038	AKTIVNE VJEŽBE I VJEŽBE PROTIV OTPORA	11.09	45
M02039	VJEŽBE NA SPRAVAMA:P.A ILI ERGOBICIK, KINET ŠINA, SUSPENZ,ŠV	8.34	45
M02040	MJERENJE OBIMA POKRETA POJED ZGLOBOVA PO JEDNOM PARU EKSTREM	16.68	45
M02041	IZOMETRIJSKE VJEŽBE - SEGMENTNE.	8.34	45
M02042	TRAKCIJA KIČMENOG STUBA NA APARATU	8.34	45
M02044	TEST AKTIVNOSTI SVAKODNEVNOG ŽIVOTA.	16.68	45
M02045	OBUKA PACIJENTA SPECIFIČNIM ZAŠTITNIM POLOŽAJIMA TIJELA.	16.68	45
M02046	INTERFERENTNE STRUJE	11.09	45
M02047	VAKUM MASAŽA	4.17	45
M02048	POSTURALANA DRENAŽA U POSTELJI	4.17	45
M02049	VJEŽBE RAVNOTEŽE SJEDEĆEG ILI STOJEĆEG STAVA	8.34	45
M02053	VJEŽBE KOORDINACIJE GORNJIH EKSTREMITETA	8.34	45
M02054	VJEŽBE KOORDINACIJE DONJIH EKSTREMITETA	8.34	45
M02055	VJEŽBE KOORDINACIJE POKRETA EKSTREMITETA I BALANSA HODA	8.34	45
M02056	POTPOMOGNUTE SEGMENTNE VJEŽBE	8.34	45
M02057	PROGRESIVNE VJEŽBE SA OTPOROM	8.34	45
M02058	AKTIVNE SEGMENTNE VJEŽBE SA DOZIRANIM OPTEREĆENJEM	8.34	45
M02061	VJEŽBE ZA KOREKCIJU DEFORMITETA GORNJIH I DONJIH EKSTREMITET	8.34	45
M02062	POSTURALNE VJEŽBE	16.68	45
M02063	DINAMOMETRIJA EKSTREMITETA	8.34	45
M02064	TERAPIJA ULTRAKRATKIM TALASIMA	12.51	45
M02065	HRONAKSIMETRIJA SENZITIVNIH I MOTORNIH ŽIVACA	16.68	45
M02066	ODREĐIVANJE KRIVE I/T	33.36	45
M02067	DERMATOTERMOMETRIJA KONTAKTNA I BEZKONTAKTNA	16.68	45
M02068	AKTIVNO POTPOMOGNUTE VJEŽBE U VODI	8.34	45
M02069	PROGRESIVNE VJEŽBE SA OTPOROM NA KVADRICEPS APARATU	8.34	45
M02070	MEHANOTERAPIJA NA APARATU	8.34	45
M02071	BLOKADA SIMPATIČNIH GANGLIONA DD STRUJAMA.	8.34	45
M02072	ELEKTROSTIMULACIJA MOKRAĆNOG MJEHURA	16.68	45
M02073	STABILNA FARADIZACIJA	4.17	46
M02074	FONOFOREZA	8.34	46
M02075	TERAPIJA SA CO2 KUPKAMA	16.68	46
M02076	TERAPIJA HIDROKOLATOROM	4.17	46
