# X01 - MALI ZAHVATI
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 51
code	name_sr_lat	price_eur	page
X01004	LOKALNA ANESTEZIJA - POVRŠINSKA	8.34	48
X01005	EKSTRAKCIJA CERUMENA IZ UHA	8.34	48
X01006	DAVANJE KISEONIKA	8.34	48
X01007	UZIMANJE BRISEVA SA SLANJEM NA ANALIZU	1.67	48
X01008	UZIMANJE SPUTUMA ZA ANALIZU NA BAKTERIJE I GLJIVICE	1.67	48
X01009	PULSNA OKSIMETRIJA	4.17	48
X01010	INHALACIONA TERAPIJA	4.17	48
X01011	ASPIRACIONA PUNKCIJA ABSCESA ILI HEMATOMA	12.51	48
X01012	TOALETA I ODRŽAVANJE STOMA	4.17	48
X01013	TOALETA VJEŠTAČKOG ANUSA	4.17	48
X01014	PRIMARNA OBRADA RANE (BEZ ŠAVOVA)	8.34	48
X01015	SKIDANJE HIRURŠKIH KONACA	4.17	48
X01021	DAVANJE SUBKUTANIH I INTRAMUSKULARNIH INJEKCIJA	0.83	48
X01023	PLASIRANJE/EVAKUACIJA NAZOGASTRIČNE ILI OROGASTRIČNE SONDE	8.34	48
X01024	PREGLED, KONTROLA I PREVIJANJE - NEKOMPLIKOVANI	8.34	48
X01025	EKSTIRPACIJA ILI BIOPSIJA LIMFNE ŽLIJEZDE	8.34	48
X01028	DAVANJE INTRAVENSKIH INJEKCIJA	1.67	48
X01029	UZIMANJE SPUTUMA ZA CITOLOŠKU ANALIZU	1.67	48
X01032	KATETERIZACIJA MOKRAĆNE BEŠIKE KOD ŽENE SA ILI BEZ ISPIRANJA	4.17	48
X01033	POSTAVLJANJE KANILE I UKLJUČIVANJE INFUZIJE	8.34	48
X01034	ODREĐIVANJE GLIKEMIJE GLUKOMETROM	4.17	48
X01035	KATETERIZACIJA MOK.BEŠIKE KOD MUŠKARACA SA ILI BEZ ISPIRANJA	6.67	48
X01036	PUNKCIONA BIOPSIJA ŠTITNE ŽLIJEZDE	8.34	48
X01039	PROVOĐENJE KLIZME ZA ČIŠĆENJE	8.34	48
X01040	SNIMANJE I OČITAVANJE EKG(6 ILI 12 ODVODA)ELEKTROKARDIOGRAMA	16.68	48
X01041	KATETER MOK BEŠIKE,UVOĐENJE TRAJNOG KATET ILI ZAMJ TRAJ KAT	8.34	48
X01042	KATET M. BEŠ,UVOĐENJE ILI ZAMJENA TRAJNOG KATET KOD MUŠK	12.51	48
X01046	DIJAGNOST ILI TERAP PUNKCIJA PERITON ŠUPLJINE SA UZIMANJ UZO	16.68	48
X01047	ENDOTRAHEALNA INTUBACIJA	16.68	48
X01048	HIRURŠKO ZBRINJAVANJE OBOLJELOG NOKTA	16.68	48
X01049	INCIZIJA I DRENAŽA FURUNKULA,KARBUNKULA,ZAGNOJENIH CISTA, MA	16.68	48
X01050	PUNKCIJA ZGLOBA U TERAPIJSKE I/ILI DIJAGNOSTIČKE SVRHE	16.68	48
X01051	TRANSFUZIJA KRVI I KRVNIH DERIVATA	16.68	48
X01052	PREGLED, KONTROLA I PREVIJANJE - KOMPLIKOVANI	16.68	48
X01053	TOALETA KANILE NAKON TRAHEOTOMIJE	16.68	48
X01054	PLASIRANJE/EVAKUACIJA NAZOG ILI OROGASTRIČ SONDE SA LAVAŽOM	16.68	48
X01055	ISHRANA BOLESNIKA PREKO SONDE, JEDAN OBROK	16.68	48
X01058	LOKALNA ANESTEZIJA - MANJA	16.68	48
X01059	ODSTRANJIV STRANOG TIJEL IZ SLUŠ KANALA, NOSNE ŠUPLJ I OROFA	25.02	48
X01060	TUBERKULINSKO TESTIRANJE	8.34	48
X01061	UZIMANJE GUSTE KAPI I PERIFERNOG RAZMAZA	16.68	48
X01062	SKIDANJE IXODES RICINUSA SA KOŽE	25.02	48
X01063	TERMOGRAFIJA	12.51	48
X01064	OKLUZIVNA PLETISMOGRAFIJA ARTERIJSKOG ILI VENSKOG PROTOKA	33.36	49
X01065	FOTOPLETISMOGRAFIJA	33.36	49
X01066	REOGRAFIJA GORNJIH ILI DONJIH EKSTREMITETA	33.36	49
X01067	MJERENJE PRITISKA POVRŠINSKIH VENA	12.51	49
X01068	INTRAARTERIJALNA APLIKACIJA TERAPIJE PERFUZOROM	16.68	49
X01069	PIROTERAPIJA	8.34	49
X01070	TERAPIJA FLEBOMAT APARATOM	12.51	49
X01071	TERAPIJA FLUOTRON APARATOM	12.51	49
