# X02 - SREDNJE VELIKI ZAHVATI
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 32
code	name_sr_lat	price_eur	page
X02001	ISPITIVANJE KOŽNE PREOSETLJIVOSTI NA INHALACIONE ALERGENE (A	41.70	49
X02003	INCIZIJA I DRENAŽA VEĆEG KOŽ ILI POTKOŽ ABSCE, KARBUN ILI HE	25.02	49
X02005	PREDNJA TAMPONADA NOSA	41.70	49
X02011	SNIMANJE I ČITANJE SPIROMETRIJE	33.36	49
X02012	BRONHODILATACIJSKI TESTOVI	25.02	49
X02013	DIJAGNOSTIČKA PUNKCIJA PLEURE	25.02	49
X02014	EVAKUACIONA PUNKCIJA PLEURE	25.02	49
X02015	EVAKUACIONA PUNKCIJA PLEURE SA LAVAŽOM	33.36	49
X02019	REPOZICIJA PARAFIMOZE	25.02	49
X02020	REPOZICIJA UKLJEŠTENE KILE	25.02	49
X02021	EKSTIRPACIJA ATEROMA, CISTE,KSANATOMA ILI MANJEG BEN. TUMORA	41.70	49
X02026	LUMBALNA PUNKCIJA	25.02	49
X02027	REKTOSKOPIJA SA UZIMANJEM ISJEČKA	25.02	49
X02028	REKTOSKOPIJA	25.02	49
X02029	REKTOSIGMOIDOSKOPIJA	41.70	49
X02030	STERNALNA PUNKCIJA	20.85	49
X02031	KAUTERIZACIJA,ELEKTROKAUTER. ILI KRIOKAUTER. BENIG. ILI PREM	25.02	49
X02032	KAUTERIZACIJA,ELEKTROKAUTERIZACIJA ILI KRIOKAUTERIZACIJA BEN	37.53	49
X02033	ODSTRANJIVANJE STRANOG TIJELA IZ KOŽE I POTKOŽNOG TKIVA	25.02	49
X02034	EKSCIZIONA BIOPSIJA KOŽE, POTKOŽNOG TKIVA I SLUZNICE SA DIRE	25.02	49
X02035	OBRADA STOMAČNOG SOKA MIKROSKOPSKA	25.02	49
X02036	PRIMARNA OBRADA RANE (SA ŠAVOVIMA)	33.36	49
X02037	UZIMANJE KRVI I ODREĐIVANJE PH ARTERIJSKE KRVI	33.36	49
X02038	EKSCIZIJA MANJIH BENIGNIH TUMOROZNIH OŽILJAKA, FIBROZNIH, CI	41.70	49
X02039	SEKUNDARNA OBRADA RANE	41.70	49
X02040	PERKUTANA BIOPSIJA JETRE	41.70	49
X02041	LOKALNA ANESTEZIJA - VEĆA	33.36	49
X02042	ISPIRANJE ŽELUCA	16.68	49
X02043	KAUTERIZACIJA,ELEKTROKAUTERIZACIJA ILI KRIOKAUTERIZACIJA BEN	50.04	49
X02044	KAUTERIZACIJA,ELEKTROKAUTERIZACIJA ILI KRIOKAUTERIZACIJA BEN	62.55	49
X02045	KAUTERIZACIJA,ELEKTROKAUTERIZACIJA ILI KRIOKAUTERIZACIJA BEN	66.72	49
X02046	NESPECIFIČNI BRONHOPROVOKACIONI TEST	25.02	49
