# X03 - SLOŽENI ZAHVATI:
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 57
code	name_sr_lat	price_eur	page
X03002	SPOLJASNJA DEFIBRILACIJA SRCA	41.70	50
X03012	DXA (OSTEODENZITOMETRIJA)	98.37	50
X03014	CISTOSKOPIJA KOD ŽENE (URAČUNATO ISPIRANJE BEŠIKE)	50.04	50
X03015	CISTOSKOPIJA KOD MUŠKARCA ILI DJETETA(URAČUNATO ISPIRN. BEŠ.	58.38	50
X03018	ELEKTROKOAGULACIJA ILI EKSCIZIJA CONDILOMATA ACUMINATA BEZ O	50.04	50
X03019	PRIMARNA,PRIMARNO ODLOŽENA ILI SEKUNDARNA OBRADA OPEKOTINA,	50.04	50
X03020	EZOFAGOGASTRODUODENOSKOPIJA SA INJEKCIONOM HEMOSTAZOM	50.04	50
X03021	EKSCIZIJA I DIREKTNA SUTURA BENIGNIH LEZIJA KOŽE, LEZIJA DIJ	58.38	50
X03026	EZOFAGOGASTRODUDENOSKOPIJA SA BIOPSIJOM	175.14	50
X03027	EZOFAGOGASTRODUDENOSKOPIJA	150.12	50
X03028	KOLONOSKOPIJA BEZ BIOPSIJE	166.80	50
X03029	KOLONOSKOPIJA SA BIOPSIJOM SA KOLONA I/ILI TERMINAL ILEUMA	191.82	50
X03030	EZOFAGOGASTRODUODENOSKOPIJA SA HELICOBACTER PYLORI TESTOM	175.14	50
X03031	EZOFAGOGASTRODUODENOSKOPIJA SA EKSTRAKCIJOM STRANOG TIJELA	183.48	50
X03032	EZOFAGOGASTRODUODENOSKOPIJA SA POLIPEKTOMIJOM	208.50	50
X03033	EZOFAGOGASTRODUODENOSKOPIJA SA PLASIRANJEM BAND LIGATURE	250.20	50
X03039	DXA - VERTEBROMORFOMETRIJA	55.77	50
X03040	EZOFAGOGASTRODUODENOSKOPIJA SA MEHANIČKOM(HEMOKLIPS) HEMOSTA	50.04	50
X03041	KOLONOSKOPIJA SA ILI BEZ TERMINAL ILEOSKOP SA I BEZ BIOPSIJE	166.80	50
X03042	KOLONOSKOPIJA SA ELEKTROKAUTERIZACIJOM POLIPA	208.50	50
X03043	KOLONOSKOPIJA SA POLYPECTOMIOM I POSTAVLJANJEM ENDO KLIPSA	233.52	50
X03044	KOLONOSKOPIJA SA MUKOZEKTOMIJOM	191.82	50
X03045	KOLONOSKOPIJA SA INJEKCIONOM HEMOSTAZOM	216.84	50
X03046	KOLONOSKOPIJA SA MEHANIČKOM (HEMOKLIPS) HEMOSTAZOM	216.84	50
X03047	KOLONOSKOPIJA SA DILATACIJOM	216.84	50
X03048	EZOFAGOGASTRODUODENOSKOPIJA SA PLASIRANJEM/VAĐENJEM PEG-A	183.48	50
X03049	EZOFAGOGASTRODUODENOSKOPIJA SA DILATACIJOM	183.48	50
X03050	EZOFAGOGASTRODUODENOSKOPIJA SA MUKOZEKTOMIJOM	183.48	50
X03051	PLASIRANJE/EVAKUACIJA SENGSTAKEN-BLAKEMOR SONDE	250.20	50
X03052	PLASIRANJE/EVAKUACIJA NAZO-JEJUNALNE SONDE	250.20	50
X03053	BRONHOSKOPIJA RIGIDNA	125.10	50
X03054	BRONHOSKOPIJA FLEKSIBILNA SA ASPIRACIJOM I/ILI LAVAŽOM	150.12	50
X03055	PERIBRONHIJALNA ASPIRACIJSKA BIOPSIJA	150.12	50
X03056	ČETKANJE-STRUGANJE BRONHA (BRAŠ BIOPSIJA)	150.12	50
X03057	BRONHOSKOPIJA FLEKSIBILNA SA LAVAŽOM	150.12	50
X03058	BRONHOSKOPIJA RIGIDNA SA LAVAŽOM	150.12	50
X03059	INJEKCIONA I/ILI MEHANIČKA HEMOSTAZA AMPULARNE REGIJE	83.40	50
X03060	APC KOAGULACIJA PRI EZOFAGOGASTRODUODENOSKOPIJI	108.42	50
X03061	APC KOAGULACIJA TANKOG CRIJEVA	108.42	50
X03062	APC KOAGULACIJA KOLONA	108.42	50
X03063	ENDOSKOPSKA ULTRASONOGRAFIJA GORNJEG GI TRAKTA	150.12	50
X03064	ENDOSKOPSKA ULTRASONOGRAFIJA REKTUMA	41.70	50
X03065	ENDOSKOPSKA ULTRASONOGRAFIJA SA BIOPSIJOM	175.14	50
X03066	DBE (DOUBLLE BALLOON ENDOSKOPIJA) TANKOG CRIJEVA	208.50	51
X03067	KAPILAROSKOPIJA	50.04	51
X03068	EKSCIZIJA LEZIJE BRONHA SA BRONHOSKOPIJOM	150.12	51
X03069	TRAHEOTOMIJA	250.20	51
X03070	TRAHEOTOMIJA SA ODSTRANJENJEM STRANOG TIJELA IZ TRAHEJE	250.20	51
X03071	ENDOSKOPSKO ODSTRANJENJE STRANOG TIJELA IZ TRAHEJE	150.12	51
X03072	ENDOSKOPSKA EKSCIZIJA PROMJENA NA ZIDU TRAHEJE	150.12	51
X03073	ENDOSKOPSKA ELEKTROKOAGULACIJA LEZIJA NA TRAHEJI	150.12	51
X03074	ENDOSKOPSKA LASER RESEKCIJA PROMJENA NA TRAHEJI	150.12	51
X03075	ENDOSKOPSKA DILATACIJA STENOZA TRAHEJE	150.12	51
X03076	TRAHEOBRONHOSKOP SA ODSTRANJIVANJ STR TIJELA KOD DJE(DO 10G)	166.80	51
X03077	TRAHEOBRONHOSKOPI SA ODSTRANJIVANJEM STR TIJELA KOD ODRASLIH	150.12	51
X03078	TRAHEOBRONHOSKOPIJA DONJA- KROZ VJEŠTAČKI OTVOR	150.12	51
X03079	PROKTOSIGMOIDOSKOPIJA, DIJAGNOSTIČKA SA ODSTRANJIVANJEM	83.40	51
