# X04 - INTERVENCIJE I PROCEDURE GINEKOLOGIJA
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 61
code	name_sr_lat	price_eur	page
X04001	SEKRET VAGINE	12.51	51
X04004	CITOHORMONALNA ANALIZA RAZMAZA	16.68	51
X04005	APLIKACIJA LIJEKA U GRLIĆ MATERICE	41.70	51
X04007	ELEKTROKOAG CERVIKSA UTERUSA-POVRŠNA PO SEANSI (MAX.T	25.02	51
X04010	CTG-KARDIOTOKOGRAFIJA U TRUDNOĆI	33.36	51
X04011	ARTEFICIJALNI PREKID TRUDNOĆE DO 3 MJESECA-KIRETAŽA	83.40	51
X04012	PREKID TRUD(MEDIK PREK TRUD,UPOTREBA LAMINAR,UPOTR HIDRAUL	166.80	51
X04013	EKSPLORATIVNA KIRETAŽA	83.40	51
X04015	SKIDANJE CERCLAGE-A	16.68	51
X04016	PUNCTIO CAVI DOUGLASI, DRENAŽA PELVIČNOG ABSCESA, COLPOTOMIA	50.04	51
X04017	RAZVOJ LAKTACIJE I PREVENCIJA KOMPLIKACIJA KOD PRVOROTKI	33.36	51
X04018	TUŠIRANJE EROZIJA	4.17	51
X04019	KONTROLA MEHANIČKOG KONTRACEPTIVNOG SREDSTVA	8.34	51
X04020	LIJEČENJE RAGADA	8.34	51
X04021	LIJEČENJE STAZE	16.68	51
X04022	INCIZIJA PUERPERALNOG ABSCESA DOJKE	25.02	51
X04023	KOLPOSKOPSKI PREGLED	25.02	51
X04024	INCIZIJA I DRENAŽA ABSCESA BARTHOLINIJEVE ŽLIJEZDE	25.02	51
X04025	UZIMANJE BIOPSIJE LABIJA I VULVE	25.02	51
X04026	PRESJECANJE HIMENA	25.02	51
X04028	REVIZIJA CERVIKSA	25.02	51
X04031	AMNIOSKOPIJA	33.36	51
X04032	DILATACIJA CERVIKSA (INSTRUMENTALNA)	41.70	51
X04033	INTRATUBARNA INJEKCIJA ANTIBIOTIČKE SUPSTANCE	33.36	51
X04034	HLADNA KOAGULACIJA PROMJENA NA GRLIĆU MATERICE	41.70	51
X04035	VULVOSKOPIJA	41.70	51
X04036	UZIMANJE UZORKA RADI HISTOLOŠKOG PREGLEDA ENDOMETRIJA	50.04	52
X04037	UZIMANJE BIOPSIJE VAGINE	25.02	52
X04038	UZIMANJE BIOPSIJE CERVIKSA ILI ENDOMETRIJUMA	50.04	52
X04039	POLIPEKTOMIJA (GRLIĆA MATERICE, DUPLJE MATERICE)	50.04	52
X04040	ABRAZIJA KONDILOMA VULVE I VAGINE	54.21	52
X04041	INSUFLACIJA TUBA, PO SEANSI(MAX.3 SEANSE)	66.72	52
X04042	ULTRAZVUČNI PREGLED ŽENE	50.04	52
X04043	ULTRAZVUČNI PREGLED U TOKU TRUDNOĆE	58.38	52
X04044	DOVRŠAVANJE INKOMPLETNOG POBAČAJA DO 3 MJESECA-KIRETAŽA	83.40	52
X04045	REKIRETAŽA (POSLE POROĐAJA, ABORTUSA, EXPLORATIVNE KIRETAŽE)	83.40	52
X04046	PUNKCIJA PLODOVE VODE KOD POLIHIDRAMNIONA	83.40	52
X04047	KIRETAŽA KOD POSTPARTALNOG KRVAVLJENJA	125.10	52
X04048	EKSTIRPACIJA BARTHOLINIJEVE CISTE(EXTIRPAT CYST GLAND BAR	125.10	52
X04049	DILATACIJA INTROITUSA VAGINE SA ANESTEZIJOM	16.68	52
X04050	INCIZIJA I DRENAŽA ABSCESA VULVE	25.02	52
X04051	TRANSVAGINALNA DOUGLAS-OVA PUNKCIJA CISTIČNE MASE	50.04	52
X04052	OPERACIJE CISTE VAGINE	125.10	52
X04053	KOLPORAFIJA-ŠAV VEĆIH POVREDA VAGINE,NEAKUŠERSKIH	125.10	52
X04054	EKSCIZIJA BENIGNIH LEZIJA VAGINE	166.80	52
X04055	UKLANJANJE VAGINALNIH SEPTUMA	166.80	52
X04056	KOLPOPERINEORAFIJA-ŠAV VEĆIH POVREDA VAGINE I PERINEUMA,NEAK	291.90	52
X04057	APLIKACIJA IUD	41.70	52
X04058	UKLANJANJE IUD	41.70	52
X04059	POSTKOITALNI TEST ILI SIMS-HUNEROV TEST	16.68	52
X04060	CITOLOŠKA ANALIZA NA PAPANIKOLAU	25.02	52
X04061	HISTEROMETRIJA	8.34	52
X04062	EKSCIZIJA HIMENA	66.72	52
X04063	EKSPERTNI ULTRAZVUČNI PREGLED U TRUDNOĆI	100.08	52
X04064	DILATAC I KIRET-ODSTRANJ MOLE HYDATIDOSE(MISSED ABORTION)	125.10	52
X04065	UKLANJANJE TUMORA VAGINALNOG ZIDA	166.80	52
X04066	METROPLASTIKA	250.20	52
X04067	EKSTRAKCIJA STRANOG TIJELA IZ VAGINE	25.02	52
X04068	BIOPSIJA HORIONSKIH ČUPICA	166.80	52
X04069	AMNIOCENTEZA	166.80	52
X04070	KORDOCENTEZA	166.80	52
