# X06 - INTERVENCIJE I PROCEDURE OFTALMOLOGIJA
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 95
code	name_sr_lat	price_eur	page
X06001	ODREĐIVANJE I PROPISIVANJE NAOČARA ZA ODRASLE	8.34	52
X06002	FOKOMETRIJA ASTIGMATIČNIH I NEASTIGMATIČNIH STAKALA	4.17	52
X06004	DAVANJE INJEKCIJE SUBKONJUNKTIVALNO	12.51	52
X06006	EKSTRAKCIJA STRANOG TIJELA SA KONJUNKTIVE	8.34	52
X06007	EKSTRAKCIJA STRANOG TIJELA ROŽNJAČE SA SIDEROZOM (ABRAZIJA)	41.70	52
X06008	PREGLED FUNDUSA BIOMIKROSKOPOM I GOLDMAN LUPOM SA 3 OGLEDALA	41.70	53
X06009	ISPITIVANJE OSJETLJIVOSTI NA BOJE	16.68	53
X06011	HIRUŠ TRETMAN HORDEOL,ABSCESA ILI FLEGMONE	41.70	53
X06013	ODREĐIVANJE ŠIRINE KONVERGENCIJE I DIVERGENCIJE U PROSTORU	12.51	53
X06014	ULTRAZVUK U OFTALMOLOGIJI (A-SCAN I B-SCAN)	100.08	53
X06016	TUŠIRANJE VEŽNJAČE, ROŽNJAČE I IVICE KAPAKA	12.51	53
X06018	STAVLJANJE ZAVOJA ZA OKO - MALI ZAVOJ	2.50	53
X06019	STAVLJANJE ZAVOJA ZA OKO - VELIKI ZAVOJ	4.17	53
X06020	PERIMETRIJA – ODREĐIVANJE ŠIRINE VIDNOG POLJA	25.02	53
X06021	ISPITIVANJE STEREO VIDA -TITMUS STEREO TEST	8.34	53
X06022	ŠIRMEROV TEST	16.68	53
X06023	APLIKACIJA LIJEKA LOKALNO	1.67	53
X06024	OKLUZIJA	4.17	53
X06025	KERATOMETRIJA PO JAVALU KOD DJECE I ODRASLIH	8.34	53
X06026	PENALIZACIJA-NJENO DOZIRANJE I PROVJERAVANJE U KABINETU	8.34	53
X06027	ISPITIVANJE SUPRESIJE I BINOKULARNOG VIDA NA WORTH-U	8.34	53
X06029	EPILACIJA ELEKTROLIZOM ILI ELEKTROKOAGULACIJOM-SEANSA	12.51	53
X06030	EUTISKOPIJA PO CUPERSU U ETAPAMA	12.51	53
X06031	VJEŽBE NA KOORDINATORU	12.51	53
X06032	VJEŽBE FUZIJE U PROSTORU	12.51	53
X06033	VJEŽBE ELASTICITETA AKOMODACIJE - KONVERGENCIJE KOD AKOMODAT	12.51	53
X06034	PREGLED ORTORAJTEROM I INTERPRETACIJA NALAZA SVIH FUNKCIJA	16.68	53
X06035	EGZOFTALMOMETRIJA	16.68	53
X06036	ISPITIVANJE POLJA POGLEDA-ISPITIVANJE BINOKULARNOG	16.68	53
X06037	ISPITIVANJE DIPLOPIJA,PARALIZA I PAREZA(HESS-LANCASTER TEST)	16.68	53
X06038	VJEŽBE FUZIJE NA SINOPTOFORU-SA NAKNADNIM I REALNIM SLIKAMA	16.68	53
X06039	VJEŽBE PROTIV ARK U PROSTORU	16.68	53
X06040	VJEŽBE PROTIV ARK U PROSTORU (METODE ELIMINACIJE)	16.68	53
X06041	ODREĐIVANJE I PROBANJE DODATNE PRIZME NA KOREKCIONO STAKLO	16.68	53
X06043	GONIOSKOPSKI PREGLED	25.02	53
X06044	VISUS KOD SIMULACIJE I AGRAVACIJE	25.02	53
X06045	DNEVNA KRIVA OČNOG PRITISKA SA ANALIZOM 6-8 MJERENJA	25.02	53
X06046	ISPITIVANJE POLJA VIDA I BINOKULARNOG VIDA KOD PARALIZE	25.02	53
X06047	TONOMETRIJA-APLANACIONA	8.34	53
X06048	NAGEL ANOMALOSKOPIJA	50.04	53
X06049	OBUČAVANJE PACIJENATA ZA NOŠENJE KONTAKTNIH SOČIVA	50.04	53
X06050	TEST PROVOKACIJE NA GLAUKOM	50.04	53
X06051	FLUORESCEINSKA OFTALMOSKOPIJA	50.04	53
X06052	FLUORESCEINSKA BIOMIKROSKOPIJA	83.40	53
X06053	INTERVENCIJE LASEROM-MANJE(KOD PROMJENA NA KONJUKTIVI,	125.10	53
X06054	ODREĐIVANJE I POSTAVLJANJE KONTAKTNIH SOČIVA	133.44	53
X06055	FLUORESCEINSKA ANGIOGRAFIJA OČNOG DNA	150.12	53
X06056	INTERVENCIJE LASEROM-VEĆE(INTERVENCIJE NA OČNOM DNU KOD	166.80	53
X06057	ODREĐIVANJE REFRAKCIJE NA ŠIROKU ZJENICU BEZ ASTIGMATIZMA	8.34	54
X06058	ODREĐIVANJE NAOČARA NA USKU ZJENICU BEZ ASTIGMATIZMA	8.34	54
X06059	ODREĐIVANJE NAOČARA NA USKU ZJENICU SA ASTIGMATIZMOM	16.68	54
X06060	SKIJASKOPIJA KOD ODRASLIH	25.02	54
X06061	ODREĐIVANJE REFRAKCIJE NA ŠIROKU ZJENICU SA ASTIGMATIZMOM	25.02	54
