# X07 - INTERVENCIJE I PROCEDURE OTORINOLARINGOLOGIJA
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 111
code	name_sr_lat	price_eur	page
X07002	ORL TUŠIRANJE	8.34	55
X07004	ISPIRANJE NOSA	4.17	55
X07006	INCIZIJA I DRENAŽA HEMATOMA I ABSCESA NOSNOG SEPTUMA	83.40	55
X07007	INCIZIJA I DRENAŽA PERITONZILARNOG (TRANSORALNI PRISTUP)	33.36	55
X07008	INCIZIJA I DRENAŽA RETROFARINGEALNOG ABSCESA - TRANSORALNO	41.70	55
X07010	ODSTRANJIVANJE SEKRETA IZ NOSA I SINUSA PO PROETZU	8.34	55
X07011	EKSTIRPACIJA POLIPA ILI ČVORIĆA SA GLASNICA U DIREKTOSKOPIJI	166.80	55
X07012	PRODUVAVANJE FARINGOTIMPANALNIH TUBA PO POLITZERU	4.17	55
X07014	INFILTRACIJA LIJEKA KOD LEZIJE N.FACIALISA	8.34	55
X07015	BIOPSIJA UHA, GRLA, NOSA	25.02	55
X07016	HEMOSTAZA POSLIJE TONZILEKTOMIJE	33.36	55
X07017	HEMOSTAZA KRVARENJA IZ NOSA(TUŠIRANJE,LAPIZIRANJE,ELEKTROKAU	41.70	55
X07018	ZADNJA TAMPONADA NOSA	41.70	55
X07019	FUNKCIONALNO ISPITIVANJE PROHODNOSTI FARINGOTIMPANALNIH TUBA	16.68	55
X07020	ISPITIVANJE SLUHA TONALNO-LIMINAR AUDIOMET KOD DJECE DO 7 G	41.70	55
X07021	AUDIOMETRIJSKO ISPIT SLUHA KOD ODRAS OSOB SA IZRAČ % GUBIT S	66.72	55
X07023	VESTIBULOMETRIJA STATOKINETIČKIM I KOORDINACIONIM TESTOVIMA	16.68	55
X07024	KALORIČKI TEST ČULA ZA RAVNOTEŽU (HALLPIKE)	66.72	55
X07026	REPOZICIJA SVJEŽEG PRELOMA NOSNIH KOSTIJU SA IMOBILIZACIJOM	50.04	55
X07027	ENDOSKOPSKI PREGLED NOSA	50.04	55
X07028	LARINGOFARINGOSKOPIJA INDIREKTNA SA BIOPSIJOM	41.70	55
X07029	INCIZIJA OTHAEMATOMA, RETROAURIKULARNOG ABSCESA	25.02	55
X07030	DIREKTOSKOPIJA LARINSKA I HIPOFARINKSA	41.70	55
X07031	DIREKTNA LARINGOSKOPIJA SA VADJENJEM STRANOG TIJELA	66.72	55
X07032	ODREĐIVANJE SLUŠNOG APARATA	50.04	55
X07033	PARACENTEZA BUBNE OPNE	25.02	55
X07034	ADENOTOMIJA U RAUŠ ANESTEZIJI ILI LOKALNOJ ANESTEZIJI	50.04	55
X07035	ENDONAZALNA HIRURŠKA EKSTRAKCIJA RINOLITA ILI STRANOG TIJELA	83.40	55
X07037	APLIKACIJA LIJEKA U UVO I NOS	8.34	55
X07038	EPIFARINGOSKOPIJA DIREKTNA	16.68	55
X07039	AKUMETRIJSKO ISPITIVANJE SLUHA	16.68	55
X07041	AKUSTIČKI REFLEKS	29.19	55
X07044	EKSTIRPACIJA ATEROMA, CISTE ILI MANJEG BENIGNOG TUMORA UVA	41.70	55
X07045	EKSCIZIJA (BIOPSIJA) LIMFNOG ČVORA VRATA	41.70	55
X07046	SINEHIOLIZA U NOSNIM KAVUMIMA, JEDNOSTRANA ILI OBOSTRANA	50.04	55
X07047	TIMPANOMETRIJA	50.04	55
X07049	EKSCIZIJA BENIGNIH LEZIJA, FIBROZNIH I CISTIČNIH PROMJENA	66.72	56
X07050	ABLACIJA POLIPA NOSA BEZ ETMOIDEKTOMIJE UNILATERALNA	66.72	56
X07052	OPERATIVNO ODSTRANJENJE STRANOG TIJELA IZ UHA	83.40	56
X07053	MUKOTOMIJA ILI KONHOTOMIJA JEDNOSTRANA ILI OBOSTRANA	125.10	56
X07054	EKSTRAKCIJA KALKULUSA IZ IZVODNOG KANALA SUBMANDIBULARNE	125.10	56
X07055	REPOZICIJA AKUTNE LUKSACIJE VILIČNOG ZGLOBA	125.10	56
X07056	LARINGOMIKROSKOPIJA SA UZIMANJEM ISJEČKA,EKSCIZIJOM	166.80	56
X07057	ZATVARANJE TRAHEOSTOME	166.80	56
X07058	OPERATIVNO LIJEČENJE CISTA DONJEG ZIDA USNE ŠUPLJINE(	166.80	56
X07059	UKLANJANJE STRANOG TIJELA IZ MEKIH TKIVA LICA	208.50	56
X07060	EKSCIZIJA BENIGNIH TUMORA JEZIKA SA PRIMARNOM PLASTIKOM	208.50	56
X07061	TRAHEOSTOMIJA - PRIVREMENA	250.20	56
X07062	PUNKCIJA MAKSILARNOG SINUSA	16.68	56
X07063	APLIKACIJA ŠTRAJFNE U UHO	16.68	56
X07064	OTOMIKROSKOPIJA	16.68	56
X07065	INCIZIJA ABSCESA INTRAORALNIM PUTEM	33.36	56
X07066	INCIZIJA OTHAEMATOMA AURICULE ILI ABSCESA UHA	33.36	56
X07067	RESEKCIJA FRENULUMA	33.36	56
X07069	AUDIOMETRIJA GOVORNA	41.70	56
X07070	EPIFARINGOSKOPIJA SA BIOPSIJOM	41.70	56
X07071	SUTURA JEZIKA DO 2 CM	41.70	56
X07072	OTVORENA REPOZICIJA SVJEŽIH PRELOMA NOSNIH KOSTIJU	41.70	56
X07073	BIOPSIJA TUMORA NOSA	41.70	56
X07074	RINOMANOMETRIJA ILI RINOREZISTOMETRIJA	50.04	56
X07075	LARINGOSKOPIJA DIREKTNA SA VAĐENJEM STRANOG TIJELA	66.72	56
X07076	AUDIOMETRIJA, EVOCIRANI POTENCIJALI MOŽDANOG STABLA	66.72	56
X07077	PROCJENA OTOAKUSTIČKIH EMISIJA	66.72	56
X07078	SUTURA JEZIKA PREKO 2 CM	66.72	56
X07079	INCIZIJA ABSCESA EKSTRAORALNIM PUTEM	83.40	56
X07080	EZOFAGOSKOPIJA RIGIDNA-SA ODSTRANJIVANJEM STRAN TIJELA ODRAS	166.80	56
X07081	OPERACIJA BENIGNIH TUMORA NEPCA I UVULE	166.80	56
X07082	EZOFAGOSKOPIJA RIGID -SA ODSTRANJIV STR TIJELA-DJECA DO 10 G	183.48	56
X07083	DETAMPONADA NOSA	41.70	56
X07084	INCIZIJA PARAFARINGEALNOG ABSCESA CERVIKALNA	41.70	56
X07085	FIBEROPTIČKI PREGLED FARINKSA	41.70	56
X07086	FIBEROPTIČKA LARINGOSKOPIJA	41.70	56
X07087	BIOPSIJA PROMJENA SREDNJEG UHA	41.70	56
X07088	AUDIOMETRIJA PO BEKESY-U	50.04	56
X07089	TONE DECAY TEST	50.04	56
X07090	TEST SPONTANOG I FIKSACIONOG NISTAGMUSA	16.68	56
X07091	POZICIONI TEST	16.68	56
X07092	VESTIBULOOKULARNI TESTOVI	16.68	56
X07093	EVALUACIJA VESTIBULARNE FUNKCIJE ROTIRAJUĆOM STOLICOM	25.02	56
X07094	ELEKTRONISTAGMOGRAFIJA	83.40	57
X07095	REPOZIC MANEVAR ZA LIJEČ BENIGNOG PAROKSIZMAL VERTIGA	83.40	57
X07096	FUNKCIONALNO ISPITIVANJE TUBE EUSTAHII	16.68	57
X07097	TRAŽENJE SIMPTOMA FISTULE	25.02	57
X07098	INSTILACIJA LIJEKA KROZ BUBNU OPNU U BUBNU DUPLJU	25.02	57
X07099	ENDONAZALNA EKSTIRPACIJA STRANOG TIJELA IZ NOSA	83.40	57
X07100	RINOALERGOLOŠKI PREGLED	12.51	57
X07101	RINOALERGOLOŠKO ISPITIVANJE	41.70	57
X07102	KATETERIZACIJA EUSTAHIJEVE TUBE	25.02	57
X07103	ASPIRACIONA BIOPSIJA TANKOM IGLOM	41.70	57
X07104	VAĐENJE STRANOG TIJELA IZ ŽDRIJELA	166.80	57
X07105	HIRUŠ EKSTIRP RINOL ILI STR TIJEL IZ NOSA LATER RINOTOMIJOM	333.60	57
X07106	REFLEKS STAPEDIJUSA	50.04	57
X07107	EKSTRAKCIJA STRANOG TIJELA MEKIH DJELOVA GLAVE I VRATA	208.50	57
X07108	TRAHEOSTOMIJA - STALNA	250.20	57
X07109	KRIKOTIREOSTOMIJA	208.50	57
X07110	OTOMIKROSKOPIJA SA ASPIRACIJOM SEKRETA	20.85	57
X07111	SUBJEKTIVNA OLFAKTOMETRIJA	16.68	57
X07112	ELEKTROKOHLEOGRAFIJA ODRASLIH	66.72	57
X07113	ELEKTROKOHLEOGRAFIJA DJECE	83.40	57
X07114	EZOFAGOSKOPIJA SA BIOPSIJ, ODSTRANJ.TUMORA ILI DILATAC.	150.12	57
X07115	RETROGRADNA DILATACIJA JEDNJAKA PO TUCKER-U	41.70	57
X07116	OSNOVNI FONIJATRIJSKI PREGLED	25.02	57
X07117	KONTROLNI FONIJATRIJSKI PREGLED	12.51	57
X07118	FONIJATRIJSKE VJEŽBE	41.70	57
X07119	VJEŽBE FONACIJE	41.70	57
X07120	VJEŽBE ARTIKULACIJE	50.04	57
X07121	ARTIKULACIONI TRETMAN	41.70	57
X07122	KOREKCIONI TRETMAN POREMEĆAJA GOVORA	20.85	57
X07123	KOMPJUTERSKA ANALIZA GLASA	25.02	57
X07124	VJEŽBE ZA POSTIZANJE TONIČNE UJEDNAČENOSTI	25.02	57
X07125	UVJEŽBAVANJE EZOFAGUSNOG GOVORA	25.02	57
