# X08 - INTERVENCIJE I PROCEDURE DERMATOVENEROLOGIJA
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 14
code	name_sr_lat	price_eur	page
X08001	ČIŠĆENJE AKNI I ODSTRANJ GNOJ,CIST MASA KOMED-PO SEAN(MAX 4	16.68	57
X08002	KRIOTERAPIJA	8.34	57
X08003	FOTODINAMSKA TERAPIJA LEZIJA KOŽE-PO SEANSI	4.17	57
X08009	INTRALEZIONALNA APLIKACIJA LIJEKA	16.68	57
X08010	TERAPIJSKA KUPKA	8.34	57
X08011	TUŠIRANJE KONDILOMA SA PODOFILINOM PO SEANSI	8.34	57
X08012	PREVIJANJE ULKUSA NA NOGAMA	8.34	57
X08014	EPIKUTANO ALERGOLOŠKO TESTIRANJE (PATCH-TEST)	4.17	57
X08015	LIJEČENJE SENILNE KERATOZE TEČNIM AZOTOM PO SEANSI	16.68	58
X08016	EKSKOHLEACIJA CONDILOMATA ACCUMINATA U VIŠE SEANSI	50.04	58
X08017	DERMATOL HISTOLOGIJA SA SPECIFIČNIM BOJENJIMA I HISTOHEMIJOM	8.34	58
X08018	EKSKOHLEACIJA VERUKE VULGARIS, JEDNE ILI VIŠE	8.34	58
X08019	DIJAGNOSTIKA WOOD-OVOM LAMPOM	8.34	58
X08020	TRIHOGRAM	18.35	58
