# X09 - INTERVENCIJE I PROCEDURE ORTOPEDIJA
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 60
code	name_sr_lat	price_eur	page
X09007	MANIPULATIVNA REPOZICIJA HABITUALNIH ILI TRAUMATSKIH ISČAŠEN	33.36	58
X09008	MANIPULATIVNA REPOZICIJA RUČNOG ZGLOBA (RADIOKARPALNA, RADIO	50.04	58
X09041	KOREKCIJA RANIJE STAVLJENOG GIPSA	8.34	58
X09044	FIKSACIONI ZAVOJ GLEŽNJA	12.51	58
X09045	NADLAKATNA GIPS IMOBILIZACIJA (LONGETA ILI PUNI GIPS)	16.68	58
X09048	PODLAKATNA GIPS IMOBILIZACIJA (LONGETA ILI PUNI GIPS)	16.68	58
X09049	FIKSACIONI ZAVOJ TORAKSA	16.68	58
X09050	FIKSACIONI ZAVOJ LAKTA ILI ZGLOBA RUČJA	16.68	58
X09051	FIKSACIONI ZAVOJ KOLJENA	16.68	58
X09054	SKIDANJE GIPSA ILI LONGETE	20.85	58
X09058	FIKSACIONI ZAVOJ RAMENA (DESAULT)	25.02	58
X09059	REPOZICIJA - GIPS POTKOLJENICE - ZA KRETANJE	25.02	58
X09060	REPOZICIJA-GIPS IMOBILIZAC NATKOLJE (LONGET ILI PUNI GIPS)	25.02	58
X09062	DISLOKACIJA INTERFALANGEALNOG ZGLOBA	33.36	58
X09063	REPOZICIJA - KOKSOFEMORALNI CIRKULARNI GIPS SA PREČAGOM	33.36	58
X09064	REPOZICIJA - GIPS KUK-GLEŽANJ	33.36	58
X09065	REPOZICI-GIPS IMOBILIZACIJA POTKOLJE (LONGETA ILI PUNI GIPS)	33.36	58
X09067	ZATVORENA REPOZICIJA ZGLOBA I PRIMJENA SRE. MOBILIZACIJE	41.70	58
X09076	REPOZICIJA FRAK. ILI DISLO. TIJELA JEDN ILI VIŠE PRŠLJENA	50.04	58
X09078	MANIPULATIVNA REPOZICIJA FRAKTURE DISTALNE FALANGE	50.04	58
X09080	MANIPULATIVNA REPOZICIJA FRAKTURE FALANGE PALCA STOPALA	50.04	58
X09085	ZATVOR. MANIP. REPOZICIJA FRAK.PROKSIMALNE	66.72	58
X09087	ZATV.MANIP. REPOZICIJA FRAK.METAKARPALNIH KOSTI	83.40	58
X09090	ZATV.MANIP. REPOZICIJA FRAK.METATARZALNIH KOSTIJU	83.40	58
X09092	MANIP.REPOZ. DISLOKACIJE AKROMIOKLAVIKULARNOG ZGLOBA, ZATVO	100.08	58
X09094	MANIPULATIVNA REPOZICIJA FRAKTURE KLAVIKULE, ZATVORENA	125.10	58
X09095	REPOZICIJA DISL.RAMENA SA FRAK.TUBERKULUM MAJ. HUMERUSA	125.10	58
X09096	ZATVORENA MANIPULATIVNA REPOZICIJA FRAKTUR GLAVE I VRATA RAD	125.10	58
X09097	ZATV.MANIP. REPOZICIJA FRAK.PROKSIMALNOG KRAJA	125.10	58
X09098	ZATV.MANIP. REPOZICIJA FRAK.DISTAL. DIJ. POTKOLJENICE	125.10	58
X09099	ZATV. MANIPULATIVNA REPOZICIJA FRAK.KALKANEUSA	125.10	58
X09100	ZATVORENA MANIPULATIVNA REPOZICIJA DISLOKACIJE PATELE	125.10	58
X09101	REPOZICIJA FRAK.VRATA HUMERUSA (HIRUR. ILI ANAT.) -ZATVORENA	166.80	58
X09102	ZATV. MANIP. REPOZICIJA FRAK.DIJAFIZE ULNE	166.80	58
X09103	ZATV. MANIP. REPOZICIJA FRAK.DIJAFIZE RADIJUSA I ULNE	166.80	59
X09111	ZATV. MANIPULATIVNA REPOZICIJA FRAK.DIJAFIZE RADIJUSA	183.48	59
X09113	ZATV. MANIPULATIVNA REPOZICIJA FRAK.DIAFIZE HUMERUSA	208.50	59
X09114	ZATV. MANIP. REPOZICIJA SUPRAKOND. ILI TRANSKON. FRAK.HUMER.	208.50	59
X09115	ZATV.MANIPULATIVNA REPOZICIJA FRAK.TIBIJE-PROKS. DIO	208.50	59
X09116	ZATV.MANIPULATIVNA REPOZICIJA BI-MALEOLARNA FRAK.GLEŽNJA	208.50	59
X09117	ZATV.MANIPULATIVNA REPOZICIJA FRAK.SKAFOIDNE KOSTI	250.20	59
X09118	ZATV.MANIPULATIVNA REPOZICIJA FRAK.DIJ POT (TIBIJE I FIBULE)	250.20	59
X09127	ŠANCOV OKOVRATNIK	16.68	59
X09128	ZAŠTITNI PODIZAČ RAMENA-MITELA	25.02	59
X09138	MANIPULATIVNA REPOZICIJA DISLOKACIJE SAKROILIJAČNOG ZGLOBA I	166.80	59
X09140	ZATVORENA ILI OTVORENA MANIPULATIVNA REPOZICIJA FRAKTURE KOK	166.80	59
X09141	REPOZICIJA-VISEĆI GIPS	58.38	59
X09142	"U" ŠINA	25.02	59
X09143	TUTOR GIPS	33.36	59
X09144	REPOZICIJA-SARMIENTO	41.70	59
X09145	REPOZICIJA-MINERVA GIPSA	91.74	59
X09146	REPOZICIJA-KORZET GIPS	125.10	59
X09147	REPOZICIJA-MIDER GIPS	70.89	59
X09148	REPOZICIJA-TORAKOBRAHIJALNI GIPS ZATVORENI	25.02	59
X09149	REPOZICIJA - TORAKOBRAHIJALNA LONGETA	33.36	59
X09150	REPOZICIJA ABDOMINALNO-FEMORALNI GIPS	33.36	59
X09151	REPOZICIJA-LORENS GIPS	33.36	59
X09152	REPOZICIJA - GIPS LONGETA ZA ŠAKU I PRSTE	50.04	59
X09153	REPOZICIJA-APLIKACIJA BELLER APARATA	50.04	59
X09154	MACENOV ZAVOJ	20.85	59
