# X10 - INTERVENCIJE I PROCEDURE OPŠTA HIRURGIJA
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 40
code	name_sr_lat	price_eur	page
X10001	EKSCIZIJA MALIGNIH LEZIJA KOŽE SUTUROM RANE	83.40	59
X10006	EKSCIZIJA NOKATNE PLOČE SA MATRIKSOM	83.40	59
X10007	PRIMARNA OBRADA RANE UZ PRIMJENU ELEKTROKAUTERIZACIJE	125.10	59
X10008	OBRADA VEĆIH LACEROKONTUZNIH RANA	50.04	59
X10011	INCIZIJA I DRENAŽA PERIANALNOG ABSCESA	16.68	59
X10014	EKSCIZIJA PROSTOG PAPILOMA, POVRŠNOG	25.02	59
X10015	LIJEČENJE HEMOROIDA ELEKTRIČNOM DESTRUKCIJOM	25.02	59
X10019	SFINKTEROTOMIJA	41.70	59
X10020	KRIPTEKTOMIJA, PROSTA	41.70	59
X10021	EKSCIZIJA SPOLJAŠNJIH HEMOROIDALNIH ČVOROVA I	41.70	59
X10022	EKSCIZIJA SPOLJAŠNJIH TROMBOZIRANIH HEMOROIDA	41.70	59
X10023	ENUKLEACIJA ILI EKSCIZIJA SPOLJAŠNJIH TROMBOZIRANIH	41.70	59
X10024	VAĐENJE STRANOG TIJELA IZ REKTUMA ENDOSKOPSKIM PUTEM	41.70	59
X10026	TORAKOCENTEZA,PUNKCIJA,MULTIPLE,UNILATERALNE KOD	58.38	59
X10028	OBRADA MANJIH RANA BEZ LEZIJE DUBOKIH STRUKTURA DIREKTNOM	66.72	60
X10029	DUBOKI ABSCES DOJKE-PREMAMARNI	83.40	60
X10030	TORAKOCENTEZA,PUNKCIJA,MULTIPLE,BILATERALNE KOD TEŽIH	83.40	60
X10032	FISTULOTOMIJA ILI FISTULEKTOMIJA ANALNE REGIJE, SUBKUTANA	83.40	60
X10033	INCIZIJA I DRENAŽA IŠIOREKTALNOG ABSCESA	83.40	60
X10034	EKSCIZIJA NEPRAVILNIH OŽILJAKA I ZATVARANJE DEFEKTA	83.40	60
X10035	EKSCIZIJA PILONIDALNOG SINUSA ILI CISTE BEZ PRIM.ŠAVA	125.10	60
X10036	DUBOKI ABSCES DOJKE-RETROMAMARNI	125.10	60
X10037	ASPIRACIONA DRENAŽA GRUDNOG KOŠA KOD EMPIJEMA	125.10	60
X10038	TERAPIJA POVREDA ANALNOG PREDJELA ILI LEZIJA ANUSA BEZ	125.10	60
X10039	OBRADA VEĆIH RANA BEZ LEZIJE DUBOKIH STRUKTURA	125.10	60
X10040	PIMARNA ILI PRIMARNO ODLOŽENA HIRURŠKA OBRADA OPEKOTINE	166.80	60
X10041	OBRADA VEĆIH RANA BEZ LEZIJE DUBOKIH STRUKTURA DIREKTNOM SUT	208.50	60
X10042	DRENAŽA GRUDNOG KOŠA PUNKCIJOM, BULAU DRENAŽOM	250.20	60
X10043	PIMARNA ILI PRIMARNO ODLOŽENA HIRURŠKA OBRADA OPEKOTINE	291.90	60
X10044	EKSCIZIJA I DIREKTNA SUTURA VEĆIH BENIGNIH LEZIJA-OŽILJASTIH	58.38	60
X10045	HIRURŠKA PREPARACIJA I KANULIRANJE PERIFERNE VENE	25.02	60
X10046	ŠAV MANJIH KRVNIH SUDOVA ZBOG POVREDE	50.04	60
X10047	EKSTIRPACIJA STRANOG TIJELA LICA	208.50	60
X10048	EKSTIRPACIJA HEMANGIOMA	66.72	60
X10049	DILATACIJA OTVORA KANALA PLJUVAČNE ŽLIJEZDE	166.80	60
X10050	DILATACIJA PLJUVAČNOG KANALA	166.80	60
X10051	INCIZIJA PLJUVAČNE ŽLIJEZDE ILI KANALA	250.20	60
X10052	INCIZIJA I DRENAŽA JEZIKA	208.50	60
X10053	SKLEROZACIJA MANJIH HEMANGIOMA	41.70	60
X10054	HIRURŠKO ZBRINJAVANJE KONDILOMA ANALNE REGIJE	41.70	60
