# X11 - INTERVENCIJE I PROCEDURE UROLOGIJA
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 53
code	name_sr_lat	price_eur	page
X11003	BEŠIKA-SUPRAPUBIČNA KATETERIZACIJA	41.70	60
X11005	SKROTUM - INCIZIJA I/ILI DRENAŽA ABSCESA	16.68	60
X11018	MEATOTOMIJA	25.02	60
X11019	BIOPSIJA TESTISA ILI EPIDIDIMA	83.40	60
X11021	PUNKCI I EVAK SADRŽ HIDROCELE,FUNIKULOC,SPERMATOC ILI ABSC K	16.68	60
X11022	INDURATIO PENIS PLASTICA(KOKTEL)	25.02	60
X11023	DRENAŽA ABSCESA EPIDIDIMA	25.02	60
X11024	PLASIRANJE URETERALNE SONDE ILI JJ SONDE	58.38	60
X11025	URETEROPIJELOGRAFIJA RETROGRADNA KOD ŽENE	58.38	60
X11026	KATETERIZACIJA URETERA KOD ŽENE	66.72	60
X11027	STAVLJANJE URETERALNE SONDE RADI DRENAŽE,LAVAŽE PELVIS	66.72	60
X11028	URETEROPIJELOGRAFIJA RETROGRADNA KOD MUŠKARACA I DJECE	66.72	60
X11029	KATETERIZACIJA URETERA KOD MUŠKARACA I DJECE	75.06	60
X11030	URETROTOMIJA EKSTERNA - PREDNJA URETRA	83.40	60
X11031	EKSCIZIJA MALIH BENIGNIH TUMORA URETRE(ČVORIĆA)	83.40	61
X11032	EKSCIZIJA POLIPA URETRE U DISTALNOM DIJELU	83.40	61
X11033	DILATACIJA STRIKTURE URETRE	83.40	61
X11034	EKSPLORACIJA EPIDIDIMA SA ILI BEZ BIOPSIJE	83.40	61
X11035	DRENAŽAI RESEKCIJA KOD PERIURETRALNE FLEGM ILI GANGRENE PENI	125.10	61
X11036	DRENAŽA NEKOMPLIKOVANE PERIURETRALNE URINARNE EKSTRAVAZACIJE	125.10	61
X11037	PUNKCIJA CISTE BUBREGA	125.10	61
X11038	PROMJENA NEFROSTOMIJE	125.10	61
X11039	URETERORENOSKOPIJA EXPLORATIVA(SEMIRIGIDNA ILI FLAKSIBILNA)	150.12	61
X11041	DRENAŽA KOMPLIKOVANE PERIURETRALNE URINARNE EKSTRAVAZACIJE	166.80	61
X11042	CISTOSKOPIJA SA URETRALNOM MEATOTOMIJOM KOD MUŠKARACA	183.48	61
X11043	ENDOSKOPSKO TRETIRANJE MANJE LEZIJE (DO 0,5CM) SA	208.50	61
X11045	CISTOSTOMIJA I PLASIRANJE CISTOSTOME	291.90	61
X11046	TRANSREKTALNA EHOSONOGRAFIJA PROSTATE	116.76	61
X11047	INCIZIJA PREPUCIJA I FRENULOTOMIJA	25.02	61
X11048	EKSTRAKCIJA STRANOG TIJELA SREDNJE URETRE OBIČ SRED	25.02	61
X11049	BIOPSIJA PENISA	25.02	61
X11050	ABLACIJA MANJEG POLIPA IZ URETRE KOD ŽENE	41.70	61
X11051	PERIRENALNA INSUFLACIJA	41.70	61
X11052	CISTOSKOPIJA SA BIOPSIJOM KOD ŽENA	50.04	61
X11053	CISTOSKOPIJA SA SA BIOPSIJOM KOD MUŠKARCA ILI DJETETA	58.38	61
X11054	URETETEROPIJELOGRAFIJA RETROG.BILATERALNA KOD ŽENE	66.72	61
X11055	KAUTERIZACIJA TUMORA MOKRAĆNE BEŠIKE KOD ŽENE	66.72	61
X11056	URETETEROPIJELOGRAFIJA RETROG.BILATERALNA KOD MUŠKARACA ILI	75.06	61
X11057	INTRAVEZIKALNA INSTILACIJA MEDIKAMENATA	83.40	61
X11058	KAUTERIZACIJA TUMORA MOK BEŠIKE KOD MUŠKARCA ILI DJETETA	83.40	61
X11059	ELEKTROKOAGULACIJA PAPILOMA	83.40	61
X11060	EKSTRAKCIJA STRANOG TIJELA IZ BEŠIKE ILI KAMENA IZ URETERA P	133.44	61
X11061	EKSTRAKCIJA STRANOG TIJELA IZ BEŠIKE ILI KAMENA IZ URETERA P	150.12	61
X11062	CISTOSKOPIJA SA URETERALNOM MEATOTOMIJOM KOD ŽENE	166.80	61
X11063	ENDOSKOPSKA TERAPIJA CISTIČNE DILATACIJE DONJEG DIJELA URETE	200.16	61
X11064	ENDOSKOPSKA TERAPIJA CISTIČNE DILATACIJE DONJEG DIJELA URETE	216.84	61
X11065	ENDOSKOPSKA TERAPIJA TUMORA BEŠIKE VISOKOFREKVENTNIM STRUJAM	250.20	61
X11066	ENDOSKOPSKA TERAPIJA TUMORA BEŠIKE VISOKOFREKVENTNIM STRUJAM	266.88	61
X11067	LITOTRIPSIJA KAMENA MOKRAĆNE BEŠIKE	166.80	61
X11068	INSTRUMENTALNA LITOTRIPSIJA KAMENA MOKRAĆNE BEŠIKE	166.80	61
X11069	KAVERNOZOGRAFIJA	50.04	61
X11070	URETROSKOPIJA	41.70	61
X11071	VAĐENJE PROTETSKOG MATERIJALA	50.04	61
