# X12 - INTERVENCIJE I PROCEDURE NA TRANSFUZIJI
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 57
code	name_sr_lat	price_eur	page
X12002	ODREDJIVANJE KRVNE GRUPE (ABO/PLOČE)	3.69	61
X12003	ODREDJIVANJE KRVNE GRUPE (ABO/EPRUVETA)	15.78	62
X12004	ISPITIVANJE RH-D ANTIGENA/EPRUVETA	7.41	62
X12005	INDIREKTAN COOMBSOV TEST/EPRUVETA	13.11	62
X12007	DIREKTAN COOMBS-OV TEST	13.11	62
X12008	ISPITIVANJE ABO PODGRUPA/EPRUVETA	18.00	62
X12009	ISPITIVANJE VARIJANTI D ANTIGENA	18.51	62
X12010	ISPITIVANJE ODSUSTVA RH-D ANTIGENA/EPRUVETA	18.51	62
X12011	ISPITIVANJE RH-FENOTIPA/EPRUVETA	19.98	62
X12012	ODREDJIVANJE DRUGIH ERITROCITNIH ANTIGENA	31.62	62
X12013	ISPITIV. IREGUL. ANTITIJELA-SCREENING TEST/EPRUVETA	13.11	62
X12014	ISPITIVANJE HEMOLIZINA	7.27	62
X12015	INTERREAKCIJA/EPRUVETA	31.62	62
X12016	TITAR IMUNIH ANTITIJELA	62.13	62
X12017	TITAR PRIRODNIH ANTITIJELA	18.30	62
X12018	HLADNI AGLUTININI	20.45	62
X12019	IDENTIFIKACIJA ANTITIJELA/EPRUVETA	62.13	62
X12020	WITEBSKY TEST	48.51	62
X12021	ELUCIONA TEHNIKA	71.58	62
X12022	MIKROSKOPSKA KONTROLA AGLUTINACIJE	6.00	62
X12023	TEST NA HBV - HBSAG	31.62	62
X12024	COMBO TEST AG/AT HIV 1/2	31.62	62
X12025	TEST NA HCV- ANTI HCV ANTITIJELA	31.62	62
X12026	TEST NA SIPHILIS-TPHA	31.62	62
X12027	TERAPIJSKE VENEPUNKCIJE	23.88	62
X12028	AUTOLOGNA TRANSFUZIJA	16.81	62
X12029	ISPITIVANJE POSTTRANSFUZIONIH REAKCIJA	84.36	62
X12033	VENEPUNKCIJA	14.06	62
X12036	IZDAVANJE JEDINICE (KESA)	16.62	62
X12037	DELEUKOCITOVANJE KRVI	12.66	62
X12038	PRIPREMA KRIOPRECIPITATA	60.48	62
X12039	ISPITIVANJE IMUNIH ANTITIJELA	37.14	62
X12042	PRIPREMA STAND. TROMBOC. KONCENTRATA IZ JED.CIJELE KRVI/PRP	40.02	62
X12043	LEUKO-TROMBOCITNI KONCENTRAT (KESA)	32.37	62
X12044	ODREĐIVANJE HGB/HCT	3.81	62
X12045	ODREĐIVANJE KRVNE GRUPE ABO/GEL METODA	15.78	62
X12046	ISPITIVANJE RH-D ANTIGENA/GEL METODA	7.41	62
X12047	INDIREKTAN COOMBSOV TEST/GEL METODA	13.11	62
X12048	DIREKTAN COOMBSOV TEST/GEL METODA	13.11	62
X12049	ISPITIVANJE RH-FENOTIPA/GEL METODA	19.98	62
X12050	SERIJSKO ISPITIVANJE ABO/RH KRVNIH GRUPA/MIKROTITAR PLOČA	15.60	62
X12051	SERIJSKO ISPITIVANJE ABO/RH KRVNIH GRUPA/GEL TEHNIKA	15.60	62
X12052	ISPITIV. IREGUL. ANTITIJELA ENZIM. SCREENING TEST/GEL METODA	13.11	62
X12053	INTERREAKCIJA/GEL METODA	31.62	62
X12054	IDENTIFIKACIJA ANTITIJELA/GEL METODA	62.13	63
X12055	COMBO TEST AG/AT HCV	31.62	63
X12056	TEST NA HBE AG	31.62	63
X12057	TEST NA ANTI-HBE AT	31.62	63
X12058	TEST NA ANTI-HBC AT	31.62	63
X12059	TEST NA ANTI-HBS AT	31.62	63
X12060	IZDVAJANJE PLAZME	40.02	63
X12061	PRIPREMANJE PULA TROMBOCITA	32.37	63
X12062	PRIPREMA DEPLAZMATISANIH ERITROCITA	40.02	63
X12063	PRIPREMA ERITROCITA U OAS-U	40.02	63
X12064	PRIPREMA OPRANIH ERITROCITA	40.02	63
X12065	PRIPREMA FILTRIRANIH ERITROCITA	40.02	63
X12066	PRIPREMA DJEČIJIH DOZA ERITROCITA	40.02	63
