# X15 - INTERVENCIJE I PROCEDURE ANESTEZIJA SA REANIMACIJOM
# Letter: X - INTERVENCIJE I PROCEDURE
# Count: 25
code	name_sr_lat	price_eur	page
X15001	SPINALNA ANESTEZIJA/ANALGEZIJA	41.70	63
X15002	CENTRALNI NERVNI BLOKOVI ZA IZVOĐENJE HIRURŠKIH INTERVENCIJA	50.04	63
X15005	KONVERZIJA RITMA ELEKTROŠOKOM	83.40	63
X15006	PLASIRANJE CENTRALNOG VENSKOG KATETERA	41.70	63
X15007	SEDACIJA I ANESTEZIJA ZA IZVOĐENJE AMBUL HIRUŠK INTERVENCIJA	25.02	63
X15008	APLIKACIJA U JEDNOJ TAČCI - FARMAKOPUNKTURA	8.34	63
X15009	BLOKADA INTERKOSTALNIH NERAVA	16.68	63
X15010	BLOKADA DRUGIH PERIFERNIH ŽIVACA	16.68	63
X15011	LUMBALNA, SAKRALNA I KOKCIGEALNA BLOKADA	25.02	63
X15012	PUDENDALNA BLOKADA	25.02	63
X15013	ILIOINGVINALNA ILI ILIOHIPOGASTRIČNA BLOKADA	25.02	64
X15014	BLOK NERVUS ISCHIADICUSA	25.02	64
X15015	BLOK PLEXUS BRACHIALISA	25.02	64
X15016	VIMA (UVOD I ODRŽAVANJE INHALACIONOM ANESTEZIJOM)	41.70	64
X15017	KARDIOPULMONALNO CEREBRALNA REANIMACIJA	50.04	64
X15018	TRETIRANJE BOLESNIKA KOJI IMAJU RESPIRATORNU INSUFICIJENCIJU	66.72	64
X15019	KONTINUIRANA EPIDURALNA ANESTEZIJA/ANALGEZIJA	66.72	64
X15020	PLASIRANJE LARINGEALNE MASKE	83.40	64
X15021	I.V.REGIONALNA ANESTEZIJA	41.70	64
X15023	TIVA (TOTALNA INTRAVENOZNA ANESTEZIJA)	50.04	64
X15025	KOMBINOVANA SPINALNA I EPIDURALNA ANESTEZIJA	83.40	64
X15026	KAUDALNA ANESTEZIJA/ANALGEZIJA	33.36	64
X15027	KONTINUIRANI PERIFERNI BLOK	50.04	64
X15028	POSTAVLJANJE ARTERIJSKOG KATETERA	25.02	64
X15029	POSTAVLJANJE EPIDURALNOG KATETERA	25.02	64
