# Y01 - USLUGE NA ODJELJENJIMA
# Letter: Y - OPŠTE USLUGE SEK. I TERC. NIVOA ZDRAVSTVENE ZAŠTITE
# Count: 16
code	name_sr_lat	price_eur	page
Y01001	POČETNA BOLNIČKA OBRADA	16.68	66
Y01002	DALJA BOLNIČKA OBRADA (VIZITA)	8.34	66
Y01003	OTPUSNO PISMO	50.04	66
Y01004	KONSULTATIVNI PREGLED SPECIJALISTE	16.68	66
Y01005	KONSULTATIVNI PREGLED PROFESORA	50.04	66
Y01006	OTPUSNO PISMO ZDRAVSTVENE NJEGE	33.36	66
Y01007	OTPUST NOVOROĐENČETA	25.02	66
Y01019	POČETNA BOLNIČKA OBRADA NOVOROĐENČETA	16.68	66
Y01020	POČETNA BOLNIČKA OBRADA ODOJČETA	16.68	66
Y01021	POČETNA BOLNIČKA OBRADA DJETETA	16.68	66
Y01022	POČETNA BOLNIČKA OBRADA PRISILNO HOSPITALIZOVANOG PACIJENTA	16.68	66
Y01023	DALJA BOLNIČKA OBRADA NOVOROĐENČETA	8.34	66
Y01024	DALJA BOLNIČKA OBRADA ODOJČETA	8.34	66
Y01025	DALJA BOLNIČKA OBRADA DJETETA	8.34	66
Y01026	BOLNIČ OBRADA PRISILNO HOSPITALIZ PACIJ I PACIJ SA IZREČENOM	8.34	66
Y01027	KONZILIJARNI PREGLED	50.04	66
