# Y05 - TROŠKOVI OPERACIJA U OPERACIONIM SALAMA
# Letter: Y - OPŠTE USLUGE SEK. I TERC. NIVOA ZDRAVSTVENE ZAŠTITE
# Count: 10
code	name_sr_lat	price_eur	page
Y05001	OPERACIJE OD 5 DO 20 BODOVA (OD 6,50 DO 26,00 €)	16.02	67
Y05002	OPERACIJE OD 21 DO 50 BODOVA (OD 27,30 DO 65,00 €)	31.95	67
Y05003	OPERACIJE OD 51 DO 120 BODOVA (OD 66,30 DO 156,00 €	63.99	67
Y05004	OPERACIJE OD 121 DO 180 BODOVA (OD 157,30 DO 234,00 €)	95.94	67
Y05005	OPERACIJE PREKO 180 BODOVA (PREKO 234,00 €)	127.95	67
Y05006	OPERACIJE OD 5 DO 20 BODOVA (OD 6,50 DO 26,00€)	17.10	67
Y05007	OPERACIJE OD 21 DO 50 BODOVA (27,30 DO 65,00€)	34.17	67
Y05008	OPERACIJE OD 51 DO 120 BODOVA (OD 66,30 DO 156,00€)	68.34	67
Y05009	OPERACIJE OD 121 DO 180 BODOVA (OD 157,30 DO 234,00€)	102.54	67
Y05010	OPERACIJE PREKO 180 BODOVA (PREKO 234,00€)	188.76	67
