# Y10 - UTROŠAK GIPSANIH ZAVOJA - IMOBILIZACIJA:
# Letter: Y - OPŠTE USLUGE SEK. I TERC. NIVOA ZDRAVSTVENE ZAŠTITE
# Count: 38
code	name_sr_lat	price_eur	page
Y10001	GIPSANI ŽAKET ZA TIJELO UKLJUČUJUĆI GLAVU	0.00	68
Y10002	GIPSANI ZAVOJ RAMENA ISPOD 10 GODINA	0.00	68
Y10003	GIPSANI ZAVOJ RAMENA IZNAD 10 GODINA	0.00	68
Y10004	GIPSANI ZAVOJ OD RAMENA DO PRSTIJU - ISPOD 10 GODINA	0.00	68
Y10005	GIPSANI ZAVOJ OD RAMENA DO PRSTIJU IZNAD 10 GODINA	0.00	68
Y10006	GIPSANI ZAVOJ LAKTA - ISPOD 10 GODINA	0.00	68
Y10007	GIPSANI ZAVOJ LAKTA - IZNAD 10 GODINA	0.00	68
Y10008	GIPSANI ZAVOJ PODLAKTICE I ŠAKE - ISPOD 10 GODINA	0.00	68
Y10009	GIPSANI ZAVOJ PODLAKTICE I ŠAKE - IZNAD 10 GODINA	0.00	68
Y10010	LONGETA - RUKE OD RAMENA DO ŠAKE - ISPOD 10 GOD.	0.00	68
Y10011	LONGETA - RUKE OD RAMENA DO ŠAKE - IZNAD 10 GOD.	0.00	68
Y10012	LONGETA PODLAKTICE I ŠAKE ISPOD 10 GODINA	0.00	68
Y10013	LONGETA PODLAKTICE I ŠAKE IZNAD 10 GODINA	0.00	68
Y10014	FIKSACIONI ZAVOJ TORAKSA	0.00	68
Y10015	FIKSACIONI ZAVOJ KARLICE	0.00	68
Y10016	FIKSACIONI ZAVOJ RAMENA (VELPOV)	0.00	68
Y10017	FIKSACIONI ZAVOJ LAKTA ILI ZGLOBA RUČJA	0.00	68
Y10018	FIKSACIONI ZAVOJ KUKA	0.00	68
Y10019	FIKSACIONI ZAVOJ KOLJENA	0.00	68
Y10020	FIKSACIONI ZAVOJ GLEŽNJA	0.00	68
Y10021	GIPSANI ZAVOJ KUKA UNILATERALNI - ISPOD 10 GODINA	0.00	68
Y10022	GIPSANI ZAVOJ KUKA UNILATERALNI - IZNAD 10 GODINA	0.00	68
Y10023	GIPSANI ZAVOJ KUKA BILATERALNI - ISPOD 10 GODINA	0.00	68
Y10024	GIPSANI ZAVOJ KUKA BILATERALNI - IZNAD 10 GODINA	0.00	68
Y10025	GIPSANI ZAVOJ NOGE (OD KUKA DO PRSTIJU) - ISPOD 10 GODINA	0.00	68
Y10026	GIPSANI ZAVOJ NOGE (OD KUKA DO PRSTIJU) - IZNAD 10 GODINA	0.00	68
Y10027	GIPSANI CILINDAR (OD KUKA DO GLEŽNJA) - ISPOD 10 GODINA	0.00	68
Y10028	GIPSANI CILINDAR (OD KUKA DO GLEŽNJA) - IZNAD 10 GODINA	0.00	68
Y10029	GIPS POTKOLJENICE (OD KOLJENA DO PRSTIJU) - ISPOD 10 GODINA	0.00	68
Y10030	GIPS POTKOLJENICE (OD KOLJENA DO PRSTIJU) - IZNAD 10 GODINA	0.00	68
Y10031	OBLIK ZA KRETANJE ILI AMBULATORNI GIPS - ISPOD 10 GODINA	0.00	68
Y10032	OBLIK ZA KRETANJE ILI AMBULATORNI GIPS - IZNAD 10 GODINA	0.00	68
Y10033	GIPSANE LONGETE OD KUKA DO GLEŽNJA I PRSTIJU - ISPOD 10 GOD.	0.00	68
Y10034	GIPSANE LONGETE OD KUKA DO GLEŽNJA I PRSTIJU - IZNAD 10 GODI	0.00	68
Y10035	GIPSANA LONGETA POTKOLJENICE OD STOPALA - ISPOD 10 GODINA	0.00	68
Y10036	GIPSANA LONGETA POTKOLJENICE DO STOPALA - IZNAD 10 GODINA	0.00	68
Y10037	GIPSANI ŽAKET ZA TIJELO	0.00	68
Y10038	GIPSANI ZAVOJ OD RAMENA DO KUKA	0.00	68
