# Z01 - DPRIJIAMGA.RNI NIVO
# Letter: Z - BIOHEMIJSKO - HEMATOLOŠKA I IMUNOLOŠKA LABORATORIJSKA
# Count: 52
code	name_sr_lat	price_eur	page
Z01003	KS, TRI PAR DIF	3.81	69
Z01006	DIFERENCIJALNA KRVNA SLIKA	12.06	69
Z01007	TROMBOCITI U KOMORI	12.06	69
Z01008	SEDIMENTACIJA ERITROCITA	5.31	69
Z01009	ODREDJIVANJE PROTROMBINSKOG VREMENA	10.47	69
Z01010	ODREDJIVANJE VREMENA KRVAVLJENJA	8.67	69
Z01011	ODREDJIVANJE VREMENA KOAGULACIJA	15.69	69
Z01013	ODREĐIVANJE FIBRINOGENA	13.26	69
Z01014	ODREDJIVANJE UKUPNIH PROTEINA U SERUMU	3.45	69
Z01015	ODREDJIVANJE UKUPNOG BILIRUBINA U SERUMU	3.54	69
Z01016	ODREDJIVANJE GLUKOZE U SERUMU	3.48	69
Z01017	OGTT	12.60	69
Z01018	ODREDJIVANJE TRIGLICERIDA U SERUMU	4.08	69
Z01019	ODREDJIVANJE HOLESTEROLA U SERUMU	3.72	69
Z01021	ODREDJIVANJE AKTIVNOSTI ALKALNE FOSFATAZE	3.78	69
Z01023	ODREDJIVANJE AKTIVNOSTI AST	3.84	69
Z01024	ODREDJIVANJE AKTIVNOSTI CK	4.68	69
Z01025	ODREDJIVANJE AKTIVNOSTI CK-MB	25.80	69
Z01026	ODREDJIVANJE AKTIVNOSTI ALFA AMILAZE	5.43	69
Z01027	ODREDJIVANJE AKTIVNOSTI GAMA GLUTAMIL TRANSFERAZE -GGT	4.02	69
Z01029	ODREDJIVANJE UREE U SERUMU -KINETIČKI	3.72	69
Z01030	ODREDJIVANJE KREATININA U SERUMU	3.57	69
Z01031	ODREDJIVANJE MOKRAĆNE KISELINE (ACIDUM URICUM) U SERUMU	4.20	69
Z01032	ODREDJIVANJE K+ U SERUMU	3.78	69
Z01033	ODREĐIVANJE UKUPNOG KALCIJUMA U SERUMU	3.54	69
Z01035	ODREDJIVANJE GVOŽDJA U SERUMU	4.11	69
Z01037	ODREDJIVANJE KAPACITETA VEZIVANJA GVOŽDJA ( TIBC)	2.94	69
Z01039	ISPIT. URINA (TEST TRAKA+ SEDIMENT URINA MIKROSKOPSKI)	8.82	69
Z01040	ODREĐIVANJE PROTEINA U URINU KVANTITATIVNO	2.10	69
Z01042	BILIRUBIN U URINU	2.10	69
Z01052	KVAL. ODREĐ. HCG U URINU ( TEST NA TRUDNOĆU) - TEST TRAKA	10.50	69
Z01063	ODREĐIVANJE ALFA AMILAZE U URINU	5.43	69
Z01064	ODREĐIVANJE DIREKTNOG BILIRUBINA U SERUMU	3.54	69
Z01066	SLOBODNI KAPACITET VEZIVANJA GVOŽĐA (UIBC)	4.14	69
Z01084	ISPIT. URINA ( TEST TRAKA + SEDIMENT URINA-PROT. CITOMETRIJA	11.25	69
Z01088	C - REAKTIVNI PROTEIN	10.32	69
Z01089	ODREĐIVANJE KLIRENSA UREE	4.20	69
Z01090	ODREĐIVANJE HEMOGLOBINA KVALITATIVNO U FECESU	5.22	69
Z01096	ODREĐIVANJE AKTIVNOSTI ALT	3.84	70
Z01097	ODREĐIVANJE NA+ U SERUMU	3.78	70
Z01098	ODREĐIVANJE CL- U SERUMU	3.78	70
Z01099	ODREĐIVANJE CA++ U SERUMU	8.19	70
Z01100	ODREĐIVANJE KLIRENSA KREATININA	4.20	70
Z01101	UROBILINOGEN U URINU	2.10	70
Z01102	ODREĐIVANJE FOSFORA U URINU	4.20	70
Z01103	RETIKULOCITI - CITOHEMIJA	6.81	70
Z01104	ODREĐIVANJE AKTIVNOSTI LAKTAT DEHIDROGENAZE (LDH)	3.81	70
Z01105	ODREĐIVANJE KREATININA U URINU	3.57	70
Z01106	ODREĐIVANJE UREE U URINU	3.72	70
Z01107	ODREĐIVANJE MOKRAĆNE KISELINE (ACIDUM URICUM) U URINU	4.20	70
Z01108	ODREĐIVANJE KALCIJUMA U URINU	4.20	70
Z01109	DOKAZIVANJE PROTEINA U URINU	2.10	70
