# Z02 - SEKUNDARNI NIVO
# Letter: Z - BIOHEMIJSKO - HEMATOLOŠKA I IMUNOLOŠKA LABORATORIJSKA
# Count: 67
code	name_sr_lat	price_eur	page
Z02001	HDL-HOLESTEROL	7.38	70
Z02002	ODREDJIVANJE AKTIVNOSTI KISELE FOSFATAZE , UKUPNE I PROSTATI	10.50	70
Z02003	MAGNEZIJUM U SERUMU	3.54	70
Z02004	NEORGANSKI FOSFOR	3.54	70
Z02006	HLORIDI- URIN	11.85	70
Z02011	MAGNEZIJUM U URINU	11.10	70
Z02019	TG AT (TIREOGLOBULINSKA ANTITIJELA)	30.42	70
Z02021	CEA (KARCINOEMBRIONALNI ANTIGEN)	23.28	70
Z02024	ALBUMIN	3.99	70
Z02025	T3 (TRIJODTIRONIN UKUPNI)	16.71	70
Z02026	T4 (TIROKSIN UKUPNI)	16.71	70
Z02027	TSH	17.40	70
Z02028	PROLAKTIN	19.08	70
Z02029	PROGESTERON	18.99	70
Z02030	ESTRADIOL	18.99	70
Z02031	INSULIN	28.32	70
Z02032	C-PEPTID	28.32	70
Z02033	AFP (ALFA-FETOPROTEIN)	22.77	70
Z02034	PSA-UKUPNI	25.89	70
Z02037	CA-15-3	27.90	70
Z02038	PSA - SLOBODNI	31.14	70
Z02039	BETA-HCG	25.20	70
Z02041	CA 19-9	25.02	70
Z02047	INTAKTNI PTH (PARATHORMON)	21.00	70
Z02048	KORTIZOL-UKUPNI	20.64	70
Z02049	FSH	18.21	70
Z02050	LH	18.21	71
Z02051	TESTOSTERON	18.99	71
Z02053	TROPONIN	28.80	71
Z02054	MIOGLOBIN	15.60	71
Z02055	FT3 (TRIJODTIRONIN SLOBODNI)	16.71	71
Z02056	FT4 (TIROKSIN SLOBODNI)	16.71	71
Z02057	TPO AT (ANTITIJELA NA TIREOIDNE PEROKSIDAZE)	30.39	71
Z02058	D-DIMER	19.68	71
Z02069	LDL HOLESTEROL	8.58	71
Z02071	BNP	42.00	71
Z02072	LUPUS ĆELIJA	21.00	71
Z02074	ODREĐIVANJE HBA1C	12.96	71
Z02081	CA-125	28.47	71
Z02082	BIOHEMIJSKI PREGLED LIKVORA	10.50	71
Z02084	KRVNA SLIKA, PETODJELNA DIFERENCIJACIJA	4.20	71
Z02085	ODREĐIVANJE APTT	15.69	71
Z02086	TROMBINSKO VRIJEME	5.07	71
Z02087	ANTITROMBIN III, AKTIVNOST	8.94	71
Z02088	OSMOTSKA REZISTENCIJA ERITROCITA	25.89	71
Z02089	LAMINARNA TIJELA U PLODOVOJ VODI	4.20	71
Z02090	D-DIMER -TEST TRAKA	10.50	71
Z02091	ODREĐ. PSIHOAKTIVNIH SUPST.-PANEL TEST TRAKA OD 5 DO 10 PAR.	31.50	71
Z02092	ODREĐ. PSIHOAKTIVNIH SUPST.-PANEL TEST TRAKA OD 10 PARAMET.	63.00	71
Z02093	ODREĐ. PSIHOAKTIVNIH SUPST.-POJEDINAČNO TEST TRAKA	10.50	71
Z02094	LDL-HOLESTEROL-RAČUNSKI	2.94	71
Z02095	TROPONIN T I I	10.50	71
Z02096	ODREĐIVANJE ACIDOBAZNOG STATUSA ( PH, PCO2,PO2)	9.09	71
Z02097	PROTEINI LIKVORA (KVANTITATIVNO)	6.72	71
Z02098	PROTEINI URINA (KVANTITATIVNO)	6.72	71
Z02099	MIKROALBUMINI U URINU	6.72	71
Z02100	IGA	14.22	71
Z02101	IGG	11.46	71
Z02102	IGM	14.22	71
Z02103	LIPAZA U KRVI	4.53	71
Z02104	LAKTATI	7.44	71
Z02105	AMONIJAK	10.44	71
Z02106	HOLINESTERAZA	7.29	71
Z02107	PANKREASNA AMILAZA	7.71	71
Z02108	CITOLOŠKI PREGLED LIKVORA	13.05	71
Z02111	BROJANJE EOZINOFILNIH GRANULOCITA U KOMORI	12.06	71
Z02112	SEKUNDARNO VRIJEME KRVARENJA	8.67	71
