J01001	Prvi specijalistički pregled (radiolog)	4924
J06001	Snimanje skeleta lobanje i lica-za svaki snimak	3198
J06002	Snimanje pojedinih dijelova kičme i sakroilijačne regije-za svaki snimak	2022
J06003	Snimanje pojedinih djelova skeleta, ekstremiteta i karlice za svaki snimak -ekspozicija	2039
J06004	Lokalizacija stranog tijela u bilo kojem organu	4925
J06005	Snimanje ždrijela i grkljana	4926
J06006	Snimanje toraksa (rebra, sternum) -za svaku projekciju	3207
J06007	Fluorogram pluća	4927
J06008	Snimanje pluća za svaki pravac	2297
J06009	Snimak medijastinuma	4928
J06010	Teleradiografija srca	2035
J06011	Snimanje hepatobiljarnog trakta	4929
J06012	Snimanje urogenitalnog trakta	2038
J06013	Nativni snimak urotrakta, sa snimkom male karlice	3218
J06014	Mamografija	4930
J06015	Nativni snimak abdomena za svaki pravac	2037
J07001	UZ gornjeg abdomena: žučne kese, žučnih puteva, jetre, gušterače i slezine	1540
J07002	UZ donjeg abdomena: mokraćne bešike i prostate, retroperitoneuma: bubrega, nadbubrežnih žljezda	1541
J07003	UZ testisa kod muškaraca	4117
J07005	UZ ciljani pregled zglobova i mekih tkiva	1998
J07006	UZ pregled limfnih žljezda	4891
J07007	UZ štitne i paraštitne žljezde	3246
J07008	UZ pregled dojki	2000
K01001	Prvi specijalistički pregled	4982
K01002	Prijem materijala i davanje sterilnih posuda za urin, sputum, stolicu i dr.	4983
K01003	Uzimanje uzorka	4984
K01004	Pregled preparata uretralnog, vaginalnog ili cervikalnog brisa na gonoreju	
K01005	Aminski test	
K01006	Mikroskopski pregled na Treponema pallidum	7236
K01007	Bris ždrijela	7237
K01008	Bris usne duplje	7238
K01009	Bris jezika	
K01010	Bris nosa	
K01011	Bris oka	7242
K01012	Bris uha	7241
K01013	Bris rane	2142
K01014	Bris pupka	7243
K01015	Bris kože	7244
K01016	Bris dojke	7245
K01017	Bris vagine	7246
K01018	Bris vulve	7247
K01019	Bris glansa	7248
K01020	Bris prepucijuma	7249
K01021	Bris uretre	7250
K01022	Urinokultura	7251
K01023	Koprokultura	7252
K01024	Bris žmara	7253
K01025	Kultura na Vibrio kolera	
K01026	Sputum kultura	7255
K01027	Cervikalna kultura	7256
K01028	Izrada antibiograma (radi se po potrebi)	
K01029	Kultivacija Mycoplasma sa izradom antibiograma	
K01030	Pregled preparata na dermatomikoze nokta	
K01031	Pregled preparata na dermatomikoze kože	
K01032	Pregled preparata na dermatomikoze dlake	
K01033	Kultura brisa kože na gljivice	7261
K01034	Kultura brisa dlake na gljivice	
K01035	Kultura brisa nokta na gljivice	
K01036	Kultura vaginalnog sekreta na gljivice	7264
K01037	Kultura brisa vulve na gljivice	
K01038	Kultura brisa glansa na gljivice	
K01039	Kultura brisa prepucijuma na gljivice	
K01040	Kultura uretralnog sekreta na gljivice	
K01041	Kultura stolice na gljivice	7268
K01042	Kultura urina na gljivice	
K01043	Kultura brisa nosa na gljivice	
K01044	Kultura sputuma na gljivice	7269
K01045	Kultura brisa grla na gljivice	
K01046	Kultura brisa nepca na gljivice	
K01047	Kultura brisa rane na gljivice	
K01048	Identifikacija gljivica	7273
K01049	Izrada antimikograma	7274
K01050	Pregled preparata uretralnog ili vaginalnog brisa na Trichomonas vaginalis (stepen)	
K01051	Mikroskopski pregled stolice na helminte (ljepljivim celofanom)	
K01052	Mikroskopski pregled stolice na helminte (metoda koncentracije)	
K01053	Mikroskopski pregled stolice na protozoe (metoda koncentracije)	
K01054	Nativni mikroskopski preparat na amebe sa provokacijom	
K01055	Parazitološki pregled stolice na Cryptosporidium vrste (Ziehl-Neelsen)	
K01056	Mikroskopski preparat i pregled na malariju	
K01057	Pregled i identifikacija ektoparazita kože (larva, lutka ili adult)	
K01058	Uzimanje i pregled otiska kože na Demodex vrste	
K01059	CRP-LATEX	7283
K01060	VDRL	
K01061	ASTO-LATEX	7285
K01062	Paul Bunel-ova reakcija (monostikon test)	
K01063	TPHA	
K01064	Mikroskopsko citološki pregled (stepen)	
K01065	CRP-TURBIDOMETRIJA	7289
K01066	ASTO-TURBIDOMETRIJA	7290
K01067	REUMA FAKTOR (RF)-LATEX	
K01068	REUMA FAKTOR (RF)-TURBIDOMETRIJA	
K01069	WAALER-ROSE TEST	
K01070	Kultura brisa jezika na gljivice	
K02001	Detekcija antimikrobnih antitijela ELISA-testom	
K02002	Detekcija mikrobnih antigena ELISA-testom	
K02003	Detekcija antimikrobnih antitijela indirektnom imunofluorescencijom	7297
K02004	Detekcija mikrobnih antigena direktnom imunofluorescencijom	7298
K02005	Detekcija antimikrobnih antitijela reakcijom vezivanja komplementa	
K02006	Detekcija antimikrobnih antitijela - testom hemaglutinacije	
K02007	Detekcija antimikrobnih antitijela latex aglutinacionim testom	
K02008	Detekcija mikrobnih antigena latex aglutinacionim testom	
K02009	Detekcija mikrobnih nukleinskih kiselina testom hibridizacije nukleinskih kiselina	
I01001	Preventivni pregled rizičnog neonatusa i odojčeta	4886
I01002	Kontrolni preventivni pregled rizičnog neonatusa i odojčeta	4887
I01003	Preventivni pregled rizične djece	7171
I01004	Kontrolni preventivni pregled rizične djece	7172
I01005	Preventivni pregled djeteta sa smetnjama u razvoju	7173
I01006	Kontrolni preventivni pregled djeteta sa smetnjama u razvoju	7174
I01007	Zdravstveno-vaspitni rad sa pojedincem (roditelj, vaspitač, nastavnik)	7175
I01008	Obuka roditelja za stimulativni tretman	7176
I01009	Zdravstveno-vaspitni rad sa grupom	7177
I01010	Posjeta objektima za kolektivni smještaj predškolske djece i školama	7178
I02001	Prvi kurativni pregled	7179
I02004	Timska obrada pacijenta sa smetnjama u razvoju	7180
I02005	Savjet pedagoga škole ili vrtića	7181
I03001	Logopedska procjena artikulacionih sposobnosti djeteta	7182
I03002	Logopedska procjena stepena i težine mucanja	7183
I03003	Logopedska procjena govorne razvijenosti	7184
I03004	Logopedska procjena specifičnih poremećaja učenja	7185
I03005	Logopedska, somatopedska i oligofrenološka procjena psihomotorne sposobnosti	7186
I03006	Defektološko ispitivanje malog djeteta	7187
I03007	Defektološko ispitivanje školskog djeteta	7188
I03008	Logopedski tretman poremećaja u artikulaciji i motorici	7189
I03009	Logopedski tretman mucanja i motorike	7190
