Дата,Недопустимое значение,Страница без ошибок
2026-01-15,0,5946
2026-01-16,0,5616
2026-01-17,0,5153
2026-01-18,0,4956
2026-01-19,0,4894
2026-01-20,0,4438
2026-01-21,0,3466
2026-01-22,0,3303
2026-01-23,0,2878
2026-01-24,0,2317
2026-01-25,0,2415
2026-01-26,0,2400
2026-01-27,0,2262
2026-01-28,0,2262
2026-01-29,0,2354
2026-01-30,0,2458
2026-01-31,0,2493
2026-02-01,0,2433
2026-02-02,0,2354
2026-02-03,0,1928
2026-02-04,0,1772
2026-02-05,0,1389
2026-02-06,0,1155
2026-02-07,0,970
2026-02-08,0,768
2026-02-09,0,768
2026-02-10,0,670
2026-02-11,0,633
2026-02-12,0,583
2026-02-13,0,477
2026-02-14,0,454
2026-02-15,0,488
2026-02-16,0,488
2026-02-17,0,488
2026-02-18,0,488
2026-02-19,0,510
2026-02-20,0,545
2026-02-21,0,584
2026-02-22,0,598
2026-02-23,0,621
2026-02-24,0,657
2026-02-25,0,662
2026-02-26,0,655
2026-02-27,0,647
2026-02-28,0,637
2026-03-01,0,615
2026-03-02,0,605
2026-03-03,0,578
2026-03-04,0,604
2026-03-05,0,582
2026-03-06,0,554
2026-03-07,0,536
2026-03-08,0,534
2026-03-09,0,537
2026-03-10,0,537
2026-03-11,0,526
2026-03-12,0,491
2026-03-13,0,430
2026-03-14,0,430
2026-03-15,0,475
2026-03-16,0,569
2026-03-17,0,569
2026-03-18,0,554
2026-03-19,0,554
2026-03-20,0,556
2026-03-21,0,543
2026-03-22,0,539
2026-03-23,0,530
2026-03-24,0,497
2026-03-25,0,497
2026-03-26,0,497
2026-03-27,0,412
2026-03-28,0,402
2026-03-29,0,377
2026-03-30,0,371
2026-03-31,0,388
2026-04-01,0,949
2026-04-02,0,1762
2026-04-03,0,2901
2026-04-04,0,3924
2026-04-05,0,6765
2026-04-06,0,7725
2026-04-07,0,8096
2026-04-08,0,9270
2026-04-09,0,9729
2026-04-10,0,9829
2026-04-11,0,9550
2026-04-12,0,8765
2026-04-13,0,7810
2026-04-14,0,6710
