Дата,Не проиндексировано,Проиндексированные,Показы
2026-01-15,,,530
2026-01-16,,,451
2026-01-17,16860,26784,392
2026-01-18,17182,26794,359
2026-01-19,17182,26794,528
2026-01-20,17182,26794,518
2026-01-21,17313,26965,549
2026-01-22,17313,26965,610
2026-01-23,17313,26965,637
2026-01-24,17313,26965,450
2026-01-25,17554,27161,472
2026-01-26,17554,27161,796
2026-01-27,17554,27161,715
2026-01-28,17699,27756,656
2026-01-29,17699,27756,687
2026-01-30,17699,27756,680
2026-01-31,17699,27756,564
2026-02-01,17980,27787,646
2026-02-02,17980,27787,974
2026-02-03,17980,27787,860
2026-02-04,18214,27634,919
2026-02-05,18214,27634,843
2026-02-06,18214,27634,915
2026-02-07,18214,27634,601
2026-02-08,18467,27400,646
2026-02-09,18467,27400,979
2026-02-10,18467,27400,983
2026-02-11,18990,26915,936
2026-02-12,18990,26915,829
2026-02-13,18990,26915,711
2026-02-14,18990,26915,572
2026-02-15,19354,26620,714
2026-02-16,19354,26620,1046
2026-02-17,19354,26620,964
2026-02-18,20241,25758,951
2026-02-19,20241,25758,978
2026-02-20,20241,25758,1041
2026-02-21,20241,25758,630
2026-02-22,20409,25594,659
2026-02-23,20409,25594,1109
2026-02-24,20409,25594,1105
2026-02-25,21068,24990,922
2026-02-26,21068,24990,785
2026-02-27,21068,24990,768
2026-02-28,21068,24990,540
2026-03-01,21068,24990,637
2026-03-02,21068,24990,1148
2026-03-03,21068,24990,843
2026-03-04,21112,24949,888
2026-03-05,21112,24949,868
2026-03-06,21112,24949,773
2026-03-07,21112,24949,506
2026-03-08,21007,25057,551
2026-03-09,21007,25057,1000
2026-03-10,21007,25057,995
2026-03-11,20829,25239,953
2026-03-12,20829,25239,1106
2026-03-13,20829,25239,1075
2026-03-14,20829,25239,616
2026-03-15,20829,25239,617
2026-03-16,20489,25408,1183
2026-03-17,20489,25408,1321
2026-03-18,20327,25517,1206
2026-03-19,20327,25517,989
2026-03-20,20327,25517,909
2026-03-21,20327,25517,635
2026-03-22,21588,23945,652
2026-03-23,21588,23945,1147
2026-03-24,21588,23945,1117
2026-03-25,21422,23828,951
2026-03-26,21422,23828,926
2026-03-27,21422,23828,1003
2026-03-28,21422,23828,591
2026-03-29,21254,23878,627
2026-03-30,21254,23878,1045
2026-03-31,21254,23878,975
2026-04-01,23506,29561,881
2026-04-02,23506,29561,969
2026-04-03,23506,29561,900
2026-04-04,23506,29561,628
2026-04-05,22175,40322,754
2026-04-06,22175,40322,983
2026-04-07,23778,43796,830
2026-04-08,23778,43796,850
2026-04-09,23778,43796,696
2026-04-10,23778,43796,577
