Причина,Источник,Проверка,Страницы
Не найдено (404),Сайт,Не начато,165
Ложная ошибка 404,Сайт,Не начато,11
Ошибка сервера (5xx),Сайт,Не начато,5
Заблокировано в файле robots.txt,Сайт,Не начато,5
Страница является копией. Канонический вариант не выбран пользователем.,Сайт,Не начато,1
Индексирование страницы запрещено тегом noindex,Сайт,Начато,9028
Страница с переадресацией,Сайт,Начато,4381
Вариант страницы с тегом canonical,Сайт,Начато,1021
"Страница просканирована, но пока не проиндексирована",Системы Google,Начато,8582
"Страница является копией. Канонические версии страницы, выбранные Google и пользователем, не совпадают.",Системы Google,Начато,579
