Дата,URL без протокола HTTPS,URL с протоколом HTTPS
2026-01-15,0,6281
2026-01-16,0,5200
2026-01-17,0,5200
2026-01-18,0,5200
2026-01-19,0,5033
2026-01-20,0,5045
2026-01-21,0,4323
2026-01-22,0,3436
2026-01-23,0,3387
2026-01-24,0,2821
2026-01-25,0,2373
2026-01-26,0,2529
2026-01-27,0,2554
2026-01-28,0,2381
2026-01-29,0,2393
2026-01-30,0,2505
2026-01-31,0,2540
2026-02-01,0,2554
2026-02-02,0,2488
2026-02-03,0,2300
2026-02-04,0,1894
2026-02-05,0,1767
2026-02-06,0,1321
2026-02-07,0,1129
2026-02-08,0,955
2026-02-09,0,835
2026-02-10,0,774
2026-02-11,0,679
2026-02-12,0,648
2026-02-13,0,580
2026-02-14,0,469
2026-02-15,0,473
2026-02-16,0,504
2026-02-17,0,514
2026-02-18,0,515
2026-02-19,0,509
2026-02-20,0,533
2026-02-21,0,564
2026-02-22,0,604
2026-02-23,0,613
2026-02-24,0,638
2026-02-25,0,670
2026-02-26,0,671
2026-02-27,0,663
2026-02-28,0,653
2026-03-01,0,650
2026-03-02,0,639
2026-03-03,0,617
2026-03-04,0,590
2026-03-05,0,611
2026-03-06,0,603
2026-03-07,0,569
2026-03-08,0,553
2026-03-09,0,547
2026-03-10,0,554
2026-03-11,0,549
2026-03-12,0,538
2026-03-13,0,521
2026-03-14,0,470
2026-03-15,0,433
2026-03-16,0,465
2026-03-17,0,478
2026-03-18,0,505
2026-03-19,0,562
2026-03-20,0,566
2026-03-21,0,563
2026-03-22,0,550
2026-03-23,0,548
2026-03-24,0,542
2026-03-25,0,533
2026-03-26,0,513
2026-03-27,0,491
2026-03-28,0,465
2026-03-29,0,446
2026-03-30,0,421
2026-03-31,0,415
2026-04-01,0,421
2026-04-02,0,1158
2026-04-03,0,2395
2026-04-04,0,3139
2026-04-05,0,4710
2026-04-06,0,7410
2026-04-07,0,8145
2026-04-08,0,8613
2026-04-09,0,9703
2026-04-10,0,10085
2026-04-11,0,10127
2026-04-12,0,9777
2026-04-13,0,8620
2026-04-14,0,7791
