Дата,Kлики,Показы,CTR,Позиция
2026-01-13,15,428,3.5%,12.6
2026-01-14,18,508,3.54%,16.8
2026-01-15,23,530,4.34%,14.5
2026-01-16,15,451,3.33%,15.8
2026-01-17,9,392,2.3%,16.1
2026-01-18,9,359,2.51%,14.3
2026-01-19,10,528,1.89%,15.3
2026-01-20,13,518,2.51%,13.3
2026-01-21,13,549,2.37%,13.6
2026-01-22,9,610,1.48%,15.1
2026-01-23,21,637,3.3%,15
2026-01-24,20,450,4.44%,12.8
2026-01-25,19,472,4.03%,12.8
2026-01-26,22,796,2.76%,11.2
2026-01-27,18,715,2.52%,10.8
2026-01-28,18,656,2.74%,11.6
2026-01-29,26,687,3.78%,9.6
2026-01-30,21,680,3.09%,14
2026-01-31,15,564,2.66%,15.3
2026-02-01,16,646,2.48%,14.2
2026-02-02,35,974,3.59%,10.8
2026-02-03,30,860,3.49%,11
2026-02-04,32,919,3.48%,10.4
2026-02-05,25,843,2.97%,9.7
2026-02-06,17,915,1.86%,11.7
2026-02-07,25,601,4.16%,10
2026-02-08,14,646,2.17%,11.4
2026-02-09,27,979,2.76%,10.8
2026-02-10,23,983,2.34%,10.9
2026-02-11,21,936,2.24%,10.6
2026-02-12,19,829,2.29%,10.2
2026-02-13,18,711,2.53%,9.3
2026-02-14,18,572,3.15%,10
2026-02-15,12,714,1.68%,10
2026-02-16,30,1046,2.87%,9.4
2026-02-17,32,964,3.32%,9.3
2026-02-18,22,951,2.31%,11.1
2026-02-19,29,978,2.97%,9.3
2026-02-20,30,1041,2.88%,9
2026-02-21,19,630,3.02%,9.8
2026-02-22,24,659,3.64%,10.4
2026-02-23,25,1109,2.25%,9.5
2026-02-24,21,1105,1.9%,9.2
2026-02-25,27,922,2.93%,9.6
2026-02-26,27,785,3.44%,9.2
2026-02-27,21,768,2.73%,9.8
2026-02-28,16,540,2.96%,9.1
2026-03-01,20,637,3.14%,10
2026-03-02,21,1148,1.83%,9.5
2026-03-03,19,843,2.25%,9.8
2026-03-04,27,888,3.04%,10
2026-03-05,28,868,3.23%,8.8
2026-03-06,23,773,2.98%,9.8
2026-03-07,14,506,2.77%,9.2
2026-03-08,24,551,4.36%,9.6
2026-03-09,31,1000,3.1%,9.5
2026-03-10,25,995,2.51%,8.8
2026-03-11,40,953,4.2%,9.9
2026-03-12,32,1106,2.89%,9.7
2026-03-13,34,1075,3.16%,9.4
2026-03-14,26,616,4.22%,10
2026-03-15,18,617,2.92%,10.7
2026-03-16,38,1183,3.21%,9.6
2026-03-17,32,1321,2.42%,8.5
2026-03-18,32,1206,2.65%,8.3
2026-03-19,27,989,2.73%,8.3
2026-03-20,40,909,4.4%,8.3
2026-03-21,17,635,2.68%,9.7
2026-03-22,21,652,3.22%,9.2
2026-03-23,29,1147,2.53%,8.9
2026-03-24,32,1117,2.86%,9
2026-03-25,28,951,2.94%,9.2
2026-03-26,24,926,2.59%,8.7
2026-03-27,31,1003,3.09%,12.6
2026-03-28,19,591,3.21%,10.9
2026-03-29,15,627,2.39%,9.9
2026-03-30,26,1045,2.49%,8.6
2026-03-31,28,975,2.87%,8.7
2026-04-01,30,881,3.41%,10.6
2026-04-02,30,969,3.1%,9.4
2026-04-03,25,900,2.78%,9.3
2026-04-04,15,628,2.39%,9.7
2026-04-05,31,754,4.11%,10.8
2026-04-06,26,983,2.64%,9.5
2026-04-07,19,830,2.29%,8.9
2026-04-08,17,850,2%,10.2
2026-04-09,10,696,1.44%,10
2026-04-10,9,577,1.56%,10.7
2026-04-11,14,521,2.69%,14.4
2026-04-12,12,511,2.35%,13
