Страна,Kлики,Показы,CTR,Позиция
Черногория,1803,60826,2.96%,9.78
Сербия,59,1849,3.19%,11.99
Босния и Герцеговина,26,762,3.41%,11.21
Россия,20,274,7.3%,16.83
Германия,17,959,1.77%,11.36
США,11,1626,0.68%,11.74
Швейцария,10,172,5.81%,13.28
Турция,8,439,1.82%,18.77
Австрия,7,272,2.57%,11.23
Великобритания,6,356,1.69%,17.7
Косово,5,189,2.65%,8.59
Люксембург,5,35,14.29%,7.4
Франция,4,153,2.61%,9.79
Словения,4,138,2.9%,12.42
Албания,4,131,3.05%,8.5
Испания,3,89,3.37%,15.22
Норвегия,3,47,6.38%,10.51
Кипр,3,16,18.75%,11
Италия,2,155,1.29%,10.63
Канада,2,133,1.5%,18.48
Македония,2,115,1.74%,10.7
Польша,2,98,2.04%,16.91
Болгария,2,49,4.08%,15.71
Мальта,2,46,4.35%,7.52
Таиланд,2,38,5.26%,23.97
Грузия,2,25,8%,10.24
Украина,1,341,0.29%,36.46
Хорватия,1,240,0.42%,20.27
Индия,1,116,0.86%,15.4
Швеция,1,67,1.49%,10.19
Бельгия,1,59,1.69%,7.81
Чехия,1,39,2.56%,15.08
Греция,1,30,3.33%,8.1
Венгрия,1,25,4%,8.16
Литва,1,22,4.55%,8.14
Армения,1,22,4.55%,8.68
Португалия,1,22,4.55%,14.91
Колумбия,1,21,4.76%,19.95
Нигерия,1,12,8.33%,19.25
Панама,1,3,33.33%,6.33
Нидерланды,0,127,0%,8.35
Бразилия,0,110,0%,10.55
Румыния,0,51,0%,43.1
Израиль,0,44,0%,30.41
Филиппины,0,41,0%,25
Австралия,0,40,0%,10.45
Вьетнам,0,39,0%,32.23
Индонезия,0,36,0%,18.61
Мексика,0,32,0%,7.66
Аргентина,0,30,0%,16.37
Объединенные Арабские Эмираты,0,27,0%,7.44
Сингапур,0,25,0%,23.2
Дания,0,24,0%,13.67
Беларусь,0,21,0%,12.48
Малайзия,0,21,0%,15.33
Саудовская Аравия,0,21,0%,22.71
Казахстан,0,20,0%,13.8
Египет,0,20,0%,21.7
Азербайджан,0,18,0%,11.83
Бангладеш,0,17,0%,16.24
Китай,0,16,0%,6.06
Япония,0,16,0%,14.75
Ирландия,0,15,0%,8.67
Латвия,0,15,0%,24.47
Словакия,0,13,0%,8.23
Эквадор,0,13,0%,8.46
Перу,0,12,0%,15.33
Марокко,0,11,0%,11.82
Южная Корея,0,11,0%,18.55
Оман,0,11,0%,21.36
Чили,0,10,0%,6.4
Венесуэла,0,10,0%,18.5
Финляндия,0,9,0%,7.33
Узбекистан,0,9,0%,8.56
Пакистан,0,9,0%,12.56
Алжир,0,9,0%,13.22
Эстония,0,8,0%,7.62
Южная Африка,0,7,0%,11
Новая Зеландия,0,7,0%,18.43
Гонконг,0,6,0%,7.5
Ирак,0,6,0%,7.67
Эфиопия,0,6,0%,33.33
Тунис,0,5,0%,8.8
Туркменистан,0,5,0%,10
Молдова,0,5,0%,24.4
Иран,0,5,0%,26.4
Ливан,0,4,0%,3.25
Кения,0,4,0%,4.5
Пуэрто-Рико,0,4,0%,4.75
Тайвань,0,4,0%,8.5
Кыргызстан,0,4,0%,8.75
Уругвай,0,4,0%,11.25
Непал,0,4,0%,12
Монако,0,3,0%,4
Багамы,0,3,0%,4.33
Парагвай,0,3,0%,6
Шри-Ланка,0,3,0%,6.67
Доминиканская Республика,0,3,0%,7
Неизвестный регион,0,3,0%,7.67
Маврикий,0,3,0%,9.67
Никарагуа,0,2,0%,4.5
Сенегал,0,2,0%,4.5
Ямайка,0,2,0%,7
Зимбабве,0,2,0%,8
Уганда,0,2,0%,9
Монголия,0,2,0%,10.5
Барбадос,0,2,0%,15.5
Гватемала,0,2,0%,39
Остров Мэн,0,1,0%,1
Камбоджа,0,1,0%,1
Катар,0,1,0%,1
Реюньон,0,1,0%,1
Экваториальная Гвинея,0,1,0%,5
Намибия,0,1,0%,7
Гренада,0,1,0%,8
Коста-Рика,0,1,0%,10
Мальдивы,0,1,0%,10
Лихтенштейн,0,1,0%,11
Сан-Марино,0,1,0%,11
Таджикистан,0,1,0%,11
Сент-Винсент и Гренадины,0,1,0%,11
Американские Виргинские острова,0,1,0%,12
Ливия,0,1,0%,23
Тринидад и Тобаго,0,1,0%,30
Буркина-Фасо,0,1,0%,44
Гондурас,0,1,0%,53
Иордания,0,1,0%,70
Йемен,0,1,0%,84
