Популярные страницы,Kлики,Показы,CTR,Позиция
https://docta.me/doctors?clinicIds=23&lang=sr-cyrl,24,230,10.43%,9.2
https://docta.me/doctors?specialtyIds=7&cityIds=1,21,236,8.9%,11.47
https://docta.me/clinics/80,16,4784,0.33%,7.03
https://docta.me/doctors?specialtyIds=75&cityIds=1,16,119,13.45%,6.92
https://docta.me/doctors?specialtyIds=12&cityIds=1,14,151,9.27%,9.32
https://docta.me/clinics/54,11,2375,0.46%,8.57
https://docta.me/doctors?specialtyIds=13&cityIds=1,10,171,5.85%,9.25
https://docta.me/doctors?specialtyIds=9&cityIds=1,10,146,6.85%,11.73
https://docta.me/doctors?specialtyIds=3&cityIds=1,9,123,7.32%,10.18
https://docta.me/doctors?specialtyIds=71&cityIds=1,9,45,20%,6.91
https://docta.me/doctors/602,8,213,3.76%,8.94
https://docta.me/doctors?specialtyIds=5&cityIds=1,8,167,4.79%,9.74
https://docta.me/doctors?specialtyIds=14&cityIds=1,8,135,5.93%,9.4
https://docta.me/doctors?clinicIds=15,8,123,6.5%,7.62
https://docta.me/doctors?specialtyIds=5&cityIds=7,8,86,9.3%,10.64
https://docta.me/doctors?specialtyIds=16&cityIds=1,8,85,9.41%,9.71
https://docta.me/doctors?specialtyIds=75,8,66,12.12%,9.71
https://docta.me/doctors?specialtyIds=1&cityIds=6,8,44,18.18%,7.18
https://docta.me/doctors?specialtyIds=46,8,34,23.53%,14.29
https://docta.me/doctors?specialtyIds=8&cityIds=1,7,100,7%,10.75
https://docta.me/doctors?specialtyIds=47&cityIds=1,7,79,8.86%,9.7
https://docta.me/doctors?clinicIds=65,6,165,3.64%,9.68
https://docta.me/doctors?specialtyIds=4&cityIds=1,6,124,4.84%,10.46
https://docta.me/doctors?clinicIds=15&lang=sr-cyrl,6,113,5.31%,7.36
https://docta.me/doctors?specialtyIds=9,6,92,6.52%,14.47
https://docta.me/doctors?specialtyIds=16,6,66,9.09%,10
https://docta.me/doctors?specialtyIds=5&cityIds=6&lang=sr-cyrl,6,63,9.52%,10.35
https://docta.me/doctors?specialtyIds=19,6,55,10.91%,7.25
https://docta.me/doctors?specialtyIds=73&cityIds=1,6,36,16.67%,13.19
https://docta.me/doctors?specialtyIds=36&cityIds=1,6,20,30%,7.2
https://docta.me/clinics/1,5,1864,0.27%,9.53
https://docta.me/clinics/86,5,299,1.67%,8.76
https://docta.me/doctors?clinicIds=54,5,252,1.98%,9.08
https://docta.me/doctors?clinicIds=68,5,233,2.15%,9.79
https://docta.me/doctors?specialtyIds=12,5,119,4.2%,11.69
https://docta.me/doctors?specialtyIds=5,5,101,4.95%,12.46
https://docta.me/doctors?specialtyIds=21&cityIds=1,5,89,5.62%,8.93
https://docta.me/doctors?specialtyIds=17&languageIds=1&cityIds=1,5,86,5.81%,8.65
https://docta.me/doctors?specialtyIds=17,5,81,6.17%,9.3
https://docta.me/doctors?specialtyIds=79,5,65,7.69%,8.91
https://docta.me/doctors?specialtyIds=6&cityIds=1,5,63,7.94%,10.71
https://docta.me/doctors?clinicIds=7,5,63,7.94%,12.4
https://docta.me/doctors?clinicIds=23,5,55,9.09%,8.96
https://docta.me/doctors?specialtyIds=16&languageIds=1,5,54,9.26%,7.76
https://docta.me/doctors?specialtyIds=51&cityIds=1,5,45,11.11%,19.67
https://docta.me/doctors?specialtyIds=38&cityIds=1,5,39,12.82%,9.72
https://docta.me/doctors?specialtyIds=15&lang=sr-cyrl,5,34,14.71%,9.32
https://docta.me/doctors?specialtyIds=78&cityIds=4,5,32,15.62%,10.28
https://docta.me/doctors?specialtyIds=22&cityIds=7,5,24,20.83%,24.5
https://docta.me/doctors?specialtyIds=76,5,23,21.74%,13.39
https://docta.me/doctors?specialtyIds=85&cityIds=1,5,22,22.73%,11.09
https://docta.me/doctors?specialtyIds=36,5,14,35.71%,11.64
https://docta.me/doctors?clinicIds=2,4,401,1%,10.58
https://docta.me/doctors?clinicIds=1,4,312,1.28%,9.65
https://docta.me/doctors?clinicIds=3,4,179,2.23%,11.3
https://docta.me/clinics/68?lang=ru,4,125,3.2%,9.61
https://docta.me/doctors?specialtyIds=12&languageIds=1&cityIds=1,4,103,3.88%,11.7
https://docta.me/doctors?specialtyIds=16&cityIds=1&lang=sr-cyrl,4,70,5.71%,10.94
https://docta.me/doctors?clinicIds=2&lang=ru,4,68,5.88%,7.81
https://docta.me/doctors?specialtyIds=21,4,64,6.25%,10.84
https://docta.me/doctors?specialtyIds=19&cityIds=1,4,63,6.35%,8.13
