Дата,Недопустимое значение,Страница без ошибок,Показы
2026-01-15,271,3354,47
2026-01-16,269,3245,35
2026-01-17,273,2931,24
2026-01-18,275,2796,18
2026-01-19,273,2770,24
2026-01-20,240,2556,22
2026-01-21,184,2124,31
2026-01-22,172,1921,23
2026-01-23,145,1596,45
2026-01-24,88,1247,11
2026-01-25,127,1380,26
2026-01-26,149,1392,27
2026-01-27,152,1277,14
2026-01-28,152,1277,8
2026-01-29,161,1316,8
2026-01-30,210,1357,10
2026-01-31,245,1351,13
2026-02-01,283,1265,20
2026-02-02,311,1188,19
2026-02-03,271,904,21
2026-02-04,260,789,17
2026-02-05,239,520,6
2026-02-06,229,362,15
2026-02-07,226,223,10
2026-02-08,167,142,9
2026-02-09,167,142,22
2026-02-10,140,106,15
2026-02-11,112,93,20
2026-02-12,68,90,12
2026-02-13,45,68,11
2026-02-14,31,70,6
2026-02-15,42,80,9
2026-02-16,42,80,4
2026-02-17,42,80,4
2026-02-18,42,80,13
2026-02-19,47,81,4
2026-02-20,47,84,8
2026-02-21,45,80,3
2026-02-22,44,70,9
2026-02-23,41,69,8
2026-02-24,39,69,12
2026-02-25,28,65,5
2026-02-26,22,58,12
2026-02-27,17,55,9
2026-02-28,15,50,6
2026-03-01,14,44,8
2026-03-02,11,38,20
2026-03-03,9,39,4
2026-03-04,8,40,18
2026-03-05,6,38,7
2026-03-06,5,30,12
2026-03-07,5,29,6
2026-03-08,3,23,6
2026-03-09,3,18,20
2026-03-10,3,18,16
2026-03-11,3,20,15
2026-03-12,2,20,18
2026-03-13,2,23,9
2026-03-14,2,23,9
2026-03-15,3,26,4
2026-03-16,3,36,5
2026-03-17,3,36,5
2026-03-18,3,35,12
2026-03-19,3,35,4
2026-03-20,3,36,9
2026-03-21,3,34,12
2026-03-22,3,36,6
2026-03-23,3,38,12
2026-03-24,4,34,14
2026-03-25,4,34,7
2026-03-26,4,34,12
2026-03-27,2,27,19
2026-03-28,2,27,10
2026-03-29,2,25,11
2026-03-30,2,26,5
2026-03-31,2,28,8
2026-04-01,30,305,18
2026-04-02,82,665,3
2026-04-03,161,1169,11
2026-04-04,234,1596,10
2026-04-05,470,2940,79
2026-04-06,543,3453,17
2026-04-07,572,3662,19
2026-04-08,743,4377,32
2026-04-09,796,4704,32
2026-04-10,914,4700,39
2026-04-11,894,4517,35
2026-04-12,845,4080,18
2026-04-13,787,3572,
2026-04-14,758,3147,
